ENTRYTYPE,ID,abstract,affiliation,author,author_keywords,document_type,doi,journal,note,page_count,pages,source,title,url,year
conference,NoAuthor2019,,,,,Conference Review,,EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining,cited By 0,833,,Scopus,EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087109373&partnerID=40&md5=9d48b651c9d49a0f28d5b45050e68756,2019
conference,Lynch2019I,,"North Carolina State University, United States; Beuth University of Applied Sciences, Berlin, Germany; Polytechnique Montréal, Canada; Université du Québec à Montréal, Canada","Lynch, C.F. and Merceron, A. and Desmarais, M. and Nkambou, R.",,Editorial,,EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining,cited By 0,,I-II,Scopus,Preface,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087104426&partnerID=40&md5=62dd02f1aa21357dfdc84719fdba75f2,2019
conference,Hicks2019568,"To address the changing landscape in educational assessment, the National Assessment of Educational Progress (NAEP) transitions to digitally-based assessments (DBAs). DBAs permit the collection of data about how students progress through assessments, which was not feasible with paper-based assessments. The exploration of process data is a relatively new field, with most current studies focusing on response time analyses. This study will incorporate other process data information, such as the frequencies and durations of support functions used related to students' cognitive processes. Using data from one released block of the NAEP 2017 Mathematics Assessment for Grade 8, this study aims to provide an understanding of how students' use of support functions (e.g. drawing and highlighting) are related to response time (RT) and mathematics achievement. © EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining. All rights reserved.","American Institutes for Research, 1400 Crystal Dr., Arlington, VA  22202, United States; American Institutes for Research, 2800 Campus Dr. Suite 200, San Mateo, CA  94403, United States","Hicks, J. and Circi, R. and Li, M.",Digitally-based assessments;  NAEP;  Process data;  Support functions,Conference Paper,,EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining,cited By 1,,568-571,Scopus,Students' use of support functions in DBAs: Analysis of NAEP grade 8 mathematics process data,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086007144&partnerID=40&md5=5542f1d24a98f6a759556f62073802b3,2019
conference,Mbouzao2019611,"Massive open on-line courses (MOOCs) often rely on video as the prime choice of media content. Given their importance, it is no surprise that many studies that focus on the way students engage with the videos within the MOOC emerged in recent years. A methodology is introduced for the detailed analysis of student video watching patterns and compared with a prevailing approach. The method encodes video interaction sequences in a vector space model that defines distance measures between them. A pattern is defined as a centroid of sequences. We apply the method and conduct a study of how students interact with videos by analyzing interaction patterns across different videos. Within this method, the analysis of the influence of video on patterns is framed as a classification task based on Support Vector Machine (SVM), Boosted Tree (GBM) and nearest neighbour approaches. The results reveal there is a significant difference in the patterns of interaction across videos. It demonstrates the usefulness of the methodology in comparison with a simpler and common approach. © EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining. All rights reserved.","Polytechnique Montréal, Canada; McGill University, Canada","Mbouzao, B. and Desmarais, M.C. and Shrier, I.",Analytics;  Clickstream;  MOOC;  Student traces;  Video event;  Video feature;  Video watching event traces,Conference Paper,,EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining,cited By 0,,611-614,Scopus,A methodology for student video interaction patterns analysis and classification,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086006533&partnerID=40&md5=b25440ff3f6991a791fd5113381752d2,2019
conference,Hutt201979,"We explore generalizability and fairness across sociodemographic groups for predicting on-time college graduation using a national dataset of 41,359 college applications. Our features include socio-demographics, institutional graduation rates, academic achievement, standardized test scores, engagement in extracurricular activities, and work experiences. We identify five latent classes based on available sociodemographic data and train Random Forest classifiers to successfully predict 4-year graduation. When individually trained and tested on each class using a split-half validation method, we achieved AUROCs between 0.629 and 0.694. We then evaluate how a model trained on the entire dataset performs on each latent class by performing a slicing analysis, finding a 6 to 10 percent improvement in AUROCs compared to the individual-class models. We explore fairness of our model by extending the slicing analysis to consider Absolute Between ROC Area (ABROCA), finding similar values for each of our latent classes. We contemplate how our results might be used to avoid perpetuating biases inherent in college application data. © EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining. All rights reserved.","University of Colorado Boulder, 594 UCB, Boulder, CO  80309, United States; Character Lab., University of Pennsylvania, 3401 Market St., Philadelphia, PA  19104, United States","Hutt, S. and Gardner, M. and Duckworth, A.L. and D'Mello, S.K.",College applications;  College success;  Common App;  Fairness;  Generalizability;  National student clearinghouse;  Slicing analysis,Conference Paper,,EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining,cited By 2,,79-88,Scopus,Evaluating fairness and generalizability in models predicting on-time graduation from college applications,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086006301&partnerID=40&md5=39c7ecf79d78a035e0b74967246b6d20,2019
conference,Woodruff2019722,"Groups of schools face significant challenge to ensure that student assessment is consistent and valid, that predictions are accurate and that data policy does not adversely impact teacher workload. This study looked to determine if student outcomes at the end of secondary phase education in the UK, and by extension elsewhere in the world, could be reliably predicted. Data from two academic years, twenty-three secondary schools representing cohorts of approximately four thousand students were used to conduct comparative analysis on multiple machine learning experiments utilising Microsoft Azure Machine Learning and code written in Python. Findings indicate that Attainment 8, the main performance indicator used by the UK Department for Education, could be predicted by linear regression models and neural network approaches with an accuracy in line with human (teacher) predictions, and when combined with human predictions the models provided significant (P= 0.00039) gains on either approach in isolation. Seeking advice on further research particularly to introduce interactions to include a 'human in the loop' on model inputs, to refine feature selection, and to predict curriculum level variations in order for human intervention to occur early and improve outcomes. © EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining. All rights reserved.","Department of Computer Science, University of Surrey, Guildford, Surrey, United Kingdom","Woodruff, M.",Azure;  Bot;  Human in the loop;  Machine learning;  Predictive analytics;  Python;  Student outcomes,Conference Paper,,EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining,cited By 0,,722-725,Scopus,Predicting student academic outcomes in UK secondary phase education: An architecture for machine learning and user interaction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086005617&partnerID=40&md5=9799648e3b755aa1fa046d18152a4b9b,2019
conference,Hu201969,"Student's academic performance prediction empowers educational technologies including academic trajectory and degree planning, course recommender systems, early warning and advising systems. Given a student's past data (such as grades in prior courses), the task of student's performance prediction is to predict a student's grades in future courses. Academic programs are structured in a way that prior courses lay the foundation for future courses. The knowledge required by courses is obtained by taking multiple prior courses, which exhibits complex relationships modeled by graph structures. Traditional methods for student's performance prediction usually neglect the underlying relationships between multiple courses; and how students acquire knowledge across them. In addition, traditional methods do not provide interpretation for predictions needed for decision making. In this work, we propose a novel attention-based graph convolutional networks model for student's performance prediction. We conduct extensive experiments on a real-world dataset obtained from a large public university. The experimental results show that our proposed model outperforms state-of-the-art approaches in terms of grade prediction. The proposed model also shows strong accuracy in identifying students who are at-risk of failing or dropping out so that timely intervention and feedback can be provided to the student. © EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining. All rights reserved.","Department of Computer Science, George Mason University, Fairfax, VA, United States","Hu, Q. and Rangwala, H.",Attention;  Deep learning;  Educational data mining;  Graph convolutional networks,Conference Paper,,EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining,cited By 2,,69-78,Scopus,Academic performance estimation with attention-based graph convolutional networks,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086005482&partnerID=40&md5=48385d1070d765b4b2b41c71be4581bb,2019
conference,Jensen2019324,"Recent work in predictive modeling has called for increased scrutiny of how models generalize between different populations within the training data. Using interaction data from 69,174 students who used an online mathematics platform over an entire school year, we trained a sensor-free affect detection model and studied its generalizability to clusters of students based on typical platform use and demographic features. We show that models trained on one group perform similarly well when tested on the other groups, although there was a small advantage obtained by training individual subpopulation models compared to a general (all-population) model. Lastly, we perform a series of simulations to show how generalizability is affected by sample size. These results agree with our initial analysis that individual subpopulation models yield a small advantage over all-population models. Additionally, we show that training sizes smaller than 1,500 yield unstable models which make generalizability difficult to interpret. We discuss applications of this work in the context of developing large-scale affect detection models for diverse populations. © EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining. All rights reserved.","University of Colorado Boulder, United States","Jensen, E. and Hutt, S. and D'Mello, S.K.",Affect detection;  Clustering;  Generalizability;  Online learning;  Sensor-free,Conference Paper,,EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining,cited By 0,,324-329,Scopus,Generalizability of sensor-free affect detection models in a longitudinal dataset of tens of thousands of students,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086005077&partnerID=40&md5=ee2b3f89bc1a949d451e9c0855ad9748,2019
conference,Doan2019288,"One of the essential problems, in educational data mining, is to predict students' performance on future learning materials, such as problems, assignments, and quizzes. Pioneer algorithms for predicting student performance mostly rely on two sources of information: students' past performance, and learning materials' domain knowledge model. The domain knowledge model, traditionally curated by domain experts, maps learning materials to concepts, topics, or knowledge components that are presented in them. However, creating a domain model by manually labeling the learning material can be a difficult and time-consuming task. In this paper, we propose a tensor factorization model for student performance prediction that does not rely on a predefined domain model. Our proposed algorithm models student knowledge as a soft membership of latent concepts. It also represents the knowledge acquisition process with an added rank-based constraint in the tensor factorization objective function. Our experiments show that the proposed model outperforms state-of-the-art algorithms in predicting student performance in two real-world datasets, and is robust to hyper-parameters. © EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining. All rights reserved.","Department of Computer Science, University at Albany - SUNY, Albany, NY, United States","Doan, T.-N. and Sahebi, S.",Predicting student performance;  Student modeling;  Tensor factorization,Conference Paper,,EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining,cited By 0,,288-293,Scopus,Rank-based tensor factorization for student performance prediction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086004958&partnerID=40&md5=e03b564387e266adfd71f9ed09fb93ec,2019
conference,Wiley2019675,"While automated essay evaluation techniques have dramatically reduced instructors' grading burden, they fall short of providing instructors with the rich qualitative insights into students' sense making process that a careful read of essays can afford. In this study, we demonstrate how word embedding techniques can serve as a complement to automated scoring, providing instructors with valuable near-time insight into how their students are conceptualizing targeted lesson concepts. For this study, we use a post-test essay associated with two Web-based Inquiry Science Enrivonment (WISE) units that provides instruction about how the sun causes increases in temperature. We create word2vec models fit to students' c-rater scored essay responses at each score level of a rubric designed to assess students' integrated understanding of targeted concepts. Using cosine similarity, we identify, with statistically reliability, the ideas that students at each score level of the rubric used in relation to the concepts targeted in the essay prompt. Our instructor interview reveals the validity of the results in providing insight into students' ideas, differentiated across understanding levels. © EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining. All rights reserved.","University of California, Berkeley, Berkeley, CA  94720-1670, United States","Wiley, K.J. and Bradford, A. and Pardos, Z. and Linn, M.C.",,Conference Paper,,EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining,cited By 0,,675-678,Scopus,Beyond autoscoring: Extracting conceptual connections from essays for classroom instruction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086004485&partnerID=40&md5=3d56360e66e06a9c046e3ca8fe988258,2019
