Article,Year
Towards the Identification of Propaedeutic Relations in Textbooks,2019
Autonomy and Types of Informational Text Presentations in Game-Based Learning Environments,2019
Examining Gaze Behaviors and Metacognitive Judgments of Informational Text Within Game-Based Learning Environments,2019
Using “Idealized Peers” for Automated Evaluation of Student Understanding in an Introductory Psychology Course,2019
4D Affect Detection: Improving Frustration Detection in Game-Based Learning with Posture-Based Temporal Data Fusion,2019
Designing for Complementarity: Teacher and Student Needs for Orchestration Support in AI-Enhanced Classrooms,2019
The Case of Self-transitions in Affective Dynamics,2019
How Many Times Should a Pedagogical Agent Simulation Model Be Run?,2019
A Survey of the General Public’s Views on the Ethics of Using AI in Education,2019
Promoting Inclusivity Through Time-Dynamic Discourse Analysis in Digitally-Mediated Collaborative Learning,2019
Evaluating Machine Learning Approaches to Classify Pharmacy Students’ Reflective Statements,2019
Investigating Help-Giving Behavior in a Cross-Platform Learning Environment,2019
"Comfort with Robots Influences Rapport with a Social, Entraining Teachable Robot",2019
A Concept Map Based Assessment of Free Student Answers in Tutorial Dialogues,2019
Deep (Un)Learning: Using Neural Networks to Model Retention and Forgetting in an Adaptive Learning System,2019
Checking It Twice: Does Adding Spelling and Grammar Checkers Improve Essay Quality in an Automated Writing Tutor?,2019
What’s Most Broken? Design and Evaluation of a Tool to Guide Improvement of an Intelligent Tutor,2019
Reducing Mind-Wandering During Vicarious Learning from an Intelligent Tutoring System,2019
Annotated Examples and Parameterized Exercises: Analyzing Students’ Behavior Patterns,2019
Investigating the Effect of Adding Nudges to Increase Engagement in Active Video Watching,2019
Behavioural Cloning of Teachers for Automatic Homework Selection,2019
Integrating Students’ Behavioral Signals and Academic Profiles in Early Warning System,2019
Predicting Academic Performance: A Bootstrapping Approach for Learning Dynamic Bayesian Networks,2019
Predicting Multi-document Comprehension: Cohesion Network Analysis,2019
Student Network Analysis: A Novel Way to Predict Delayed Graduation in Higher Education,2019
Automatic Generation of Problems and Explanations for an Intelligent Algebra Tutor,2019
Generalizability of Methods for Imputing Mathematical Skills Needed to Solve Problems from Texts,2019
Using Machine Learning to Overcome the Expert Blind Spot for Perceptual Fluency Trainings,2019
Disentangling Conceptual and Embodied Mechanisms for Learning with Virtual and Physical Representations,2019
Adaptive Support for Representation Skills in a Chemistry ITS Is More Effective Than Static Support,2019
Confrustion in Learning from Erroneous Examples: Does Type of Prompted Self-explanation Make a Difference?,2019
Modeling Collaboration in Online Conversations Using Time Series Analysis and Dialogism,2019
Improving Short Answer Grading Using Transformer-Based Pre-training,2019
The Impact of Student Model Updates on Contingent Scaffolding in a Natural-Language Tutoring System,2019
Uniform Adaptive Testing Using Maximum Clique Algorithm,2019
Rater-Effect IRT Model Integrating Supervised LDA for Accurate Measurement of Essay Writing Ability,2019
Collaboration Detection that Preserves Privacy of Students’ Speech,2019
How Does Order of Gameplay Impact Learning and Enjoyment in a Digital Learning Game?,2019
Analyzing Students’ Design Solutions in an NGSS-Aligned Earth Sciences Curriculum,2019
Hierarchical Reinforcement Learning for Pedagogical Policy Induction,2019
Item Ordering Biases in Educational Data,2019
A Comparative Study on Question-Worthy Sentence Selection Strategies for Educational Question Generation,2019
Effect of Discrete and Continuous Parameter Variation on Difficulty in Automatic Item Generation,2019
Automated Summarization Evaluation (ASE) Using Natural Language Processing Tools,2019
The Importance of Automated Real-Time Performance Feedback in Virtual Reality Temporal Bone Surgery Training,2019
Model-Based Characterization of Text Discourse Content to Evaluate Online Group Collaboration,2019
"Conscientiousness, Honesty-Humility, and Analogical/Creative Reasoning: Implications for Instructional Designs in Intelligent Tutoring Systems",2019
Learners’ Gaze Behaviors and Metacognitive Judgments with an Agent-Based Multimedia Environment,2019
Online Assessment of Belief Biases and Their Impact on the Acceptance of Fallacious Reasoning,2019
Early Dropout Prediction for Programming Courses Supported by Online Judges,2019
Developing a Deep Learning-Based Affect Recognition System for Young Children,2019
Using Exploratory Data Analysis to Support Implementation and Improvement of Education Technology Product,2019
Bayesian Diagnosis Tracing: Application of Procedural Misconceptions in Knowledge Tracing,2019
Analysis of Gamification Elements. A Case Study in a Computer Science Course,2019
Towards Adaptive Worked-Out Examples in an Intelligent Tutoring System,2019
Orchestrating Class Discussion with Collaborative Kit-Build Concept Mapping,2019
Identifying Editor Roles in Argumentative Writing from Student Revision Histories,2019
"Automating the Categorization of Learning Activities, to Help Improve Learning Design",2019
Identifying the Structure of Students’ Explanatory Essays,2019
A Systematic Approach for Analyzing Students’ Computational Modeling Processes in C2STEM,2019
Intelligent Tutoring System for Negotiation Skills Training,2019
Robot Lecture for Enhancing Non-verbal Behavior in Lecture,2019
Design Prompts for Virtual Reality in Education,2019
Assessing and Improving Learning Outcomes for Power Management Experiments Using Cognitive Graph,2019
Does Choosing the Concept on Which to Solve Each Practice Problem in an Adaptive Tutor Affect Learning?,2019
Measuring Content Complexity of Technical Texts: Machine Learning Experiments,2019
Should Students Use Digital Scratchpads? Impact of Using a Digital Assistive Tool on Arithmetic Problem-Solving,2019
Degree Curriculum Contraction: A Vector Space Approach,2019
What Does Time Tell? Tracing the Forgetting Curve Using Deep Knowledge Tracing,2019
Evaluating the Transfer of Scaffolded Inquiry: What Sticks and Does It Last?,2019
Automatic Short Answer Grading via Multiway Attention Networks,2019
Automatic Classification of Error Types in Solutions to Programming Assignments at Online Learning Platform,2019
Using Recurrent Neural Networks to Build a Stopping Algorithm for an Adaptive Assessment,2019
Participatory Design to Lower the Threshold for Intelligent Support Authoring,2019
Finding Relevant e-Learning Materials,2019
Predicting Dialogue Breakdown in Conversational Pedagogical Agents with Multimodal LSTMs,2019
Pique: Recommending a Personalized Sequence of Research Papers to Engage Student Curiosity,2019
Group Formation for Collaborative Learning,2019
L2 Learners’ Preferences of Dialogue Agents: A Key to Achieve Adaptive Motivational Support?,2019
AI Meets Austen: Towards Human-Robot Discussions of Literary Metaphor,2019
Discovery of Study Patterns that Impacts Students’ Discussion Performance in Forum Assignments,2019
Automatic Construction of a Phonics Curriculum for Reading Education Using the Transformer Neural Network,2019
An Annotation Protocol for Collecting User-Generated Counter-Arguments Using Crowdsourcing,2019
Towards an Automatic Q&A Generation for Online Courses - A Pipeline Based Approach,2019
Semantic Matching of Open Texts to Pre-scripted Answers in Dialogue-Based Learning,2019
"Developing Game-Based Models of Cooperation, Persistence and Problem Solving from Collaborative Gameplay",2019
An Intelligent-Agent Facilitated Scaffold for Fostering Reflection in a Team-Based Project Course,2019
I Wanna Talk Like You: Speaker Adaptation to Dialogue Style in L2 Practice Conversation,2019
Understanding Students’ Model Building Strategies Through Discourse Analysis,2019
Eye Gaze Sequence Analysis to Model Memory in E-education,2019
Exploring Teachable Humans and Teachable Agents: Human Strategies Versus Agent Policies and the Basis of Expertise,2019
Learning from Videos Showing a Dialog Fosters More Positive Affect Than Learning from a Monolog,2019
Automated Feedback on the Structure of Hypothesis Tests,2019
Informing the Utility of Learning Interventions: Investigating Factors Related to Students’ Academic Achievement in Classroom and Online Courses,2019
