"Article","Year","Author"
"Towards the Identification of Propaedeutic Relations in Textbooks",2019,"Giovanni_Adorni"
"Towards the Identification of Propaedeutic Relations in Textbooks",2019,"Chiara_Alzetta"
"Towards the Identification of Propaedeutic Relations in Textbooks",2019,"Frosina_Koceva"
"Towards the Identification of Propaedeutic Relations in Textbooks",2019,"Samuele_Passalacqua"
"Towards the Identification of Propaedeutic Relations in Textbooks",2019,"Ilaria_Torre"
"Autonomy and Types of Informational Text Presentations in Game-Based Learning Environments",2019,"Daryn_A._Dever"
"Autonomy and Types of Informational Text Presentations in Game-Based Learning Environments",2019,"Roger_Azevedo"
"Examining Gaze Behaviors and Metacognitive Judgments of Informational Text Within Game-Based Learning Environments",2019,"Daryn_A._Dever"
"Examining Gaze Behaviors and Metacognitive Judgments of Informational Text Within Game-Based Learning Environments",2019,"Roger_Azevedo"
"Using “Idealized Peers” for Automated Evaluation of Student Understanding in an Introductory Psychology Course",2019,"Tricia_A._Guerrero"
"Using “Idealized Peers” for Automated Evaluation of Student Understanding in an Introductory Psychology Course",2019,"Jennifer_Wiley"
"4D Affect Detection: Improving Frustration Detection in Game-Based Learning with Posture-Based Temporal Data Fusion",2019,"Nathan_Henderson"
"4D Affect Detection: Improving Frustration Detection in Game-Based Learning with Posture-Based Temporal Data Fusion",2019,"Jonathan_Rowe"
"4D Affect Detection: Improving Frustration Detection in Game-Based Learning with Posture-Based Temporal Data Fusion",2019,"Bradford_Mott"
"4D Affect Detection: Improving Frustration Detection in Game-Based Learning with Posture-Based Temporal Data Fusion",2019,"Keith_Brawner"
"4D Affect Detection: Improving Frustration Detection in Game-Based Learning with Posture-Based Temporal Data Fusion",2019,"Ryan_Baker"
"4D Affect Detection: Improving Frustration Detection in Game-Based Learning with Posture-Based Temporal Data Fusion",2019,"James_Lester"
"Designing for Complementarity: Teacher and Student Needs for Orchestration Support in AI-Enhanced Classrooms",2019,"Kenneth_Holstein"
"Designing for Complementarity: Teacher and Student Needs for Orchestration Support in AI-Enhanced Classrooms",2019,"Bruce_M._McLaren"
"Designing for Complementarity: Teacher and Student Needs for Orchestration Support in AI-Enhanced Classrooms",2019,"Vincent_Aleven"
"The Case of Self-transitions in Affective Dynamics",2019,"Shamya_Karumbaiah"
"The Case of Self-transitions in Affective Dynamics",2019,"Ryan_Baker"
"The Case of Self-transitions in Affective Dynamics",2019,"Jaclyn_Ocumpaugh"
"How Many Times Should a Pedagogical Agent Simulation Model Be Run?",2019,"David_Edgar_K._Lelei"
"How Many Times Should a Pedagogical Agent Simulation Model Be Run?",2019,"Gordon_McCalla"
"A Survey of the General Public’s Views on the Ethics of Using AI in Education",2019,"Annabel_Latham"
"A Survey of the General Public’s Views on the Ethics of Using AI in Education",2019,"Sean_Goltz"
"Promoting Inclusivity Through Time-Dynamic Discourse Analysis in Digitally-Mediated Collaborative Learning",2019,"Nia_Dowell"
"Promoting Inclusivity Through Time-Dynamic Discourse Analysis in Digitally-Mediated Collaborative Learning",2019,"Yiwen_Lin"
"Promoting Inclusivity Through Time-Dynamic Discourse Analysis in Digitally-Mediated Collaborative Learning",2019,"Andrew_Godfrey"
"Promoting Inclusivity Through Time-Dynamic Discourse Analysis in Digitally-Mediated Collaborative Learning",2019,"Christopher_Brooks"
"Evaluating Machine Learning Approaches to Classify Pharmacy Students’ Reflective Statements",2019,"Ming_Liu"
"Evaluating Machine Learning Approaches to Classify Pharmacy Students’ Reflective Statements",2019,"Simon_Buckingham_Shum"
"Evaluating Machine Learning Approaches to Classify Pharmacy Students’ Reflective Statements",2019,"Efi_Mantzourani"
"Evaluating Machine Learning Approaches to Classify Pharmacy Students’ Reflective Statements",2019,"Cherie_Lucas"
"Investigating Help-Giving Behavior in a Cross-Platform Learning Environment",2019,"Ishrat_Ahmed"
"Investigating Help-Giving Behavior in a Cross-Platform Learning Environment",2019,"Areej_Mawasi"
"Investigating Help-Giving Behavior in a Cross-Platform Learning Environment",2019,"Shang_Wang"
"Investigating Help-Giving Behavior in a Cross-Platform Learning Environment",2019,"Ruth_Wylie"
"Investigating Help-Giving Behavior in a Cross-Platform Learning Environment",2019,"Yoav_Bergner"
"Investigating Help-Giving Behavior in a Cross-Platform Learning Environment",2019,"Amanda_Whitehurst"
"Investigating Help-Giving Behavior in a Cross-Platform Learning Environment",2019,"Erin_Walker"
"Comfort with Robots Influences Rapport with a Social, Entraining Teachable Robot",2019,"Nichola_Lubold"
"Comfort with Robots Influences Rapport with a Social, Entraining Teachable Robot",2019,"Erin_Walker"
"Comfort with Robots Influences Rapport with a Social, Entraining Teachable Robot",2019,"Heather_Pon_Barry"
"Comfort with Robots Influences Rapport with a Social, Entraining Teachable Robot",2019,"Amy_Ogan"
"A Concept Map Based Assessment of Free Student Answers in Tutorial Dialogues",2019,"Nabin_Maharjan"
"A Concept Map Based Assessment of Free Student Answers in Tutorial Dialogues",2019,"Vasile_Rus"
"Deep (Un)Learning: Using Neural Networks to Model Retention and Forgetting in an Adaptive Learning System",2019,"Jeffrey_Matayoshi"
"Deep (Un)Learning: Using Neural Networks to Model Retention and Forgetting in an Adaptive Learning System",2019,"Hasan_Uzun"
"Deep (Un)Learning: Using Neural Networks to Model Retention and Forgetting in an Adaptive Learning System",2019,"Eric_Cosyn"
"Checking It Twice: Does Adding Spelling and Grammar Checkers Improve Essay Quality in an Automated Writing Tutor?",2019,"Kathryn_S._McCarthy"
"Checking It Twice: Does Adding Spelling and Grammar Checkers Improve Essay Quality in an Automated Writing Tutor?",2019,"Rod_Roscoe"
"Checking It Twice: Does Adding Spelling and Grammar Checkers Improve Essay Quality in an Automated Writing Tutor?",2019,"Aaron_D._Likens"
"Checking It Twice: Does Adding Spelling and Grammar Checkers Improve Essay Quality in an Automated Writing Tutor?",2019,"Danielle_McNamara"
"What’s Most Broken? Design and Evaluation of a Tool to Guide Improvement of an Intelligent Tutor",2019,"Shiven_Mian"
"What’s Most Broken? Design and Evaluation of a Tool to Guide Improvement of an Intelligent Tutor",2019,"Mononito_Goswami"
"What’s Most Broken? Design and Evaluation of a Tool to Guide Improvement of an Intelligent Tutor",2019,"Jack_Mostow"
"Reducing Mind-Wandering During Vicarious Learning from an Intelligent Tutoring System",2019,"Caitlin_Mills"
"Reducing Mind-Wandering During Vicarious Learning from an Intelligent Tutoring System",2019,"Nigel_Bosch"
"Reducing Mind-Wandering During Vicarious Learning from an Intelligent Tutoring System",2019,"Kristina_Krasich"
"Reducing Mind-Wandering During Vicarious Learning from an Intelligent Tutoring System",2019,"Sidney_D'Mello"
"Annotated Examples and Parameterized Exercises: Analyzing Students’ Behavior Patterns",2019,"Mehrdad_Mirzaei"
"Annotated Examples and Parameterized Exercises: Analyzing Students’ Behavior Patterns",2019,"Shaghayegh_Sahebi"
"Annotated Examples and Parameterized Exercises: Analyzing Students’ Behavior Patterns",2019,"Peter_Brusilovsky"
"Investigating the Effect of Adding Nudges to Increase Engagement in Active Video Watching",2019,"Antonija_Mitrovic"
"Investigating the Effect of Adding Nudges to Increase Engagement in Active Video Watching",2019,"Matthew_Gordon"
"Investigating the Effect of Adding Nudges to Increase Engagement in Active Video Watching",2019,"Alicja_Piotrkowicz"
"Investigating the Effect of Adding Nudges to Increase Engagement in Active Video Watching",2019,"Vania_Dimitrova"
"Behavioural Cloning of Teachers for Automatic Homework Selection",2019,"Russell_Moore"
"Behavioural Cloning of Teachers for Automatic Homework Selection",2019,"Andrew_Caines"
"Behavioural Cloning of Teachers for Automatic Homework Selection",2019,"Andrew_Rice"
"Behavioural Cloning of Teachers for Automatic Homework Selection",2019,"Paula_Buttery"
"Integrating Students’ Behavioral Signals and Academic Profiles in Early Warning System",2019,"SungJin_Nam"
"Integrating Students’ Behavioral Signals and Academic Profiles in Early Warning System",2019,"Perry_Samson"
"Predicting Academic Performance: A Bootstrapping Approach for Learning Dynamic Bayesian Networks",2019,"Mashael_Al_Luhaybi"
"Predicting Academic Performance: A Bootstrapping Approach for Learning Dynamic Bayesian Networks",2019,"Leila_Yousefi"
"Predicting Academic Performance: A Bootstrapping Approach for Learning Dynamic Bayesian Networks",2019,"Stephen_Swift"
"Predicting Academic Performance: A Bootstrapping Approach for Learning Dynamic Bayesian Networks",2019,"Steve_Counsell"
"Predicting Academic Performance: A Bootstrapping Approach for Learning Dynamic Bayesian Networks",2019,"Allan_Tucker"
"Predicting Multi-document Comprehension: Cohesion Network Analysis",2019,"Bogdan_Nicula"
"Predicting Multi-document Comprehension: Cohesion Network Analysis",2019,"Cecile_Perret"
"Predicting Multi-document Comprehension: Cohesion Network Analysis",2019,"Mihai_Dascalu"
"Predicting Multi-document Comprehension: Cohesion Network Analysis",2019,"Danielle_McNamara"
"Student Network Analysis: A Novel Way to Predict Delayed Graduation in Higher Education",2019,"Nasheen_Nur"
"Student Network Analysis: A Novel Way to Predict Delayed Graduation in Higher Education",2019,"Noseong_Park"
"Student Network Analysis: A Novel Way to Predict Delayed Graduation in Higher Education",2019,"Mohsen_Dorodchi"
"Student Network Analysis: A Novel Way to Predict Delayed Graduation in Higher Education",2019,"Wenwen_Dou"
"Student Network Analysis: A Novel Way to Predict Delayed Graduation in Higher Education",2019,"Mohammad_Javad_Mahzoon"
"Student Network Analysis: A Novel Way to Predict Delayed Graduation in Higher Education",2019,"Xi_Niu"
"Student Network Analysis: A Novel Way to Predict Delayed Graduation in Higher Education",2019,"Mary_Lou_Maher"
"Automatic Generation of Problems and Explanations for an Intelligent Algebra Tutor",2019,"Eleanor_O’Rourke"
"Automatic Generation of Problems and Explanations for an Intelligent Algebra Tutor",2019,"Eric_Butler"
"Automatic Generation of Problems and Explanations for an Intelligent Algebra Tutor",2019,"Armando_Díaz_Tolentino"
"Automatic Generation of Problems and Explanations for an Intelligent Algebra Tutor",2019,"Zoran_Popović"
"Generalizability of Methods for Imputing Mathematical Skills Needed to Solve Problems from Texts",2019,"Thanaporn_Patikorn"
"Generalizability of Methods for Imputing Mathematical Skills Needed to Solve Problems from Texts",2019,"David_Deisadze"
"Generalizability of Methods for Imputing Mathematical Skills Needed to Solve Problems from Texts",2019,"Leo_Grande"
"Generalizability of Methods for Imputing Mathematical Skills Needed to Solve Problems from Texts",2019,"Ziyang_Yu"
"Generalizability of Methods for Imputing Mathematical Skills Needed to Solve Problems from Texts",2019,"Neil_Heffernan"
"Using Machine Learning to Overcome the Expert Blind Spot for Perceptual Fluency Trainings",2019,"Martina_Rau"
"Using Machine Learning to Overcome the Expert Blind Spot for Perceptual Fluency Trainings",2019,"Ayon_Sen"
"Using Machine Learning to Overcome the Expert Blind Spot for Perceptual Fluency Trainings",2019,"Xiaojin_Zhu"
"Disentangling Conceptual and Embodied Mechanisms for Learning with Virtual and Physical Representations",2019,"Martina_Rau"
"Disentangling Conceptual and Embodied Mechanisms for Learning with Virtual and Physical Representations",2019,"Tara_A._Schmidt"
"Adaptive Support for Representation Skills in a Chemistry ITS Is More Effective Than Static Support",2019,"Martina_Rau"
"Adaptive Support for Representation Skills in a Chemistry ITS Is More Effective Than Static Support",2019,"Miranda_Zahn"
"Adaptive Support for Representation Skills in a Chemistry ITS Is More Effective Than Static Support",2019,"Edward_Misback"
