"Article","Year","Author","Stem"
"4C: Continuous Cognitive Career Companions",2017,"Ashish_Jagmohan","machine learning challeng"
"4D Affect Detection: Improving Frustration Detection in Game-Based Learning with Posture-Based Temporal Data Fusion",2019,"Bradford_Mott","affect detect"
"A Comparative Study on Question-Worthy Sentence Selection Strategies for Educational Question Generation",2019,"Dragan_Gasevic","educational question gener"
"A Comparison of Tutoring Strategies for Recovering from a Failed Attempt During Faded Support",2018,"Pamela_Jordan","remediation strategi"
"A Comparison of Two Different Methods to Individualize Students and Skills",2013,"Neil_Heffernan","student model"
"A Comparisons of BKT, RNN and LSTM for Learning Gain Prediction",2017,"Chen_Lin","lstm"
"A Computational Thinking Approach to Learning Middle School Science",2013,"Gautam_Biswas","computational think"
"A Concept Map Based Assessment of Free Student Answers in Tutorial Dialogues",2019,"Nabin_Maharjan","concept map"
"A Conceptual Framework for Human–AI Hybrid Adaptivity in Education",2020,"Kenneth_Holstein","adapt"
"A Data-Driven Method for Helping Teachers Improve Feedback in Computer Programming Automated Tutors",2018,"Irena_Koprinska","data-driven teacher support"
"A Data-Driven Student Model to Provide Adaptive Support During Video Watching Across MOOCs",2020,"Cristina_Conati","person"
"A Design-Based Approach to a Classroom-Centered OELE",2018,"Akos_Ledezci","computational think"
"A Framework for Automated Generation of Questions Based on First-Order Logic",2015,"Martin_Henz_","first order log"
"A Framework for Exploring the Impact of Tutor Practices on Learner Self-regulation in Online Environments",2020,"Madiha_Khan_Galaria","self-regulated learn"
"A Gamified Solution to the Cold-Start Problem of Intelligent Tutoring System",2020,"Ig_Ibert_Bittencourt","intelligent tutoring system"
"A General Multi-method Approach to Design-Loop Adaptivity in Intelligent Tutoring Systems",2020,"Elizabeth_McLaughlin","instructional design"
"A Hypergraph Based Framework for Intelligent Tutoring of Algebraic Reasoning",2013,"David_Arnau","intelligent tutoring system"
"A Large-Scale, Open-Domain, Mixed-Interface Dialogue-Based ITS for STEM",2020,"Aaron_Courville","intelligent tutoring system"
"A Learning Environment That Combines Problem-Posing and Problem-Solving Activities",2013,"Hitoshi_Terai","problem pos"
"A Machine Learning Grading System Using Chatbots",2019,"Ben_K._Daniel","chatbot"
"A Markov Decision Process Model of Tutorial Intervention in Task-Oriented Dialogue",2013,"Christopher_M._Mitchell","tutorial dialogu"
"A Matrix Factorization Method for Mapping Items to Skills and for Enhancing Expert-Based Q-Matrices",2013,"Michel_Desmarais","student model"
"A Multi-layered Architecture for Analysis of Non-technical-Skills in Critical Situations",2017,"Catherine_Garbay","ill-defined domain"
"A Multimodal Alerting System for Online Class Quality Assurance",2019,"Gale_Yan_Huang","multimodal learn"
"A Player Model for Adaptive Gamification in Learning Environments",2015,"Baptiste_Monterrat","gamif"
"A Predictive Model of Learning Gains for a Video and Exercise Intensive Learning Environment",2015,"Carlos_Delgado_Kloos","educational data min"
"A Preliminary Evaluation of the Usability of an AI-Infused Orchestration System",2018,"Alan_Schoenfeld","orchestr"
"A Question Generation Framework for Teachers",2018,"Alejex_Shabas","question gener"
"A Socratic Tutor for Source Code Comprehension",2020,"Lasagn_Tamang","socratic method"
"A Study of Automatic Speech Recognition in Noisy Classroom Environments for Automated Dialog Analysis",2015,"Andrew_Olney","google speech"
"A Survey of the General Public’s Views on the Ethics of Using AI in Education",2019,"Annabel_Latham","ethic"
"A System-General Model for the Detection of Gaming the System Behavior in CTAT and LearnSphere",2018,"Luc_Paquette","gaming the system"
"A Systematic Approach for Analyzing Students’ Computational Modeling Processes in C2STEM",2019,"Caitlin_Snyder","learning by model"
"A Task-Oriented Dialogue System for Moral Education",2019,"Penghe_Chen","moral educ"
"A Tutorial Dialogue System for Real-Time Evaluation of Unsupervised Dialogue Act Classifiers: Exploring System Outcomes",2015,"Aysu_Ezen_Can","dialogue act classif"
"A Virtual Counselor for Genetic Risk Communication",2019,"Shuo_Zhou","embodied conversational ag"
"“Mind” TS: Testing a Brief Mindfulness Intervention with an Intelligent Tutoring System",2018,"Caitlin_Mills","intelligent tutoring system"
"“Thanks Alisha, Keep in Touch”: Gender Effects and Engagement with Virtual Learning Companions",2017,"Bradford_Mott","learning companion"
"Active Learning for Efficient Testing of Student Programs",2018,"Aditya_Kanade","student program"
"Active Learning for Improving Machine Learning of Student Explanatory Essays",2018,"Mary_Anne_Britt","exploratory essai"
"Adapting Collaboration Dialogue in Response to Intelligent Tutoring System Feedback",2015,"Jennifer_K._Olsen","problem solv"
"Adapting Learning Activities Selection in an Intelligent Tutoring System to Affect",2018,"Chinasa_Odo","affective st"
"Adapting Step Granularity in Tutorial Dialogue Based on Pretest Scores",2017,"Pamela_Jordan","tutorial dialogu"
"Adaptive Assessment in an Instructor-Mediated System",2013,"Jeremiah_T._Folsom_Kovarik","assess"
"Adaptive Forgetting Curves for Spaced Repetition Language Learning",2020,"Ahmed_Zaidi","spaced repetit"
"Adaptive Learning Goes to China",2018,"Mingyu_Feng","adaptive learn"
"Adaptive Learning Open Source Initiative for MOOC Experimentation",2018,"Andrew_Ang","adapt"
"Adaptive Representation of Digital Resources Search Results in Personal Learning Environment",2015,"Cyrille_Suire","visual represent"
"Adaptive Scaffolds in Open-Ended Learning Environments",2013,"James_R._Segedy","open-ended learning environ"
"Adaptive Support for Representation Skills in a Chemistry ITS Is More Effective Than Static Support",2019,"Edward_Misback","multiple represent"
"Adaptive Testing Based on Bayesian Decision Theory",2013,"Maomi_Ueno","educational assess"
"Adaptive Visual Dialog for Intelligent Tutoring Systems",2018,"Jae_wook_Ahn","intelligent tutoring system"
"Adolescents’ Self-regulation During Job Interviews Through an AI Coaching Environment",2018,"Evi_Chryssafidou","open learner models (olm)"
"Affective Sequences and Student Actions Within Reasoning Mind",2020,"Jaclyn_Ocumpaugh","affect dynam"
"Agent-in-the-Loop: Conversational Agent Support in Service of Reflection for Learning During Collaborative Programming",2020,"Carolyn_Rosé","conversational ag"
"AI Enabled Tutor for Accessible Training",2020,"Ayan_Banerjee","ai enabled tutor"
"AIED 2013 Simulated Learners Workshop",2013,"Gordon_McCalla","pedagogical strategi"
"Algorithm for Uniform Test Assembly Using a Maximum Clique Problem and Integer Programming",2017,"Maomi_Ueno","uniform test assembli"
"Aligning and Comparing Data on Emotions Experienced during Learning with MetaTutor",2013,"François_Bouchet","emot"
"Alleviating the Negative Effect of Up and Downvoting on Help Seeking in MOOC Discussion Forums",2015,"Carolyn_Rose","help seek"
"Allowing Revisions While Providing Error-Flagging Support: Is More Better?",2020,"Amruth_N._Kumar","error-flagging feedback"
"Am I Wrong or Am I Right? Gains in Monitoring Accuracy in an Intelligent Tutoring System for Writing",2015,"Cecile_Perret","tutor"
"Amplifying Teachers Intelligence in the Design of Gamified Intelligent Tutoring Systems",2018,"Alan_Pedro_da_Silva","its authoring tool"
"An Adaptive Coach for Invention Activities",2017,"Catherine_Chase","invent"
"An Annotation Protocol for Collecting User-Generated Counter-Arguments Using Crowdsourcing",2019,"Gisela_Vallejo","critical think"
"An Approach to Model Children’s Inhibition During Early Literacy and Numeracy Acquisition",2020,"Aude_Thomas","learn"
"An Authoring Tool for Semi-automatic Generation of Self-assessment Exercises",2013,"Baptiste_Cablé","semi-automatic generation of exercis"
"An Automatic Approach for Mining Patterns of Collaboration around an Interactive Tabletop",2013,"Judy_Kay","data min"
"An Automatic Marking System for Interactive Exercises on Blind Search Algorithms",2013,"Foteini_Grivokostopoulou","web-based e-learning system"
"An Evaluation of Data-Driven Programming Hints in a Classroom Setting",2020,"Joseph_Jay_Williams","data-driven hint"
"An Evaluation of the Effectiveness of Just-In-Time Hints",2013,"Annalies_Vuong","just-in-time help"
"An Instructional Factors Analysis of an Online Logical Fallacy Tutoring System",2018,"John_Stamper","informal log"
"An Integrated Emotion-Aware Framework for Intelligent Tutoring Systems",2015,"Claude_Frasson","emot"
"An Intelligent-Agent Facilitated Scaffold for Fostering Reflection in a Team-Based Project Course",2019,"Cameron_Dashti","online mob program"
