"Article","Year","Stem"
"Towards the Identification of Propaedeutic Relations in Textbooks",2019,"relation extract"
"Autonomy and Types of Informational Text Presentations in Game-Based Learning Environments",2019,"autonomi"
"Examining Gaze Behaviors and Metacognitive Judgments of Informational Text Within Game-Based Learning Environments",2019,"metacognitive judg"
"Using “Idealized Peers” for Automated Evaluation of Student Understanding in an Introductory Psychology Course",2019,"automated assess"
"4D Affect Detection: Improving Frustration Detection in Game-Based Learning with Posture-Based Temporal Data Fusion",2019,"affect detect"
"Designing for Complementarity: Teacher and Student Needs for Orchestration Support in AI-Enhanced Classrooms",2019,"design"
"The Case of Self-transitions in Affective Dynamics",2019,"affect dynam"
"How Many Times Should a Pedagogical Agent Simulation Model Be Run?",2019,"simul"
"A Survey of the General Public’s Views on the Ethics of Using AI in Education",2019,"ethic"
"Promoting Inclusivity Through Time-Dynamic Discourse Analysis in Digitally-Mediated Collaborative Learning",2019,"group communication analysi"
"Evaluating Machine Learning Approaches to Classify Pharmacy Students’ Reflective Statements",2019,"reflective writ"
"Investigating Help-Giving Behavior in a Cross-Platform Learning Environment",2019,"adaptive collaborative learning support"
"Comfort with Robots Influences Rapport with a Social, Entraining Teachable Robot",2019,"teachable ag"
"A Concept Map Based Assessment of Free Student Answers in Tutorial Dialogues",2019,"concept map"
"Deep (Un)Learning: Using Neural Networks to Model Retention and Forgetting in an Adaptive Learning System",2019,"forgetting curv"
"Checking It Twice: Does Adding Spelling and Grammar Checkers Improve Essay Quality in an Automated Writing Tutor?",2019,"automated writing evalu"
"Reducing Mind-Wandering During Vicarious Learning from an Intelligent Tutoring System",2019,"mind-wand"
"Annotated Examples and Parameterized Exercises: Analyzing Students’ Behavior Patterns",2019,"student sequence analysi"
"Investigating the Effect of Adding Nudges to Increase Engagement in Active Video Watching",2019,"video-based learn"
"Behavioural Cloning of Teachers for Automatic Homework Selection",2019,"homework select"
"Integrating Students’ Behavioral Signals and Academic Profiles in Early Warning System",2019,"early warning system"
