"Article","Year"
"EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining",2019
"Preface",2019
"Students' use of support functions in DBAs: Analysis of NAEP grade 8 mathematics process data",2019
"A methodology for student video interaction patterns analysis and classification",2019
"Evaluating fairness and generalizability in models predicting on-time graduation from college applications",2019
"Predicting student academic outcomes in UK secondary phase education: An architecture for machine learning and user interaction",2019
"Academic performance estimation with attention-based graph convolutional networks",2019
"Generalizability of sensor-free affect detection models in a longitudinal dataset of tens of thousands of students",2019
"Rank-based tensor factorization for student performance prediction",2019
"Beyond autoscoring: Extracting conceptual connections from essays for classroom instruction",2019
"A comparison of automated scale short form selection strategies",2019
"Machine-learned school dropout early warning at Scale",2019
"Second LABBEC workshop: Learning analytics, building bridges between the education and the computing communities",2019
"Generalizing expert misconception diagnoses through common wrong answer embedding",2019
"Studying factors influencing the prediction of student STEM and non-STEM career choice",2019
"Detecting creativity in an open ended geometry environment",2019
"It's a match! Reciprocal recommender system for graduating students and jobs",2019
"Optimizing assignment of students to courses based on learning activity analytics",2019
"Probabilistic modeling of peer correction and peer assessment",2019
"Identifying collaborative learning states using unsupervised machine learning on eye-tracking, physiological and motion sensor data",2019
"Individual differences in student learning aid usage",2019
"Machine-learned or expert-engineered features? Exploring feature engineering methods in detectors of student behavior and affect",2019
"Machine learning based decision support system for categorizing MOOC discussion forum posts",2019
"Clustering students based on their prior knowledge",2019
"Towards the prediction of semantic complexity based on concept graphs",2019
"Validating the myth of average through evidences",2019
"Sparse neural attentive knowledge-based models for grade prediction",2019
"Grades are not normal: Improving exam score models using the logit-normal distribution",2019
"Towards modeling students' problem-solving skills in non-routine mathematics problems",2019
"Reinforcement learning for educational data mining workshop (RL-EDM 2019)",2019
"Skills embeddings: A neural approach to multicomponent representations of students and tasks",2019
"Active learning for student affect detection",2019
"Balancing student success and inferring personalized effects in dynamic experiments",2019
"Learning feature analysis for quality improvement of web-based teaching materials using mouse cursor tracking",2019
"Modeling and experimental design for MOOC dropout prediction: A replication perspective",2019
"Causal discovery with tetrad in LearnSphere's tigris",2019
"Using latent variable models to observe academic pathways",2019
"Hello? Who is posting, who is answering, and who is succeeding in Massive Open Online Courses",2019
"Techniques for automatically evaluating machine-generated questions",2019
"Shedding light on the automated essay scoring process",2019
"Active learning of strict partial orders: A case study on concept prerequisite relations",2019
"Design and evaluation of a semantic indicator for automatically supporting programming learning",2019
"Adding duration-based quality labels to learning events for improved description of students' online learning behavior",2019
"Leveraging deep reinforcement learning for pedagogical policy induction in an intelligent tutoring system",2019
"Affect detection in home-based educational software for young children",2019
"ATC framework: A fully automatic cognitive tracing model for student and educational contents",2019
"Assessing student response in tutorial dialogue context using probabilistic soft logic",2019
"Augmenting transcripts with natural language processing and multimodal data",2019
"How should online teachers of English as a Foreign Language (EFL) write feedback to students?",2019
"What you say is relevant to how you make friends: Measuring the effect of content on social connection",2019
"Automatic identification of questions in MOOC forums and association with self-regulated learning",2019
"What will you do next? A sequence analysis on the student transitions between online platforms in blended courses",2019
"EDM & games: Leveling up engaged learning with data-rich analytics",2019
"Predicting the quality of collaborative problem solving through linguistic analysis of discourse",2019
"Parent as a companion for solving challenging math problems: Insights from multi-modal observational data",2019
"Toward near zero-parameter prediction using a computational model of student learning",2019
"Design of an elective course recommendation system for university environment",2019
"A data-driven approach for automated assessment of scientific explanations in science inquiry",2019
"Tutorbot corpus: Evidence of human-agent verbal alignment in second language learner dialogues",2019
"A novel use of educational data mining to inform effective management of academic programs",2019
"Predictors of student satisfaction: A large-scale study of human-human online tutorial dialogues",2019
"Assessing the fairness of graduation predictions",2019
"Early detection of wheel spinning: Comparison across tutors, models, features, and operationalizations",2019
"A better cold-start for early prediction of student at-risk status in new school districts",2019
"Concept-aware deep knowledge tracing and exercise recommendation in an online learning system",2019
"Deep hierarchical knowledge tracing",2019
"Predicting student dropout in higher education based on previous exam results",2019
"Content-based course recommender system for liberal arts education",2019
"Identifying bias and underlying knowledge structures in Brazilian National exam of students performance",2019
"Affective state prediction in a mobile setting using wearable biometric sensors and stylus",2019
"Utterance-level modeling of indicators of engaging classroom discourse",2019
"Hǎo Fāyīn: Developing automated audio assessment tools for a Chinese language course",2019
"Staying in the zone: Sequencing content in classrooms based on the zone of proximal development",2019
"A human-machine hybrid peer grading framework for SPOCs",2019
"Collaborative problem-solving process in a science serious game: Exploring group action similarity trajectory",2019
"Identifying critical pedagogical decisions through adversarial deep reinforcement learning",2019
"Modeling student performance and disengagement using decomposition of response time data",2019
"Measuring students' thermal comfort and its impact on learning",2019
"Measuring item teaching value in an online learning environment",2019
"Deep-IRT: Make deep learning based knowledge tracing explainable using item response theory",2019
"Tutorial proposal: Designing and developing open, pedagogically-based predictive models using the moodle analytics API",2019
"Sharing and reusing data and analytic methods with LearnSphere",2019
"Implicit and explicit emotions in MOOCs",2019
"Grading emails and generating feedback",2019
"Mining university registrar records to predict first-year undergraduate attrition",2019
"Incorporating prior practice difficulty into performance factors analysis to model Mandarin tone learning",2019
"A comparative analysis of emotional words for learning effectiveness in online education",2019
"Improving peer assessment accuracy by incorporating relative peer grades",2019
"Characterising students' writing processes using temporal keystroke analysis",2019
"Detecting outlier behaviors in student progress trajectories using a repeated fuzzy clustering approach",2019
"Investigating writing style development in high school",2019
"Supporting minority student success by using machine learning to identify at-risk students",2019
"Visualizing learning performance data and model predictions as objects in a 3D space",2019
"N-gram graphs for topic extraction in educational forums",2019
"Exploring the link between motivations and gaming",2019
"Visualization and clustering of learner pathways in an interactive online learning environment",2019
"Toward data-driven example feedback for novice programming",2019
"A generalizable performance evaluation model of driving games via risk-weighted trajectories",2019
"Collaboration analysis using object detection",2019
"Design and deployment of a better university course search: Inferring latent",2019
"Kappa learning: A new item-similarity method for clustering educational items from response data",2019
"Binary Q-matrix learning with dAFM",2019
"Using a glicko-based algorithm to measure in-course learning",2019
"Application of Hidden Markov models to quantify the impact of enrollment patterns on student performance",2019
"Accurate modelling of language learning tasks and students using representations of grammatical proficiency",2019
"Exploring neural network models for the classification of students in highly interactive environments",2019
"Modelling end-of-session actions in educational systems",2019
"Anatomy of mobile learners: Using learning analytics to unveil learning in presence of mobile devices",2019
"Exploring stealth assessment via deep learning in an open-ended virtual environment",2019
"Investigating error resolution processes in C programming exercise courses",2019
"Detecting suggestions in peer assessments",2019
"Towards discovering problem similarity through deep learning: Combining problem features and user behavior",2019
"A self-attentive model for knowledge tracing",2019
"Modeling person-specific development of math skills in continuous time: New evidence for mutualism",2019
"The guided team-partitioning problem: Definition, complexity, and algorithm",2019
"Smart learning object recommendations based on time-dependent learning need models",2019
"A meta-learning augmented bidirectional transformer model for automatic short answer grading",2019
"Investigating effects of considering mobile and desktop learning data on predictive power of learning management system (LMS) features on student success",2019
"Planning gamification strategies based on user characteristics and DM: A gender-based case study",2019
"Teacher vs. Algorithm: Double-blind experiment of content sequencing in mathematics",2019
"The influence of school demographics on the relationship between students' help-seeking behavior and performance and motivational measures",2019
"Detecting wheel-spinning and productive persistence in educational games",2019
"Gender differences in work-integrated learning assessments",2019
"Student knowledge diagnosis on response data via the model of sparse factor learning",2019
"Categorizing students' questions using an ensemble hybrid approach",2019
"Why deep knowledge tracing has less depth than anticipated",2019
"Using knowledge component modeling to increase domain understanding in a digital learning game",2019
