"Article","Year","Author"
"Preface",2019,"Lynch__C.F"
"Students' use of support functions in DBAs: Analysis of NAEP grade 8 mathematics process data",2019,"Hicks__J"
"A methodology for student video interaction patterns analysis and classification",2019,"Mbouzao__B"
"Evaluating fairness and generalizability in models predicting on-time graduation from college applications",2019,"Hutt__S"
"Predicting student academic outcomes in UK secondary phase education: An architecture for machine learning and user interaction",2019,"Woodruff__M."
"Academic performance estimation with attention-based graph convolutional networks",2019,"Hu__Q"
"Generalizability of sensor-free affect detection models in a longitudinal dataset of tens of thousands of students",2019,"Jensen__E"
"Rank-based tensor factorization for student performance prediction",2019,"Doan__T.-N"
"Beyond autoscoring: Extracting conceptual connections from essays for classroom instruction",2019,"Wiley__K.J"
"A comparison of automated scale short form selection strategies",2019,"Raborn__A.W"
"Machine-learned school dropout early warning at Scale",2019,"Christie__S.T"
"Second LABBEC workshop: Learning analytics, building bridges between the education and the computing communities",2019,"Béland__S"
"Generalizing expert misconception diagnoses through common wrong answer embedding",2019,"Kolb__J"
"Studying factors influencing the prediction of student STEM and non-STEM career choice",2019,"Mandalapu__V"
"Detecting creativity in an open ended geometry environment",2019,"Shillo__R"
"It's a match! Reciprocal recommender system for graduating students and jobs",2019,"Jacobsen__A"
"Optimizing assignment of students to courses based on learning activity analytics",2019,"Shimada__A"
"Probabilistic modeling of peer correction and peer assessment",2019,"Sunahase__T"
"Identifying collaborative learning states using unsupervised machine learning on eye-tracking, physiological and motion sensor data",2019,"Huang__K"
"Individual differences in student learning aid usage",2019,"Davis__A.K"
"Machine-learned or expert-engineered features? Exploring feature engineering methods in detectors of student behavior and affect",2019,"Botelho__A.F"
"Machine learning based decision support system for categorizing MOOC discussion forum posts",2019,"Nanda__G"
"Clustering students based on their prior knowledge",2019,"Khayi__N.A"
"Towards the prediction of semantic complexity based on concept graphs",2019,"Venant__R"
"Validating the myth of average through evidences",2019,"Praseed"
"Sparse neural attentive knowledge-based models for grade prediction",2019,"Morsy__S"
"Grades are not normal: Improving exam score models using the logit-normal distribution",2019,"Arthurs__N"
"Towards modeling students' problem-solving skills in non-routine mathematics problems",2019,"Nguyen__H"
"Reinforcement learning for educational data mining workshop (RL-EDM 2019)",2019,"Azizsoltani__H"
"Skills embeddings: A neural approach to multicomponent representations of students and tasks",2019,"Moore__R"
"Active learning for student affect detection",2019,"Yang__T.-Y"
"Balancing student success and inferring personalized effects in dynamic experiments",2019,"Shaikh__H"
"Learning feature analysis for quality improvement of web-based teaching materials using mouse cursor tracking",2019,"Ikeda__M."
"Modeling and experimental design for MOOC dropout prediction: A replication perspective",2019,"Gardner__J"
"Causal discovery with tetrad in LearnSphere's tigris",2019,"Scheines__R"
"Using latent variable models to observe academic pathways",2019,"Gruver__N"
"Hello? Who is posting, who is answering, and who is succeeding in Massive Open Online Courses",2019,"Andres-Bray__J.M.L"
"Techniques for automatically evaluating machine-generated questions",2019,"Wang__Z."
"Shedding light on the automated essay scoring process",2019,"Boulanger__D"
"Active learning of strict partial orders: A case study on concept prerequisite relations",2019,"Liang__C"
"Design and evaluation of a semantic indicator for automatically supporting programming learning",2019,"Broisin__J"
"Adding duration-based quality labels to learning events for improved description of students' online learning behavior",2019,"Guthrie__M.W"
"Leveraging deep reinforcement learning for pedagogical policy induction in an intelligent tutoring system",2019,"Ausin__M.S"
"Affect detection in home-based educational software for young children",2019,"Smeets__R"
"ATC framework: A fully automatic cognitive tracing model for student and educational contents",2019,"Pu__Y"
"Assessing student response in tutorial dialogue context using probabilistic soft logic",2019,"Banjade__R"
"Augmenting transcripts with natural language processing and multimodal data",2019,"Angert__T"
"How should online teachers of English as a Foreign Language (EFL) write feedback to students?",2019,"Aguerrebere__C"
"What you say is relevant to how you make friends: Measuring the effect of content on social connection",2019,"Xu__Y"
"Automatic identification of questions in MOOC forums and association with self-regulated learning",2019,"Harrak__F"
"What will you do next? A sequence analysis on the student transitions between online platforms in blended courses",2019,"Gitinabard__N"
"EDM & games: Leveling up engaged learning with data-rich analytics",2019,"Rowe__J"
"Predicting the quality of collaborative problem solving through linguistic analysis of discourse",2019,"Reilly__J.M"
"Parent as a companion for solving challenging math problems: Insights from multi-modal observational data",2019,"Chen__L"
"Toward near zero-parameter prediction using a computational model of student learning",2019,"Weitekamp__D.__II"
"Design of an elective course recommendation system for university environment",2019,"Ma__B."
"A data-driven approach for automated assessment of scientific explanations in science inquiry",2019,"Dickler__R"
"Tutorbot corpus: Evidence of human-agent verbal alignment in second language learner dialogues",2019,"Sinclair__A"
"A novel use of educational data mining to inform effective management of academic programs",2019,"Yahya__A.A"
"Predictors of student satisfaction: A large-scale study of human-human online tutorial dialogues",2019,"Chen__G"
