"Article","Year","Author","Stem"
"Students' use of support functions in DBAs: Analysis of NAEP grade 8 mathematics process data",2019,"Hicks, J","digitally-based assess"
"A methodology for student video interaction patterns analysis and classification",2019,"Mbouzao, B","analyt"
"Evaluating fairness and generalizability in models predicting on-time graduation from college applications",2019,"Hutt, S","college appl"
"Predicting student academic outcomes in UK secondary phase education: An architecture for machine learning and user interaction",2019,"Woodruff, M.","azur"
"Academic performance estimation with attention-based graph convolutional networks",2019,"Hu, Q","attent"
"Generalizability of sensor-free affect detection models in a longitudinal dataset of tens of thousands of students",2019,"Jensen, E","affect detect"
"Rank-based tensor factorization for student performance prediction",2019,"Doan, T.-N","predicting student perform"
"A comparison of automated scale short form selection strategies",2019,"Raborn, A.W","ant colony optim"
"Second LABBEC workshop: Learning analytics, building bridges between the education and the computing communities",2019,"Béland, S","education set"
"Studying factors influencing the prediction of student STEM and non-STEM career choice",2019,"Mandalapu, V","affect st"
"Detecting creativity in an open ended geometry environment",2019,"Shillo, R","creativ"
"It's a match! Reciprocal recommender system for graduating students and jobs",2019,"Jacobsen, A","discovering curricular gap"
"Optimizing assignment of students to courses based on learning activity analytics",2019,"Shimada, A","learning activity analyt"
"Probabilistic modeling of peer correction and peer assessment",2019,"Sunahase, T","peer assess"
"Identifying collaborative learning states using unsupervised machine learning on eye-tracking, physiological and motion sensor data",2019,"Huang, K","eye-track"
"Individual differences in student learning aid usage",2019,"Davis, A.K","individual differ"
"Machine-learned or expert-engineered features? Exploring feature engineering methods in detectors of student behavior and affect",2019,"Botelho, A.F","deep learn"
"Machine learning based decision support system for categorizing MOOC discussion forum posts",2019,"Nanda, G","decision support system"
"Clustering students based on their prior knowledge",2019,"Khayi, N.A","cluster"
"Towards the prediction of semantic complexity based on concept graphs",2019,"Venant, R","concept complex"
"Validating the myth of average through evidences",2019,"Praseed","average model"
"Sparse neural attentive knowledge-based models for grade prediction",2019,"Morsy, S","attention network"
"Towards modeling students' problem-solving skills in non-routine mathematics problems",2019,"Nguyen, H","crowdsourc"
"Skills embeddings: A neural approach to multicomponent representations of students and tasks",2019,"Moore, R","knowledge represent"
"Active learning for student affect detection",2019,"Yang, T.-Y","active learn"
"Learning feature analysis for quality improvement of web-based teaching materials using mouse cursor tracking",2019,"Ikeda, M.","learning featur"
"Hello? Who is posting, who is answering, and who is succeeding in Massive Open Online Courses",2019,"Andres-Bray, J.M.L","demographic analysi"
"Shedding light on the automated essay scoring process",2019,"Boulanger, D","automated essay scor"
"Design and evaluation of a semantic indicator for automatically supporting programming learning",2019,"Broisin, J","edit dist"
"Adding duration-based quality labels to learning events for improved description of students' online learning behavior",2019,"Guthrie, M.W","log data analysi"
"ATC framework: A fully automatic cognitive tracing model for student and educational contents",2019,"Pu, Y","atc framework"
"Assessing student response in tutorial dialogue context using probabilistic soft logic",2019,"Banjade, R","answer assess"
"Augmenting transcripts with natural language processing and multimodal data",2019,"Angert, T","biometr"
"What you say is relevant to how you make friends: Measuring the effect of content on social connection",2019,"Xu, Y","forum particip"
"Automatic identification of questions in MOOC forums and association with self-regulated learning",2019,"Harrak, F","coding schem"
"EDM & games: Leveling up engaged learning with data-rich analytics",2019,"Rowe, J","engag"
"Predicting the quality of collaborative problem solving through linguistic analysis of discourse",2019,"Reilly, J.M","coh-metrix"
"Parent as a companion for solving challenging math problems: Insights from multi-modal observational data",2019,"Chen, L","math problem solv"
"Design of an elective course recommendation system for university environment",2019,"Ma, B.","association analysi"
"A data-driven approach for automated assessment of scientific explanations in science inquiry",2019,"Dickler, R","automated assess"
"Tutorbot corpus: Evidence of human-agent verbal alignment in second language learner dialogues",2019,"Sinclair, A","agent"
"A novel use of educational data mining to inform effective management of academic programs",2019,"Yahya, A.A","abet accredit"
"Predictors of student satisfaction: A large-scale study of human-human online tutorial dialogues",2019,"Chen, G","educational dialogue analysi"
"A better cold-start for early prediction of student at-risk status in new school districts",2019,"Coleman, C","ensembl"
"Deep hierarchical knowledge tracing",2019,"Wang, T","deep learn"
"Predicting student dropout in higher education based on previous exam results",2019,"Askinadze, A","student dropout predict"
"Content-based course recommender system for liberal arts education",2019,"Morsomme, R","educ"
"Identifying bias and underlying knowledge structures in Brazilian National exam of students performance",2019,"Oliveira, M.S","analyt"
"Affective state prediction in a mobile setting using wearable biometric sensors and stylus",2019,"Wampfler, R","affective comput"
"Utterance-level modeling of indicators of engaging classroom discourse",2019,"Stone, C","automatic speech recognit"
"Hǎo Fāyīn: Developing automated audio assessment tools for a Chinese language course",2019,"Varatharaj, A","audio analysi"
"Staying in the zone: Sequencing content in classrooms based on the zone of proximal development",2019,"Vainas, O","adaptive learn"
"A human-machine hybrid peer grading framework for SPOCs",2019,"Han, Y","auto-grad"
"Collaborative problem-solving process in a science serious game: Exploring group action similarity trajectory",2019,"Kang, J","collaborative problem-solv"
"Identifying critical pedagogical decisions through adversarial deep reinforcement learning",2019,"Ju, S","adversarial reinforcement learn"
"Modeling student performance and disengagement using decomposition of response time data",2019,"Unal, D.S.","disengag"
"Measuring students' thermal comfort and its impact on learning",2019,"Jiang, H","automated face analysi"
