"Article","Year","Stem"
"Students' use of support functions in DBAs: Analysis of NAEP grade 8 mathematics process data",2019,"digitally-based assess"
"A methodology for student video interaction patterns analysis and classification",2019,"analyt"
"Evaluating fairness and generalizability in models predicting on-time graduation from college applications",2019,"college appl"
"Predicting student academic outcomes in UK secondary phase education: An architecture for machine learning and user interaction",2019,"azur"
"Academic performance estimation with attention-based graph convolutional networks",2019,"attent"
"Generalizability of sensor-free affect detection models in a longitudinal dataset of tens of thousands of students",2019,"affect detect"
"Rank-based tensor factorization for student performance prediction",2019,"predicting student perform"
"A comparison of automated scale short form selection strategies",2019,"ant colony optim"
"Second LABBEC workshop: Learning analytics, building bridges between the education and the computing communities",2019,"education set"
"Studying factors influencing the prediction of student STEM and non-STEM career choice",2019,"affect st"
"Detecting creativity in an open ended geometry environment",2019,"creativ"
"It's a match! Reciprocal recommender system for graduating students and jobs",2019,"discovering curricular gap"
"Optimizing assignment of students to courses based on learning activity analytics",2019,"learning activity analyt"
"Probabilistic modeling of peer correction and peer assessment",2019,"peer assess"
"Identifying collaborative learning states using unsupervised machine learning on eye-tracking, physiological and motion sensor data",2019,"eye-track"
"Individual differences in student learning aid usage",2019,"individual differ"
"Machine-learned or expert-engineered features? Exploring feature engineering methods in detectors of student behavior and affect",2019,"deep learn"
"Machine learning based decision support system for categorizing MOOC discussion forum posts",2019,"decision support system"
"Clustering students based on their prior knowledge",2019,"cluster"
"Towards the prediction of semantic complexity based on concept graphs",2019,"concept complex"
"Validating the myth of average through evidences",2019,"average model"
"Sparse neural attentive knowledge-based models for grade prediction",2019,"attention network"
"Towards modeling students' problem-solving skills in non-routine mathematics problems",2019,"crowdsourc"
"Skills embeddings: A neural approach to multicomponent representations of students and tasks",2019,"knowledge represent"
"Active learning for student affect detection",2019,"active learn"
"Learning feature analysis for quality improvement of web-based teaching materials using mouse cursor tracking",2019,"learning featur"
"Hello? Who is posting, who is answering, and who is succeeding in Massive Open Online Courses",2019,"demographic analysi"
"Shedding light on the automated essay scoring process",2019,"automated essay scor"
"Design and evaluation of a semantic indicator for automatically supporting programming learning",2019,"edit dist"
"Adding duration-based quality labels to learning events for improved description of students' online learning behavior",2019,"log data analysi"
"ATC framework: A fully automatic cognitive tracing model for student and educational contents",2019,"atc framework"
"Assessing student response in tutorial dialogue context using probabilistic soft logic",2019,"answer assess"
"Augmenting transcripts with natural language processing and multimodal data",2019,"biometr"
"What you say is relevant to how you make friends: Measuring the effect of content on social connection",2019,"forum particip"
"Automatic identification of questions in MOOC forums and association with self-regulated learning",2019,"coding schem"
"EDM & games: Leveling up engaged learning with data-rich analytics",2019,"engag"
"Predicting the quality of collaborative problem solving through linguistic analysis of discourse",2019,"coh-metrix"
"Parent as a companion for solving challenging math problems: Insights from multi-modal observational data",2019,"math problem solv"
"Design of an elective course recommendation system for university environment",2019,"association analysi"
"A data-driven approach for automated assessment of scientific explanations in science inquiry",2019,"automated assess"
"Tutorbot corpus: Evidence of human-agent verbal alignment in second language learner dialogues",2019,"agent"
"A novel use of educational data mining to inform effective management of academic programs",2019,"abet accredit"
"Predictors of student satisfaction: A large-scale study of human-human online tutorial dialogues",2019,"educational dialogue analysi"
"A better cold-start for early prediction of student at-risk status in new school districts",2019,"ensembl"
"Deep hierarchical knowledge tracing",2019,"deep learn"
"Predicting student dropout in higher education based on previous exam results",2019,"student dropout predict"
"Content-based course recommender system for liberal arts education",2019,"educ"
"Identifying bias and underlying knowledge structures in Brazilian National exam of students performance",2019,"analyt"
"Affective state prediction in a mobile setting using wearable biometric sensors and stylus",2019,"affective comput"
"Utterance-level modeling of indicators of engaging classroom discourse",2019,"automatic speech recognit"
"Hǎo Fāyīn: Developing automated audio assessment tools for a Chinese language course",2019,"audio analysi"
"Staying in the zone: Sequencing content in classrooms based on the zone of proximal development",2019,"adaptive learn"
"A human-machine hybrid peer grading framework for SPOCs",2019,"auto-grad"
"Collaborative problem-solving process in a science serious game: Exploring group action similarity trajectory",2019,"collaborative problem-solv"
"Identifying critical pedagogical decisions through adversarial deep reinforcement learning",2019,"adversarial reinforcement learn"
"Modeling student performance and disengagement using decomposition of response time data",2019,"disengag"
"Measuring students' thermal comfort and its impact on learning",2019,"automated face analysi"
"Measuring item teaching value in an online learning environment",2019,"cognitive diagnostic model"
"Deep-IRT: Make deep learning based knowledge tracing explainable using item response theory",2019,"deep learn"
"Tutorial proposal: Designing and developing open, pedagogically-based predictive models using the moodle analytics API",2019,"curriculum"
"Sharing and reusing data and analytic methods with LearnSphere",2019,"data storage and shar"
"Implicit and explicit emotions in MOOCs",2019,"discussion forum"
"Grading emails and generating feedback",2019,"automatic grad"
"Incorporating prior practice difficulty into performance factors analysis to model Mandarin tone learning",2019,"adaptive train"
"A comparative analysis of emotional words for learning effectiveness in online education",2019,"gamif"
"Improving peer assessment accuracy by incorporating relative peer grades",2019,"mooc"
"Characterising students' writing processes using temporal keystroke analysis",2019,"keystroke log"
"Investigating writing style development in high school",2019,"educational system"
"Supporting minority student success by using machine learning to identify at-risk students",2019,"at-risk stud"
"Visualizing learning performance data and model predictions as objects in a 3D space",2019,"closing the loop between research and practic"
"N-gram graphs for topic extraction in educational forums",2019,"graph-based method"
"Exploring the link between motivations and gaming",2019,"game"
"Visualization and clustering of learner pathways in an interactive online learning environment",2019,"cluster analysi"
"A generalizable performance evaluation model of driving games via risk-weighted trajectories",2019,"dynamic difficulty adjust"
"Collaboration analysis using object detection",2019,"collaborative learn"
"Design and deployment of a better university course search: Inferring latent",2019,"course search"
"Kappa learning: A new item-similarity method for clustering educational items from response data",2019,"adaptive learn"
"Using a glicko-based algorithm to measure in-course learning",2019,"adaptive learn"
"Application of Hidden Markov models to quantify the impact of enrollment patterns on student performance",2019,"academic outcom"
"Exploring neural network models for the classification of students in highly interactive environments",2019,"exploration environ"
"Modelling end-of-session actions in educational systems",2019,"deep learn"
"Anatomy of mobile learners: Using learning analytics to unveil learning in presence of mobile devices",2019,"learning analyt"
"Exploring stealth assessment via deep learning in an open-ended virtual environment",2019,"deep learn"
"Detecting suggestions in peer assessments",2019,"classification techniqu"
"Towards discovering problem similarity through deep learning: Combining problem features and user behavior",2019,"concept discoveri"
"A self-attentive model for knowledge tracing",2019,"knowledge trac"
"Modeling person-specific development of math skills in continuous time: New evidence for mutualism",2019,"continuous-time model"
"The guided team-partitioning problem: Definition, complexity, and algorithm",2019,"partit"
"Smart learning object recommendations based on time-dependent learning need models",2019,"educational recommender system"
"Investigating effects of considering mobile and desktop learning data on predictive power of learning management system (LMS) features on student success",2019,"learner model"
"Teacher vs. Algorithm: Double-blind experiment of content sequencing in mathematics",2019,"collaborative filt"
"The influence of school demographics on the relationship between students' help-seeking behavior and performance and motivational measures",2019,"demograph"
"Detecting wheel-spinning and productive persistence in educational games",2019,"behavior detect"
"Student knowledge diagnosis on response data via the model of sparse factor learning",2019,"cognitive diagnosis student model"
"Categorizing students' questions using an ensemble hybrid approach",2019,"coding schem"
"Why deep knowledge tracing has less depth than anticipated",2019,"knowledge trac"
"Using knowledge component modeling to increase domain understanding in a digital learning game",2019,"decimal numb"
"Predicting early and often: Predictive student modeling for block-based programming environments",2019,"block-based program"
"Hybrid deep neural networks to predict socio-moral reasoning skills",2019,"convolutional neural network"
"DAS3H: Modeling student learning and forgetting for optimally scheduling distributed practice of skills",2019,"adaptive spac"
"Do learners know what's good for them? Crowdsourcing subjective ratings of OERs to predict learning gains",2019,"adaptive learn"
"Toward instrumenting makerspaces: Using motion sensors to capture students' affective states in open-ended learning environments",2019,"instrument"
"Filtering non-relevant short answers in peer learning applications",2019,"short answer grad"
"Grade prediction based on cumulative knowledge and co-taken courses",2019,"co-taken cours"
"Scholars walk: A Markov chain framework for course recommendation",2019,"course recommend"
"Time-series insights into the process of passing or failing online university courses using neural-induced interpretable student states",2019,"clickstream data"
"Towards a general purpose anomaly detection method to identify cheaters in massive open online courses",2019,"anomaly detect"
"Student performance prediction by discovering inter-activity relations",2018,"learning material correlation discoveri"
"Identifying profiles of collaborative problem solvers in an online electronics environment",2018,"assess"
"GritNet: Student performance prediction with deep learning",2018,"deep learning for educ"
"LeCore: A Framework for Modeling Learner’s preference",2018,"learning & develop"
"Predictive student modeling for interventions in online classes",2018,"cognitive model"
"Re-designing the structure of online courses to empower educational data mining",2018,"clustering analysi"
"Studying affect dynamics and chronometry using sensor-free detectors",2018,"affect chronometri"
"Predicting individualized learner models across tutor lessons",2018,"bkt"
"Contextual derivation of stable BKT parameters for analyzing content efficacy",2018,"bayesian knowledge trac"
"Predicting learning by analyzing eye-gaze data of reading behavior",2018,"classif"
"Forgetting curves and testing effect in an adaptive learning and assessment system",2018,"adaptive learn"
"Machine beats human at sequencing visuals for perceptual-fluency practice",2018,"chemistri"
"What can we learn from college students’ network transactions? Constructing useful features for student success prediction",2018,"attend"
"Tracking behavioral patterns among students in an online educational system",2018,"educational system"
"Automated speech act categorization of chat utterances in virtual internships",2018,"classif"
"Is the doer effect robust across multiple data sets?",2018,"causal discoveri"
"Mining MOOC lecture transcripts to construct concept dependency graphs",2018,"bridge ensemble measur"
"A Comparison of Features for the Automatic Labeling of Student Answers to Open-ended Questions",2018,"entity embed"
"Quantyler: Apportioning credit for student forum participation",2018,"collaborative learn"
"Standard error considerations on AFM parameters",2018,"additive factor model"
"Who they are and what they want: Understanding the reasons for MOOC enrollment",2018,"informal educ"
"Predicting student enrollment based on student and college characteristics",2018,"classif"
"Exploring collaboration using motion sensors and multi-modal learning analytics",2018,"collabor"
"Job description mining to understand work-integrated learning",2018,"co-operative educ"
"Predicting quitting in students playing a learning game",2018,"adaptive intervent"
"Modeling math identity and math success through sentiment analysis and linguistic features",2018,"math"
"Predicting student performance based on online study habits: A study of blended courses",2018,"blended cours"
"Finding topics in enrollment data",2018,"course enrol"
"An open vocabulary approach for estimating teacher use of authentic questions in classroom discourse",2018,"authentic quest"
"Improving stealth assessment in game-based learning with LSTM-based analytics",2018,"game-based learn"
"Impact of corpus size and dimensionality of LSA spaces from Wikipedia articles on autotutor answer evaluation",2018,"autotutor"
"Understanding student procrastination via mixture models",2018,"clickstream data"
"Intelligent instructional hand offs",2018,"cognitive tutor"
"Filtered time series analyses of student problem-solving behaviors in game-based learning",2018,"dynamic analysi"
"A hybrid multi-criteria approach using a genetic algorithm for recommending courses to university students",2018,"course recommend"
"Accurate measurement of lexical sophistication with reference to ESL learner data",2018,"advanced guiraud"
"Using student logs to build Bayesian models of student knowledge and skills",2018,"bayesian learn"
"Using a common sense knowledge base to auto generate multi-dimensional vocabulary assessments",2018,"assessment gener"
"ELBA: Exceptional learning behavior analysis",2018,"exceptional model min"
"Clustering the learning patterns of adults with low literacy skills interacting with an intelligent tutoring system",2018,"adult read"
"Feature extraction for classifying students based on their academic performance",2018,"academic student success"
"Mining user trajectories in electronic text books",2018,"behavioral analys"
"Gender differences in undergraduate engineering applicants: A text mining approach",2018,"admiss"
"Understanding learners’ opinion about participation certificates in online courses using topic modeling",2018,"latent dirichlet alloc"
"Constructing cognitive profiles for simulation-based hiring assessments",2018,"cognitive assess"
"Identifying user engagement patterns in an online video discussion platform",2018,"hierarchical clust"
"Who are they looking at? Automatic eye gaze following for classroom observation video analysis",2018,"automatic eye gaze follow"
"Prediction of academic achievement based on digital campus",2018,"academic achievement predict"
"Analyzing the relative learning benefits of completing required activities and optional readings in online courses",2018,"active learn"
"Estimating the treatment effect of new device deployment on uruguayan students’ online learning activity",2018,"one laptop per child"
"How many friends can you make in a week?: Evolving social relationships in MOOCs over time",2018,"community detect"
"Mining student misconceptions from pre- and post-test data",2018,"analyzing wrong answ"
"Can textbook annotations serve as an early predictor of student learning?",2018,"bayesian regress"
"Modeling the effects of students’ interactions with immersive simulations using Markov switching systems",2018,"bayesian infer"
"Does deep knowledge tracing model interactions among skills?",2018,"deep learn"
"Identifying student communities in blended courses",2017,"blended cours"
"Riple: Recommendation in peer-learning environments based on knowledge gaps and interests",2017,"knowledge gap"
"Personalized feedback for open-response mathematical questions using long short-term memory networks",2017,"automatic grad"
"Online learning persistence and academic achievement",2017,"academic achiev"
"On the prevalence of multiple-account cheating in massive open online learning",2017,"academic dishonesti"
"An LDA topic model and social network analysis of a school blogging platform",2017,"lda"
"Sequence modelling for analysing student interaction with educational systems",2017,"cluster"
"Mining innovative augmented graph grammars for argument diagrams through novelty selection",2017,"argument diagram"
"Zone out no more: Mitigating mind wandering during computerized reading",2017,"attention-awar"
"A prediction and early alert model using learning management system data and grounded in learning science theory",2017,"early warning system"
"An analysis of students’ questions in MOOCs forums",2017,"classif"
"Grade prediction with temporal course-wise influence",2017,"course-wise influ"
"The reading ability of college freshmen",2017,"adult literaci"
"Identifying relationships between students’ questions type and their behavior",2017,"cluster"
"Short-answer responses to STEM exercises: Measuring response validity and its impact on learning",2017,"best educational practic"
"Development of a trajectory model for visualizing teacher ICT usage based on event segmentation data",2017,"contextual numb"
"Untangling the program name versus the curriculum: An investigation of titles and curriculum content",2017,"business educ"
"Using a single model trained across multiple experiments to improve the detection of treatment effects",2017,"anova"
"On the influence on learning of student compliance with prompts fostering self-regulated learning",2017,"compliance with prompt"
"Student use of inquiry simulations in middle school science",2017,"inquiri"
"Text analysis with LIWC and coh-metrix: Portraying MOOCs instructors",2017,"instructor"
"Behavior-based latent variable model for learner engagement",2017,"behavioral data"
"Understanding student’s reviewing and reflection behaviors using web-based programming grading assistant",2017,"educational technolog"
"A latent factor model for instructor content preference analysis",2017,"bloom’s taxonomi"
"Developing Chinese automated essay scoring model to assess college students’ essay quality",2017,"chinese automated essay scor"
"Intelligent composition of test papers based on MOOC learning data",2017,"automatic composition of test pap"
"Data-mining textual responses to uncover misconception patterns",2017,"learning analyt"
"An offline evaluation method for individual treatment rules and how to find heterogeneous treatment effect",2017,"assist"
"Causal forest vs. naïve causal forest in detecting personalization: An empirical study in ASSISTments",2017,"causal forest"
"Predicting performance in a small private online course",2017,"at-risk stud"
"Tracking online reading of college students",2017,"internet"
"Modeling network dynamics of MOOC discussion interactions at scale",2017,"interact"
"Teaching informal logical fallacy identification with a cognitive tutor",2017,"cognitive task analysi"
"Student use of scaffolded inquiry simulations in middle school science",2017,"inquiri"
"Making the grade: How learner engagement changes after passing a course",2017,"grading schem"
"Automatic scoring method for descriptive test using recurrent neural network",2017,"essay scor"
"Modeling dormitory occupancy using Markov chains",2017,"banner"
"Intelligent argument grading system for student-produced argument diagrams",2017,"argument diagram"
"Towards automatic classification of learning objects: Reducing the number of used features",2017,"feature select"
