"Article","Year"
"LAK 2020 Conference Proceedings - Celebrating 10 years of LAK: Shaping the Future of the Field - 10th International Conference on Learning Analytics and Knowledge",2020
"LAK 2020 program chairs' welcome",2020
"ISENS: An integrated approach to combining epistemic and social network analyses",2020
"Towards automated analysis of cognitive presence in MOOC discussions: A manual classification study",2020
"An exploratory approach to measuring collaborative engagement in child robot interaction",2020
"LA-DECK: A card-based learning analytics co-design tool",2020
"Automated insightful drill-down recommendations for learning analytics dashboards",2020
"Perceptions and expectations about learning analytics from a brazilian higher education institution",2020
"Inspiration cards workshops with primary teachers in the early co-design stages of learning analytics",2020
"Data-informed curriculum sequences for a curriculum-integrated game",2020
"R2DE: A NLP approach to estimating IRT parameters of newly generated questions",2020
"From theory to action: Developing and evaluating learning analytics for learning design",2020
"#Confused and beyond: Detecting confusion in course forums using students' hashtags",2020
"The relationship between confusion and metacognitive strategies in Betty's Brain",2020
"Applying prerequisite structure inference to adaptive testing",2020
"High resolution temporal network analysis to understand and improve collaborative learning",2020
"How working memory capacity limits success in self-directed learning: A cognitive model of search and concept formation",2020
"Quantifying data sensitivity: Precise demonstration of care when building student prediction models",2020
"Socio-temporal dynamics in peer interaction events",2020
"Learning-centred translucence: An approach to understand how teachers talk about classroom data",2020
"Modelling collaborative problem-solving competence with transparent learning analytics: Is video data enough?",2020
"From childhood to maturity: Are we there yet? Mapping the intellectual progress in learning analytics during the past decade",2020
"Fostering and supporting empirical research on evaluative judgement via a crowdsourced adaptive learning system",2020
"How good is my feedback? a content analysis ofWritten feedback",2020
"Predicting learners' effortful behaviour in adaptive assessment using multimodal data",2020
"Intergroup and interpersonal forum positioning in shared-thread and post-reply networks",2020
"Towards understanding the lifespan and spread of ideas: Epidemiological modeling of participation on twitter",2020
"Learning analytics dashboards: The past, the present and the future",2020
"Exploring student approaches to learning through sequence analysis of reading logs",2020
"Let's shine together! a comparative study between learning analytics and educational data mining",2020
"Macro MOOC learning analytics: Exploring trends across global and regional providers",2020
"The SEIRA approach: Course embedded activities to promote academic integrity and literacies in first year engineering",2020
"EdX log data analysis made easy: Introducing ELAT: An open-source, privacy-aware and browser-based edX log data analysis tool",2020
"Rethinking time-on-task estimation with outlier detection accounting for individual, time, and task differences",2020
"Learning analytics challenges: Trade-offs, methodology, scalability",2020
"Personalized visualizations to promote young learners' SRL: The learning path app",2020
"Disciplinary differences in blended learning design: A network analytic study",2020
"Self-regulated learning and learning analytics in online learning environments: A review of empirical research",2020
"Comparing teachers' use of mirroring and advising dashboards",2020
"Towards automatic cross-language classification of cognitive presence in online discussions",2020
"Learning to represent healthcare providers knowledge of neonatal emergency care: Findings from a smartphone-based learning intervention targeting clinicians from LMICs",2020
"Understanding Students' engagement with personalised feedback messages",2020
"Are forum networks social networks? a methodological perspective",2020
"Peeking through the classroom window: A detailed data-driven analysis on the usage of a curriculum integrated math game in authentic classrooms",2020
"Detecting learning in noisy data: The case of oral reading fluency",2020
"Analytics of learning strategies: The association with the personality traits",2020
"Towards skills-based curriculum analytics: Can we automate the recognition of prior learning?",2020
"A Bayesian model of individual differences and flexibility in inductive reasoning for categorization of examples",2020
"Exploring exam strategies of successful first year engineering students",2020
"Learning with background music: A field experiment",2020
"Characterizing and influencing students' tendency towrite self-explanations in online homework",2020
"Involving teachers in learning analytics design: Lessons learned from two case studies",2020
"Slow is good: The effect of diligence on student performance in the case of an adaptive learning system for health literacy",2020
"Evaluating teachers' perceptions of students' questions organization",2020
"Towards automatic content analysis of social presence in transcripts of online discussions",2020
"Predicting student success in a blended learning environment",2020
"Exploration of the robustness and generalizability of the additive factors model",2020
