"Article","Year","Author"
"LAK 2020 program chairs' welcome",2020,"Kovanović__V."
"ISENS: An integrated approach to combining epistemic and social network analyses",2020,"Swiecki__Z."
"Towards automated analysis of cognitive presence in MOOC discussions: A manual classification study",2020,"Hu__Y."
"An exploratory approach to measuring collaborative engagement in child robot interaction",2020,"Kim__Y."
"LA-DECK: A card-based learning analytics co-design tool",2020,"Alvarez__C.P."
"Automated insightful drill-down recommendations for learning analytics dashboards",2020,"Shabaninejad__S."
"Perceptions and expectations about learning analytics from a brazilian higher education institution",2020,"Falcão__T.P."
"Inspiration cards workshops with primary teachers in the early co-design stages of learning analytics",2020,"Vezzoli__Y."
"Data-informed curriculum sequences for a curriculum-integrated game",2020,"Akintunde__R.O."
"R2DE: A NLP approach to estimating IRT parameters of newly generated questions",2020,"Benedetto__L."
"From theory to action: Developing and evaluating learning analytics for learning design",2020,"Wiley__K.J."
"#Confused and beyond: Detecting confusion in course forums using students' hashtags",2020,"Geller__S.A."
"The relationship between confusion and metacognitive strategies in Betty's Brain",2020,"Zhang__Y."
"Applying prerequisite structure inference to adaptive testing",2020,"Saarinen__S."
"High resolution temporal network analysis to understand and improve collaborative learning",2020,"Saqr__M."
"How working memory capacity limits success in self-directed learning: A cognitive model of search and concept formation",2020,"Seitlinger__P."
"Quantifying data sensitivity: Precise demonstration of care when building student prediction models",2020,"Lang__C."
"Socio-temporal dynamics in peer interaction events",2020,"Chen__B."
"Learning-centred translucence: An approach to understand how teachers talk about classroom data",2020,"Prestigiacomo__R."
"Modelling collaborative problem-solving competence with transparent learning analytics: Is video data enough?",2020,"Cukurova__M."
"From childhood to maturity: Are we there yet? Mapping the intellectual progress in learning analytics during the past decade",2020,"Papamitsiou__Z."
"Fostering and supporting empirical research on evaluative judgement via a crowdsourced adaptive learning system",2020,"Khosravi__H."
"How good is my feedback? a content analysis ofWritten feedback",2020,"Cavalcanti__A.P."
"Predicting learners' effortful behaviour in adaptive assessment using multimodal data",2020,"Sharma__K."
"Intergroup and interpersonal forum positioning in shared-thread and post-reply networks",2020,"Poquet__O."
"Towards understanding the lifespan and spread of ideas: Epidemiological modeling of participation on twitter",2020,"Peri__S.S.S."
"Learning analytics dashboards: The past, the present and the future",2020,"Verbert__K."
"Exploring student approaches to learning through sequence analysis of reading logs",2020,"Akçapinar__G."
"Let's shine together! a comparative study between learning analytics and educational data mining",2020,"Chen__G."
"Macro MOOC learning analytics: Exploring trends across global and regional providers",2020,"Ruipérez-Valiente__J.A."
"The SEIRA approach: Course embedded activities to promote academic integrity and literacies in first year engineering",2020,"Duff__A."
"EdX log data analysis made easy: Introducing ELAT: An open-source, privacy-aware and browser-based edX log data analysis tool",2020,"Torre__M.V."
"Rethinking time-on-task estimation with outlier detection accounting for individual, time, and task differences",2020,"Nguyen__Q."
"Learning analytics challenges: Trade-offs, methodology, scalability",2020,"Pelánek__R."
"Personalized visualizations to promote young learners' SRL: The learning path app",2020,"Molenaar__I."
"Disciplinary differences in blended learning design: A network analytic study",2020,"Whitelock-Wainwright__A."
"Self-regulated learning and learning analytics in online learning environments: A review of empirical research",2020,"Viberg__O."
"Comparing teachers' use of mirroring and advising dashboards",2020,"Van_Leeuwen__A."
"Towards automatic cross-language classification of cognitive presence in online discussions",2020,"Barbosa__G."
"Learning to represent healthcare providers knowledge of neonatal emergency care: Findings from a smartphone-based learning intervention targeting clinicians from LMICs",2020,"Tuti__T."
"Understanding Students' engagement with personalised feedback messages",2020,"Iraj__H."
"Are forum networks social networks? a methodological perspective",2020,"Poquet__O."
"Peeking through the classroom window: A detailed data-driven analysis on the usage of a curriculum integrated math game in authentic classrooms",2020,"Shabrina__P."
