"Article","Year","Author","Stem"
"ISENS: An integrated approach to combining epistemic and social network analyses",2020,"Swiecki, Z.","collaborative problem solv"
"Towards automated analysis of cognitive presence in MOOC discussions: A manual classification study",2020,"Hu, Y.","cognitive pres"
"An exploratory approach to measuring collaborative engagement in child robot interaction",2020,"Kim, Y.","automatic speech recognit"
"LA-DECK: A card-based learning analytics co-design tool",2020,"Alvarez, C.P.","card"
"Automated insightful drill-down recommendations for learning analytics dashboards",2020,"Shabaninejad, S.","decision tre"
"Perceptions and expectations about learning analytics from a brazilian higher education institution",2020,"Falcão, T.P.","higher education institut"
"Inspiration cards workshops with primary teachers in the early co-design stages of learning analytics",2020,"Vezzoli, Y.","co-design method"
"Data-informed curriculum sequences for a curriculum-integrated game",2020,"Akintunde, R.O.","curricular sequenc"
"R2DE: A NLP approach to estimating IRT parameters of newly generated questions",2020,"Benedetto, L.","educational data min"
"From theory to action: Developing and evaluating learning analytics for learning design",2020,"Wiley, K.J.","design-based research"
"#Confused and beyond: Detecting confusion in course forums using students' hashtags",2020,"Geller, S.A.","confusion detect"
"The relationship between confusion and metacognitive strategies in Betty's Brain",2020,"Zhang, Y.","confus"
"Applying prerequisite structure inference to adaptive testing",2020,"Saarinen, S.","adaptive test"
"High resolution temporal network analysis to understand and improve collaborative learning",2020,"Saqr, M.","collaborative learn"
"How working memory capacity limits success in self-directed learning: A cognitive model of search and concept formation",2020,"Seitlinger, P.","cognitive-computational model"
"Quantifying data sensitivity: Precise demonstration of care when building student prediction models",2020,"Lang, C.","data collection parsimoni"
"Socio-temporal dynamics in peer interaction events",2020,"Chen, B.","digital peer network"
"Learning-centred translucence: An approach to understand how teachers talk about classroom data",2020,"Prestigiacomo, R.","evidence-based decision-mak"
"Modelling collaborative problem-solving competence with transparent learning analytics: Is video data enough?",2020,"Cukurova, M.","collaborative problem-solv"
"From childhood to maturity: Are we there yet? Mapping the intellectual progress in learning analytics during the past decade",2020,"Papamitsiou, Z.","bibliometr"
"Fostering and supporting empirical research on evaluative judgement via a crowdsourced adaptive learning system",2020,"Khosravi, H.","crowd-sourc"
"How good is my feedback? a content analysis ofWritten feedback",2020,"Cavalcanti, A.P.","content analysi"
"Predicting learners' effortful behaviour in adaptive assessment using multimodal data",2020,"Sharma, K.","adaptive assess"
"Intergroup and interpersonal forum positioning in shared-thread and post-reply networks",2020,"Poquet, O.","central"
"Towards understanding the lifespan and spread of ideas: Epidemiological modeling of participation on twitter",2020,"Peri, S.S.S.","connectiv"
"Learning analytics dashboards: The past, the present and the future",2020,"Verbert, K.","evalu"
"Exploring student approaches to learning through sequence analysis of reading logs",2020,"Akçapinar, G.","association rule min"
"Let's shine together! a comparative study between learning analytics and educational data mining",2020,"Chen, G.","educational data min"
"Macro MOOC learning analytics: Exploring trends across global and regional providers",2020,"Ruipérez-Valiente, J.A.","cultural factor"
"The SEIRA approach: Course embedded activities to promote academic integrity and literacies in first year engineering",2020,"Duff, A.","academic integr"
"EdX log data analysis made easy: Introducing ELAT: An open-source, privacy-aware and browser-based edX log data analysis tool",2020,"Torre, M.V.","edx log"
"Rethinking time-on-task estimation with outlier detection accounting for individual, time, and task differences",2020,"Nguyen, Q.","learning analyt"
"Learning analytics challenges: Trade-offs, methodology, scalability",2020,"Pelánek, R.","methodolog"
"Personalized visualizations to promote young learners' SRL: The learning path app",2020,"Molenaar, I.","adaptive learning technolog"
"Disciplinary differences in blended learning design: A network analytic study",2020,"Whitelock-Wainwright, A.","epistemic network analysi"
"Self-regulated learning and learning analytics in online learning environments: A review of empirical research",2020,"Viberg, O.","learning analyt"
"Comparing teachers' use of mirroring and advising dashboards",2020,"Van Leeuwen, A.","cooperative/collaborative learn"
"Towards automatic cross-language classification of cognitive presence in online discussions",2020,"Barbosa, G.","community of inquiry model"
"Learning to represent healthcare providers knowledge of neonatal emergency care: Findings from a smartphone-based learning intervention targeting clinicians from LMICs",2020,"Tuti, T.","clinical train"
"Understanding Students' engagement with personalised feedback messages",2020,"Iraj, H.","data-driven approach"
"Are forum networks social networks? a methodological perspective",2020,"Poquet, O.","null model"
"Peeking through the classroom window: A detailed data-driven analysis on the usage of a curriculum integrated math game in authentic classrooms",2020,"Shabrina, P.","curriculum integrated math gam"
"Detecting learning in noisy data: The case of oral reading fluency",2020,"Klebanov, B.B.","book read"
"Analytics of learning strategies: The association with the personality traits",2020,"Matcha, W.","approaches to learn"
"Towards skills-based curriculum analytics: Can we automate the recognition of prior learning?",2020,"Kitto, K.","curriculum analyt"
"A Bayesian model of individual differences and flexibility in inductive reasoning for categorization of examples",2020,"Faucon, L.","adaptive learning environ"
"Exploring exam strategies of successful first year engineering students",2020,"Kuzilek, J.","exam strategi"
"Learning with background music: A field experiment",2020,"Li, F.","background mus"
"Characterizing and influencing students' tendency towrite self-explanations in online homework",2020,"Asano, Y.","engag"
"Involving teachers in learning analytics design: Lessons learned from two case studies",2020,"Michos, K.","case studi"
"Slow is good: The effect of diligence on student performance in the case of an adaptive learning system for health literacy",2020,"Fadljevic, L.","adaptive e-learning system"
"Evaluating teachers' perceptions of students' questions organization",2020,"Harrak, F.","pedagogical interest"
"Towards automatic content analysis of social presence in transcripts of online discussions",2020,"Ferreira, M.","community of inquiry model"
"Predicting student success in a blended learning environment",2020,"Van Goidsenhoven, S.","blended learn"
"Exploration of the robustness and generalizability of the additive factors model",2020,"Effenberger, T.","introductory program"
"Complementing educational recommender systems with open learner models",2020,"Abdi, S.","educational recommender system"
"Smart dictionary for E-book reading analytics",2020,"Lecailliez, L.","dictionari"
"Analytics of time management and learning strategies for effective online learning in blended environments",2020,"Uzir, N.A.A.","blended learn"
"Trace data from student solutions to genetics problems reveals variance in the processes related to different course outcomes",2020,"Peffer, M.","cluster"
"Supporting actionable intelligence: Reframing the analysis of observed study strategies",2020,"Jovanovic, J.","explanatory model"
"Analyzing the consistency in within-activity learning patterns in blended learning",2020,"Sher, V.","learner performance and consist"
"Design of a curriculum analytics tool to support continuous improvement processes in higher education",2020,"Hilliger, I.","curriculum analyt"
"Testing the reliability of inter-rater reliability",2020,"Eagan, B.","code"
"What college students say, and what they do: Aligning self-regulated learning theory with behavioral logs",2020,"Quick, J.","lms"
"Combining analytic methods to unlock sequential and temporal patterns of self-regulated learning",2020,"Saint, J.","epistemic network analysi"
"How patterns of students dashboard use are related to their achievement and self-regulatory engagement",2020,"Kia, F.S.","academic achiev"
"Focused or stuck together: Multimodal patterns reveal triads' performance in collaborative problem solving",2020,"Vrzakova, H.","cscl"
"Is faster better? a study of video playback speed",2020,"Lang, D.","clickstream"
"Dialogue attributes that inform depth and quality of participation in course discussion forums",2020,"Farrow, E.","cognitive pres"
"Predicting student performance in interactive online question pools using mouse interaction features",2020,"Wei, H.","heterogeneous information network"
"Decoding the performance in an out-of-context problem during blocked practice",2020,"Agrawal, S.","block"
"Designing for serendipity in a university course recommendation system",2020,"Pardos, Z.A.","course guid"
"The automated grading of student open responses in mathematics",2020,"Erickson, J.A.","automatic grad"
"How and how well do students reflect?: Multi-dimensional automated reflection assessment in health professions education",2020,"Jung, Y.","classif"
"The privacy paradox and its implications for learning analytics",2020,"Tsai, Y.-S.","expect"
"Exploring the usage of thermal imaging for understanding video lecture designs and students' experiences",2020,"Srivastava, N.","cognitive load"
"Prediction of students' assessment readiness in online learning environments: The sequence matters",2020,"Malekian, D.","assessment readiness predict"
"Using a cluster-based regime-switching dynamic model to understand embodied mathematical learning",2020,"Ou, L.","dynamic model"
"Assessment that matters: Balancing reliability and learner-centered pedagogy in MOOC assessment",2020,"Alexandron, G.","assess"
"Constructing and predicting school advice for academic achievement: A comparison of item response theory and machine learning techniques",2020,"Niemeijer, K.","e-learn"
"Technologies for automated analysis of co-located, real-life, physical learning spaces: Where are we now?",2019,"Chua, Y.H.V.","co-located learn"
"Different types of response-based feedback in mathematics: The case of textual and symbolic messages",2019,"Gal, T.","computer-based learn"
"On multi-device use: Using technological modality profiles to explain differences in students' learning",2019,"Sher, V.","blended learn"
"Semi-automatic generation of intelligent curricula to facilitate learning analytics",2019,"Fiallos, A.","intelligent curriculum"
"DEBE feedback for large lecture classroom analytics",2019,"Mitra, R.","large lectur"
"The timeliness deviation: A novel approach to evaluate educational recommender systems for closed-courses",2019,"Krauss, C.","educational recommender system"
"Differences in student trajectories via filtered time series analysis in an immersive virtual world",2019,"Reilly, J.M.","immersive virtual world"
"Cross-platform analytics: A step towards personalization and adaptation in education",2019,"Mangaroska, K.","architectur"
"Topic development to support revision feedback",2019,"Vytasek, J.M.","student support"
"Validating the use of LMS-derived rubric structural features to facilitate automated measurement of rubric quality",2019,"Arcuria, P.","rubric"
"Predicting student success in communication skills learning scenarios with virtual humans",2019,"Carnell, S.","communications skills learn"
"Modeling gender dynamics in intra and interpersonal interactions during online collaborative learning",2019,"Lin, Y.","collaborative learn"
"Contextualizable learning analytics design: A generic model and writing analytics evaluations",2019,"Shibani, A.","clad"
"Deep knowledge tracing and engagement with MOOCs",2019,"Mongkhonvanit, K.","item respons"
"Read between the lines: An annotation tool for multimodal data for learning",2019,"Mitri, D.D.","internet of th"
"Towards hybrid human-system regulation: Understanding children' SRL support needs in blended classrooms",2019,"Molenaar, I.","adaptive learning technolog"
"Fairer but not fair enough on the equitability of knowledge tracing",2019,"Doroudi, S.","equiti"
"Descriptive and predictive modeling of student achievement, satisfaction, and mental health for data-driven smart connected campus life service",2019,"Heo, J.","academic achiev"
"Affect sequences and learning in Betty's brain",2019,"Andres, J.M.A.L.","affect"
"The impact of student opt-out on educational predictive models",2019,"Li, W.","data privaci"
"“I spent more time with that team”: Making spatial pedagogy visible using positioning sensors",2019,"Martinez-Maldonado, R.","classroom"
"Introducing meaning to clicks: Towards traced-measures of self-efficacy and cognitive load",2019,"Jovanović, J.","cognitive load"
"Integrated closed-loop learning analytics scheme in a first year experience course",2019,"Syed, M.","advis"
"Would you? Could you? On a tablet? Analytics of children's ebook reading",2019,"Klebanov, B.B.","book read"
"Measuring knowledge gaps in student responses by mining networked representations of texts",2019,"Qiao, C.","educational data min"
"Effective feature learning with unsupervised learning for improving the predictive models in massive open online courses",2019,"Ding, M.","autoencod"
"Top concept networks of professional education reflections",2019,"Wise, A.F.","concept network"
"Motivated information seeking and graph comprehension among college students",2019,"Aguilar, S.J.","higher educ"
"Language as thought: Using natural language processing to model noncognitive traits that predict college success",2019,"Stone, C.","college success"
"Beyond A/B testing: Sequential randomization for developing interventions in scaled digital learning environments",2019,"NeCamp, T.","experimental design"
"Utilizing learning analytics to map students' self-reported study strategies to click behaviors in STEM courses",2019,"Rodriguez, F.","higher educ"
"The validity and utility of activity logs as a measure of student engagement",2019,"Motz, B.","lms"
"Social comparison in MOOCs: Perceived SES, opinion, and message formality",2019,"Choi, H.","mooc"
"Analytics of learning strategies: Associations with academic performance and feedback",2019,"Matcha, W.","data min"
"Are you talking to me? Multi-dimensional language analysis of explanations during reading",2019,"Allen, L.K.","comprehens"
"Comparison of ranking and rating scales in online peer assessment: Simulation approach",2019,"Babik, D.","peer assess"
"Using detailed access trajectories for learning behavior analysis",2019,"Wang, Y.","detailed access trajectori"
"Transfer learning using representation learning in massive open online courses",2019,"Ding, M.","autoencod"
"Counting clicks is not enough: Validating a theorized model of engagement in learning analytics",2019,"Fincham, E.","engag"
"Student centred design of a learning analytics system",2019,"De Quincey, E.","ladder"
"DiAD: Domain adaptation for learning at scale",2019,"Zeng, Z.","confusion detect"
