"Article","Year","Stem"
"ISENS: An integrated approach to combining epistemic and social network analyses",2020,"collaborative problem solv"
"Towards automated analysis of cognitive presence in MOOC discussions: A manual classification study",2020,"cognitive pres"
"An exploratory approach to measuring collaborative engagement in child robot interaction",2020,"automatic speech recognit"
"LA-DECK: A card-based learning analytics co-design tool",2020,"card"
"Automated insightful drill-down recommendations for learning analytics dashboards",2020,"decision tre"
"Perceptions and expectations about learning analytics from a brazilian higher education institution",2020,"higher education institut"
"Inspiration cards workshops with primary teachers in the early co-design stages of learning analytics",2020,"co-design method"
"Data-informed curriculum sequences for a curriculum-integrated game",2020,"curricular sequenc"
"R2DE: A NLP approach to estimating IRT parameters of newly generated questions",2020,"educational data min"
"From theory to action: Developing and evaluating learning analytics for learning design",2020,"design-based research"
"#Confused and beyond: Detecting confusion in course forums using students' hashtags",2020,"confusion detect"
"The relationship between confusion and metacognitive strategies in Betty's Brain",2020,"confus"
"Applying prerequisite structure inference to adaptive testing",2020,"adaptive test"
"High resolution temporal network analysis to understand and improve collaborative learning",2020,"collaborative learn"
"How working memory capacity limits success in self-directed learning: A cognitive model of search and concept formation",2020,"cognitive-computational model"
"Quantifying data sensitivity: Precise demonstration of care when building student prediction models",2020,"data collection parsimoni"
"Socio-temporal dynamics in peer interaction events",2020,"digital peer network"
"Learning-centred translucence: An approach to understand how teachers talk about classroom data",2020,"evidence-based decision-mak"
"Modelling collaborative problem-solving competence with transparent learning analytics: Is video data enough?",2020,"collaborative problem-solv"
"From childhood to maturity: Are we there yet? Mapping the intellectual progress in learning analytics during the past decade",2020,"bibliometr"
"Fostering and supporting empirical research on evaluative judgement via a crowdsourced adaptive learning system",2020,"crowd-sourc"
"How good is my feedback? a content analysis ofWritten feedback",2020,"content analysi"
"Predicting learners' effortful behaviour in adaptive assessment using multimodal data",2020,"adaptive assess"
"Intergroup and interpersonal forum positioning in shared-thread and post-reply networks",2020,"central"
"Towards understanding the lifespan and spread of ideas: Epidemiological modeling of participation on twitter",2020,"connectiv"
"Learning analytics dashboards: The past, the present and the future",2020,"evalu"
"Exploring student approaches to learning through sequence analysis of reading logs",2020,"association rule min"
"Let's shine together! a comparative study between learning analytics and educational data mining",2020,"educational data min"
"Macro MOOC learning analytics: Exploring trends across global and regional providers",2020,"cultural factor"
"The SEIRA approach: Course embedded activities to promote academic integrity and literacies in first year engineering",2020,"academic integr"
"EdX log data analysis made easy: Introducing ELAT: An open-source, privacy-aware and browser-based edX log data analysis tool",2020,"edx log"
"Rethinking time-on-task estimation with outlier detection accounting for individual, time, and task differences",2020,"learning analyt"
"Learning analytics challenges: Trade-offs, methodology, scalability",2020,"methodolog"
"Personalized visualizations to promote young learners' SRL: The learning path app",2020,"adaptive learning technolog"
"Disciplinary differences in blended learning design: A network analytic study",2020,"epistemic network analysi"
"Self-regulated learning and learning analytics in online learning environments: A review of empirical research",2020,"learning analyt"
"Comparing teachers' use of mirroring and advising dashboards",2020,"cooperative/collaborative learn"
"Towards automatic cross-language classification of cognitive presence in online discussions",2020,"community of inquiry model"
"Learning to represent healthcare providers knowledge of neonatal emergency care: Findings from a smartphone-based learning intervention targeting clinicians from LMICs",2020,"clinical train"
"Understanding Students' engagement with personalised feedback messages",2020,"data-driven approach"
"Are forum networks social networks? a methodological perspective",2020,"null model"
