"Article","Year"
"What My Little Pony Can Teach Us About Interest-Driven Learning",2020
"Two Stances, Three Genres, and Four Intractable Dilemmas for the Future of Learning at Scale",2020
"The Synchronicity Paradox in Online Education",2020
"Affordable Degrees at Scale: New Phenomenon or New Hype?",2020
"Using Information Visualization to Promote Students' Reflection on ""Gaming the System"" in Online Learning",2020
"Studying Retrieval Practice in an Intelligent Tutoring System",2020
"Sensing Affect to Empower Students: Learner Perspectives on Affect-Sensitive Technology in Large Educational Contexts",2020
"The Effect of Informing Agency in Self-Directed Online Learning Environments",2020
"Informal Learning Communities: The Other Massive Open Online 'C'",2020
"Co-Teaching Computer Science Across Borders: Human-Centric Learning at Scale",2020
"Effectiveness of Crowd-Sourcing On-Demand Assistance from Teachers in Online Learning Platforms",2020
"PARQR: Automatic Post Suggestion in the Piazza Online Forum to Support Degree Seeking Online Masters Students",2020
"Understanding Learner Behavior Through Learning Design Informed Learning Analytics",2020
"Students' Achievement of Personalized Learning Objectives in MOOCs",2020
"Student Engagement in Mobile Learning via Text Message",2020
"Human Languages in Source Code: Auto-Translation for Localized Instruction",2020
"Toward Learning at Scale in Developing Countries: Lessons from the Global Learning XPRIZE Field Study",2020
"Using Google Search Trends to Estimate Global Patterns in Learning",2020
"Learning to Cheat: Quantifying Changes in Score Advantage of Unproctored Assessments Over Time",2020
"Supporting Learners' Self-Regulation in LMOOCs: What Have We Done and How Far We Can Go?",2020
"Building an Infrastructure for Computer Science Education Research and Practice at Scale",2020
"Artificial Intelligence for Video-Based Learning at Scale",2020
"Workshop Proposal: Educational A/B Testing at Scale",2020
"Learning Engineering @ Scale",2020
"Designing Inclusive Learning Environments",2020
"Global Learning @ Scale",2020
"Code Free Chatbot Development: An Easy Way to Jumpstart Your Chatbot!",2020
"Adaptive Learning Using Finite State Machine Logic",2020
"Examining Sources of Variation in Student Confusion in College Classes",2020
"Towards Crowdsourcing the Identification of Knowledge Components",2020
"Characterizing Teacher Connections in Online Social Media: A Case Study on Pinterest",2020
"Open PISA: Dashboard for Large Educational Dataset",2020
"NQuire: Citizens Acting as Scientists in Massive Open Online Learning",2020
"Examinator: A Plagiarism Detection Tool for Take-Home Exams",2020
"Understanding Student Experience: A Pathways Model",2020
"Inferring Creativity in Visual Programming Environments",2020
"Detecting Contract Cheaters in Online Programming Classes with Keystroke Dynamics",2020
"BELT: Bluejeans CodE Leak DeTection",2020
"Analyzing Pre-Existing Knowledge and Performance in a Programming MOOC",2020
"Automatic RNN Cell Design for Knowledge Tracing Using Reinforcement Learning",2020
"Guidance on How Learning at Scale Can Be Made More Accessible",2020
"Differential Assessment, Differential Benefit: Four-Year Problem Roulette Analysis of STEM Practice Study",2020
"The Role of Self-Regulated Learning in the Design, Implementation, and Evaluation of Learning Analytics Dashboards",2020
"Learnersourcing at Scale to Overcome Expert Blind Spots for Introductory Programming: A Three-Year Deployment Study on the Python Tutor Website",2020
"Where's the Learning in Education Crowdsourcing?",2020
"Predicting Applicant Admission Status for Georgia Tech's Online Master's in Analytics Program",2020
"Peripheral and Semi-Peripheral Community: A New Design Challenge for Learning at Scale",2020
"SAGA: Curricula Optimization",2020
"Explanation Mining",2020
"Interpretable Personalized Knowledge Tracing and Next Learning Activity Recommendation",2020
"A Quantitative Analysis of When Students Choose to Grade Questions on Computerized Exams with Multiple Attempts",2020
"Cold Start Knowledge Tracing with Attentive Neural Turing Machine",2020
"Identifying Preparatory Courses That Predict Student Success in Quantitative Subjects",2020
"Towards an Appropriate Query, Key, and Value Computation for Knowledge Tracing",2020
"Analyzing K-12 Blended MOOC Learning Behaviors",2020
"Have Your Tickets Ready! Impede Free Riding in Large Scale Team Assignments",2020
"A Novel Approach for Knowledge State Representation and Prediction",2020
"Evaluating Bayesian Knowledge Tracing for Estimating Learner Proficiency and Guiding Learner Behavior",2020
"Pixasso: A Development Stage-Based Learning Application for Children",2020
"Analysis of Grading Times of Short Answer Questions",2020
"Towards Scalable Gamified Assessment in Support of Collaborative Problem-Solving Competency Development in Online and Blended Learning",2020
"Developing Digital Clinical Simulations for Large-Scale Settings on Diversity, Equity, and Inclusion: Design Considerations for Effective Implementation at Scale",2020
"Locabulary: A Context Sensitive Mixed Reality Flashcard Alternative for Second Language Learning",2020
"Leveraging Book Indexes for Automatic Extraction of Concepts in MOOCs",2020
"Understanding Reading Behaviors of Middle School Students",2020
"AlgoPlan: Supporting Planning in Algorithmic Problem-Solving with Subgoal Diagrams",2020
"Learning Analytics Dashboard for Problem-Based Learning",2020
"An Evidence-Based Learner Model for Supporting Activities in Robotics",2020
"Content Type Distribution and Readability of MOOCs",2020
"The Effectiveness of Multiple-Choice Type Flashcards for the Identification of Fish Species",2020
"Automated Generation of Learning Paths at Scale",2020
"Interpretable Models Do Not Compromise Accuracy or Fairness in Predicting College Success",2020
"Challenges of Online Learning in Nigeria",2020
"Understanding the Implications of the Use of Intelligent Tutoring Systems in Driver Training",2020
"Demo of JARET: A.I. Powered Web App for Goal Review and Time Management",2020
"Introducing Alexa for E-Learning",2020
"Start of a Science: An Epistemological Analysis of Learning at Scale",2019
"Can a Diversity Statement Increase Diversity in MOOCs?",2019
"Multiplatform MOOC Analytics: Comparing Global and Regional Patterns in EdX and Edraak",2019
"On the Acceptance and Usefulness of Personalized Learning Objectives in MOOCs",2019
"Graded Team Assignments in MOOCs: Effects of Team Composition and Further Factors on Team Dropout Rates and Performance",2019
"How Learners Engage with In-Context Retrieval Exercises in Online Informational Videos",2019
"Instructors Desire Student Activity, Literacy, and Video Quality Analytics to Improve Video-Based Blended Courses",2019
