"Article","Year","Author"
"What My Little Pony Can Teach Us About Interest-Driven Learning",2020,"Davis__Katie"
"Two Stances, Three Genres, and Four Intractable Dilemmas for the Future of Learning at Scale",2020,"Reich__Justin"
"The Synchronicity Paradox in Online Education",2020,"Joyner__David_A."
"Affordable Degrees at Scale: New Phenomenon or New Hype?",2020,"Park__David_S."
"Using Information Visualization to Promote Students' Reflection on ""Gaming the System"" in Online Learning",2020,"Xia__Meng"
"Studying Retrieval Practice in an Intelligent Tutoring System",2020,"Matayoshi__Jeffrey"
"Sensing Affect to Empower Students: Learner Perspectives on Affect-Sensitive Technology in Large Educational Contexts",2020,"Wang__Qiaosi"
"The Effect of Informing Agency in Self-Directed Online Learning Environments",2020,"Xie__Benjamin"
"Informal Learning Communities: The Other Massive Open Online 'C'",2020,"Hudgins__Will"
"Co-Teaching Computer Science Across Borders: Human-Centric Learning at Scale",2020,"Piech__Chris"
"Effectiveness of Crowd-Sourcing On-Demand Assistance from Teachers in Online Learning Platforms",2020,"Patikorn__Thanaporn"
"PARQR: Automatic Post Suggestion in the Piazza Online Forum to Support Degree Seeking Online Masters Students",2020,"Irish__India"
"Understanding Learner Behavior Through Learning Design Informed Learning Analytics",2020,"Shen__Hao"
"Students' Achievement of Personalized Learning Objectives in MOOCs",2020,"Rohloff__Tobias"
"Student Engagement in Mobile Learning via Text Message",2020,"Kizilcec__Ren\'{e}_F."
"Human Languages in Source Code: Auto-Translation for Localized Instruction",2020,"Piech__Chris"
"Toward Learning at Scale in Developing Countries: Lessons from the Global Learning XPRIZE Field Study",2020,"McReynolds__Andrew_A."
"Using Google Search Trends to Estimate Global Patterns in Learning",2020,"Arslan__Serhat"
"Learning to Cheat: Quantifying Changes in Score Advantage of Unproctored Assessments Over Time",2020,"Chen__Binglin"
"Supporting Learners' Self-Regulation in LMOOCs: What Have We Done and How Far We Can Go?",2020,"Conde_Gafaro__Barbara"
"Building an Infrastructure for Computer Science Education Research and Practice at Scale",2020,"Brusilovsky__Peter"
"Artificial Intelligence for Video-Based Learning at Scale",2020,"Seo__Kyoungwon"
"Workshop Proposal: Educational A/B Testing at Scale",2020,"Ritter__Steven"
"Learning Engineering @ Scale",2020,"Czerwinski__Erin"
"Designing Inclusive Learning Environments",2020,"Brooks__Christopher"
"Global Learning @ Scale",2020,"Joyner__David_A."
"Code Free Chatbot Development: An Easy Way to Jumpstart Your Chatbot!",2020,"Luo__Crystal_Jing"
"Adaptive Learning Using Finite State Machine Logic",2020,"Waterman__Muffie_Wiebe"
"Examining Sources of Variation in Student Confusion in College Classes",2020,"Chen__Youjie"
"Towards Crowdsourcing the Identification of Knowledge Components",2020,"Moore__Steven"
"Characterizing Teacher Connections in Online Social Media: A Case Study on Pinterest",2020,"Karimi__Hamid"
"Open PISA: Dashboard for Large Educational Dataset",2020,"Kantor__Avner"
"NQuire: Citizens Acting as Scientists in Massive Open Online Learning",2020,"Scanlon__Eileen"
"Examinator: A Plagiarism Detection Tool for Take-Home Exams",2020,"Apoorv__Raghav"
"Understanding Student Experience: A Pathways Model",2020,"Edwards__Chris"
"Inferring Creativity in Visual Programming Environments",2020,"Kovalkov__Anastasia"
"Detecting Contract Cheaters in Online Programming Classes with Keystroke Dynamics",2020,"Byun__Jeongmin"
"BELT: Bluejeans CodE Leak DeTection",2020,"Khazane__Anish"
"Analyzing Pre-Existing Knowledge and Performance in a Programming MOOC",2020,"Burd__Hannah"
"Automatic RNN Cell Design for Knowledge Tracing Using Reinforcement Learning",2020,"Ding__Xinyi"
"Guidance on How Learning at Scale Can Be Made More Accessible",2020,"Papathoma__Tina"
"Differential Assessment, Differential Benefit: Four-Year Problem Roulette Analysis of STEM Practice Study",2020,"Weaverdyck__Noah"
"The Role of Self-Regulated Learning in the Design, Implementation, and Evaluation of Learning Analytics Dashboards",2020,"Haynes__Carl_C."
"Learnersourcing at Scale to Overcome Expert Blind Spots for Introductory Programming: A Three-Year Deployment Study on the Python Tutor Website",2020,"Guo__Philip_J."
"Where's the Learning in Education Crowdsourcing?",2020,"Nguyen__Ha"
"Predicting Applicant Admission Status for Georgia Tech's Online Master's in Analytics Program",2020,"Staudaher__Shawn"
"Peripheral and Semi-Peripheral Community: A New Design Challenge for Learning at Scale",2020,"Joyner__David_A."
"SAGA: Curricula Optimization",2020,"Lefranc__Anneli"
"Explanation Mining",2020,"Bhavya"
"Interpretable Personalized Knowledge Tracing and Next Learning Activity Recommendation",2020,"Zhao__Jinjin"
"A Quantitative Analysis of When Students Choose to Grade Questions on Computerized Exams with Multiple Attempts",2020,"Verma__Ashank"
"Cold Start Knowledge Tracing with Attentive Neural Turing Machine",2020,"Zhao__Jinjin"
"Identifying Preparatory Courses That Predict Student Success in Quantitative Subjects",2020,"Davis__Glenn_M."
"Towards an Appropriate Query, Key, and Value Computation for Knowledge Tracing",2020,"Choi__Youngduck"
"Analyzing K-12 Blended MOOC Learning Behaviors",2020,"Gold__Robert"
"Have Your Tickets Ready! Impede Free Riding in Large Scale Team Assignments",2020,"Staubitz__Thomas"
"A Novel Approach for Knowledge State Representation and Prediction",2020,"Bhatt__Shreyansh"
"Evaluating Bayesian Knowledge Tracing for Estimating Learner Proficiency and Guiding Learner Behavior",2020,"Bhatt__Shreyansh"
"Pixasso: A Development Stage-Based Learning Application for Children",2020,"Nandan__Vrinda"
"Analysis of Grading Times of Short Answer Questions",2020,"Yen__Michael"
"Towards Scalable Gamified Assessment in Support of Collaborative Problem-Solving Competency Development in Online and Blended Learning",2020,"Rosen__Yigal"
"Developing Digital Clinical Simulations for Large-Scale Settings on Diversity, Equity, and Inclusion: Design Considerations for Effective Implementation at Scale",2020,"Borneman__Elizabeth"
"Locabulary: A Context Sensitive Mixed Reality Flashcard Alternative for Second Language Learning",2020,"Phillips-Gary__Zachary"
"Leveraging Book Indexes for Automatic Extraction of Concepts in MOOCs",2020,"Boughoula__Assma"
"Understanding Reading Behaviors of Middle School Students",2020,"Farhana__Effat"
"AlgoPlan: Supporting Planning in Algorithmic Problem-Solving with Subgoal Diagrams",2020,"Choi__Kabdo"
"Learning Analytics Dashboard for Problem-Based Learning",2020,"Pan__Zilong"
"An Evidence-Based Learner Model for Supporting Activities in Robotics",2020,"Schulz__Sandra"
"Content Type Distribution and Readability of MOOCs",2020,"Carlon__May_Kristine_Jonson"
"The Effectiveness of Multiple-Choice Type Flashcards for the Identification of Fish Species",2020,"Kerman__Ian"
"Automated Generation of Learning Paths at Scale",2020,"Jia__Julianna_Z."
"Interpretable Models Do Not Compromise Accuracy or Fairness in Predicting College Success",2020,"Kung__Catherine"
"Challenges of Online Learning in Nigeria",2020,"Abdulmajeed__Kabir"
"Understanding the Implications of the Use of Intelligent Tutoring Systems in Driver Training",2020,"Ekram__Al-Ahad"
"Demo of JARET: A.I. Powered Web App for Goal Review and Time Management",2020,"Schwabe__Andrew"
"Introducing Alexa for E-Learning",2020,"Zhao__Jinjin"
"Start of a Science: An Epistemological Analysis of Learning at Scale",2019,"Johanes__Petr"
"Can a Diversity Statement Increase Diversity in MOOCs?",2019,"Kizilcec__Ren\'{e}_F."
"Multiplatform MOOC Analytics: Comparing Global and Regional Patterns in EdX and Edraak",2019,"Ruip\'{e}rez-Valiente__Jos\'{e}_A."
"On the Acceptance and Usefulness of Personalized Learning Objectives in MOOCs",2019,"Rohloff__Tobias"
"Graded Team Assignments in MOOCs: Effects of Team Composition and Further Factors on Team Dropout Rates and Performance",2019,"Staubitz__Thomas"
"How Learners Engage with In-Context Retrieval Exercises in Online Informational Videos",2019,"Chaudhury__Rimika"
"Instructors Desire Student Activity, Literacy, and Video Quality Analytics to Improve Video-Based Blended Courses",2019,"Fong__Matthew"
"Growth Mindset Predicts Student Achievement and Behavior in Mobile Learning",2019,"Kizilcec__Ren\'{e}_F."
"Improv: Teaching Programming at Scale via Live Coding",2019,"Chen__Charles_H."
"Scaffolding during Science Inquiry",2019,"Li__Haiying"
"Teaching UI Design at Global Scales: A Case Study of the Design of Collaborative Capstone Projects for MOOCs",2019,"Cheng__Hao-Fei"
"Inequality: Multi-Modal Equation Entry on the Web",2019,"Franceschini__Andrea"
"Automatic Assessment of Complex Assignments Using Topic Models",2019,"Kuzi__Saar"
"Designing Digital Peer Assessment for Second Language Learning in Low Resource Learning Settings",2019,"Molapo__Maletsabisa"
"Mining Students Pre-Instruction Beliefs for Improved Learning",2019,"P\'{e}rez-Lemonche__\'{A}ngel"
"Scaling Up Writing in the Curriculum: Batch Mode Active Learning for Automated Essay Scoring",2019,"Hellman__Scott"
"UpGrade: Sourcing Student Open-Ended Solutions to Create Scalable Learning Opportunities",2019,"Wang__Xu"
"Design Perspectives of Learning at Scale: Scaling Efficiency and Empowerment",2019,"Kulkarni__Chinmay"
"Apples to Apples: Differences in Viewer Retention When Longer Content is Chopped into Smaller Bites",2019,"Kay__Jennifer_S."
"Key Phrase Extraction for Generating Educational Question-Answer Pairs",2019,"Willis__Angelica"
"Master's at Scale: Five Years in a Scalable Online Graduate Degree",2019,"Joyner__David_A."
