"Stem","Freq_13_20","Freq_13_14","Freq_15_16","Freq_17_18","Freq_19_20"
"aav",1,0,1,0,0
"abductive reason",1,1,0,0,0
"ability measur",1,0,0,1,0
"abstract",1,0,0,1,0
"abstract syntax tre",3,1,0,2,0
"academic achiev",1,0,0,0,1
"academic emot",1,1,0,0,0
"academic engag",1,0,0,1,0
"academic languag",1,0,0,1,0
"academic perform",2,0,0,1,1
"access",1,0,0,1,0
"achievement emot",2,0,1,0,1
"achievement go",1,0,0,1,0
"acoust",1,0,0,0,1
"action choic",1,0,1,0,0
"active learn",1,0,0,0,1
"active learning for classif",1,0,0,1,0
"active video watch",1,0,0,1,0
"activity-state model",1,0,0,1,0
"adapt",8,2,1,2,3
"adaptation of problem",1,1,0,0,0
"adaptation of resourc",1,0,0,1,0
"adaptive assess",1,0,0,0,1
"adaptive behaviour",1,1,0,0,0
"adaptive coach",1,0,0,1,0
"adaptive collaborative learning support",1,0,0,0,1
"adaptive collaborative learning support (acls)",1,0,0,0,1
"adaptive educational hypermedia",1,1,0,0,0
"adaptive feedback",3,1,0,2,0
"adaptive flashcard",1,0,0,1,0
"adaptive instruct",1,0,1,0,0
"adaptive it",1,1,0,0,0
"adaptive learn",5,0,0,2,3
"adaptive learning system",1,0,0,0,1
"adaptive navigation support",1,0,1,0,0
"adaptive scaffold",3,1,1,0,1
"adaptive script",1,1,0,0,0
"adaptive strategi",1,0,0,1,0
"adaptive support",1,0,0,0,1
"adaptive system",1,0,1,0,0
"adaptive test",2,1,1,0,0
"adaptive train",1,1,0,0,0
"adaptive tutor",6,1,2,1,2
"adaptive tutoring system",1,0,1,0,0
"adaptive visu",1,0,0,1,0
"additive factor model",1,0,0,1,0
"additive factors model",1,0,0,0,1
"adhd",1,0,1,0,0
"adoption-based research",1,1,0,0,0
"adult literaci",1,0,0,1,0
"advanced learning technolog",1,1,0,0,0
"adversarial attack",1,0,0,0,1
"affect",19,9,6,2,2
"affect and behavior detect",1,0,0,1,0
"affect chang",1,0,0,1,0
"affect detect",5,0,0,1,4
"affect dynam",3,0,0,1,2
"affect model",2,2,0,0,0
"affect recognit",1,1,0,0,0
"affect st",1,0,0,1,0
"affective aspects of learn",1,1,0,0,0
"affective backchannel",2,0,0,1,1
"affective comput",6,1,3,2,0
"affective engag",1,0,0,1,0
"affective learning companion",2,1,0,1,0
"affective model",1,0,0,0,1
"affective st",5,1,2,2,0
"affective state label",1,0,0,1,0
"affili",1,0,0,1,0
"agent",3,0,1,1,1
"agent-based model",1,0,0,0,1
"agent-based modeling and simul",1,1,0,0,0
"agent-directed emot",1,0,1,0,0
"agent languag",1,0,0,0,1
"ai",1,0,0,0,1
"ai enabled tutor",1,0,0,0,1
"aie",1,0,0,0,1
