"Stem","Freq_13_20","Freq_13_14","Freq_15_16","Freq_17_18","Freq_19_20"
"21st century skil",2,0,2,0,0
"a/b test",2,0,1,1,0
"ability estim",1,0,1,0,0
"ability group",1,0,0,1,0
"ability level",2,0,1,1,0
"academic achiev",3,0,1,0,2
"academic advis",1,1,0,0,0
"academic analyt",1,1,0,0,0
"academic essay writ",1,0,1,0,0
"academic integr",1,0,0,0,1
"academic literaci",1,0,0,0,1
"academic perform",1,0,0,0,1
"academic retent",1,0,1,0,0
"academic trajectori",1,0,0,0,1
"academic writ",2,0,1,1,0
"academic writing analyt",1,0,1,0,0
"access",2,0,1,1,0
"account",1,0,0,1,0
"accuraci",1,0,0,1,0
"achiev",1,0,0,1,0
"achievement goal orient",1,0,1,0,0
"achievement prim",1,0,0,1,0
"acm proceed",2,0,1,1,0
"act of speech",1,1,0,0,0
"action ord",1,0,1,0,0
"action research",2,1,0,1,0
"actionable insight",1,0,0,1,0
"active learn",2,1,1,0,0
"activity detect",1,0,1,0,0
"activity monitors (fitbit)",1,0,1,0,0
"activity theori",1,1,0,0,0
"adapt",1,0,0,1,0
"adaptive assess",1,0,0,0,1
"adaptive e-learning system",1,0,0,0,1
"adaptive educational technolog",1,0,0,1,0
"adaptive feedback",1,1,0,0,0
"adaptive learn",3,0,0,3,0
"adaptive learning environ",1,0,0,0,1
"adaptive learning technolog",2,0,0,0,2
"adaptive scaffold",1,1,0,0,0
"adaptive test",1,0,0,0,1
"additive factors model",1,0,1,0,0
"administr",1,1,0,0,0
"adopt",2,0,0,1,1
"adult educ",1,1,0,0,0
"adult learn",1,0,0,1,0
"advanced learning technolog",1,0,0,1,0
"advis",2,0,0,1,1
"af-fect",1,0,1,0,0
"affect",8,1,4,1,2
"affect detect",2,0,2,0,0
"affect dynam",1,0,0,0,1
"affection detect",1,0,0,1,0
"affective comput",2,0,1,1,0
"afford",2,2,0,0,0
"agenc",1,0,0,0,1
"agoni",1,0,0,0,1
"algorithm",4,1,3,0,0
"ambient display",1,1,0,0,0
"analysi",1,0,1,0,0
"analysing interaction data",1,0,1,0,0
"analysis framework",1,0,1,0,0
"analysis ind",1,1,0,0,0
"analysis platform",1,0,0,1,0
"analysis processes of learning trac",1,0,0,1,0
"analyt",7,3,1,3,0
"analytic approach",4,2,2,0,0
"analytic approaches & method",1,0,1,0,0
"analytics architectur",1,1,0,0,0
"analytics for act",2,0,1,1,0
"analytics tool",1,0,1,0,0
"analyzing student behavior",1,0,1,0,0
"and tools for sense-making in learning analytics. theories and theoretical concepts for understanding learning. learning analyt",1,1,0,0,0
"anomaly detect",1,0,1,0,0
"apache spark",2,0,0,2,0
"applic",1,0,0,1,0
"approaches to learn",2,0,1,0,1
"approx-imation algorithm",1,0,1,0,0
"architectur",2,0,1,0,1
"argument",3,2,1,0,0
"aristotl",1,1,0,0,0
"arithmet",2,0,1,1,0
"assess",15,5,5,4,1
"assessment analyt",1,0,1,0,0
"assessment design",1,0,0,0,1
"assessment of learning analytics tool",1,0,1,0,0
"assessment of learning infrastructur",1,0,1,0,0
"assessment readiness predict",1,0,0,0,1
"assist",1,0,0,1,0
"association rule min",2,0,1,0,1
"asynchronous discussion group",1,1,0,0,0
"at-risk stud",1,0,0,0,1
"at-risk student predict",1,0,1,0,0
"attent",2,1,0,1,0
"attrition bia",1,0,1,0,0
"audience response system",1,1,0,0,0
"audience synchron",1,1,0,0,0
"authentic science inquiri",2,0,0,1,1
"author-topic model",1,1,0,0,0
"author network",1,1,0,0,0
"auto grad",1,0,1,0,0
"autoencod",3,0,0,0,3
"automated analysi",1,0,1,0,0
"automated assess",4,1,2,1,0
"automated detection of reflect",1,0,0,1,0
"automated formative feedback",2,0,1,1,0
"automated grad",1,0,1,0,0
"automated inquiry assess",1,1,0,0,0
"automated report",1,0,0,1,0
"automated writing evalu",1,0,0,1,0
"automatic essay evalu",1,0,0,0,1
"automatic essay scor",1,0,1,0,0
"automatic grad",1,0,0,0,1
"automatic speech recognit",2,0,0,1,1
"autonomi",1,0,1,0,0
"availability predict",1,0,0,1,0
"awar",5,0,2,2,1
"awareness tool",1,1,0,0,0
"background mus",2,0,0,0,2
"badg",1,0,1,0,0
"bag-of-word",1,0,1,0,0
"balance assess",1,0,1,0,0
"barriers to adopt",1,0,0,1,0
"base-level learning equ",1,0,0,1,0
"batch process",1,0,0,1,0
"bay",1,0,0,1,0
"bayesian deep learn",1,0,0,0,1
"bayesian knowledge trac",3,0,3,0,0
"bayesian model",2,1,1,0,0
"behavior",1,0,0,1,0
"behavior model",1,0,0,1,0
"behaviour regul",1,0,0,1,0
"behavioural observ",1,1,0,0,0
"benchmark",1,0,1,0,0
"betweeness centr",1,1,0,0,0
"bibliometr",1,0,0,0,1
"bidirectional lstm",1,0,0,0,1
"big-data min",1,1,0,0,0
"big data",8,2,1,4,1
"big data analysi",1,0,0,1,0
"bin",1,0,1,0,0
"biosensor",2,0,1,1,0
"bkt",1,0,1,0,0
"bkt-bf",1,0,1,0,0
"blended-learn",1,0,0,1,0
"blended classroom",1,0,0,0,1
"blended instruction class",1,0,0,1,0
"blended learn",12,2,3,4,3
"block",1,0,0,0,1
"blockchain",1,0,0,1,0
"blog",1,1,0,0,0
"bloom's revised taxonomi",1,1,0,0,0
"book read",2,0,0,0,2
"booleanmatrix factor",1,0,1,0,0
"boredom",1,1,0,0,0
"botsw",1,0,1,0,0
"boundary manag",1,0,0,0,1
"boundary object",1,1,0,0,0
"business intellig",1,0,0,1,0
"c program",1,0,0,1,0
"calibr",1,0,0,0,1
"capacity build",1,1,0,0,0
"capit",1,0,0,1,0
"card",1,0,0,0,1
"career develop",1,0,0,1,0
"case studi",2,0,0,1,1
"causal infer",1,0,0,1,0
"causal model",2,0,1,1,0
"central",2,1,0,0,1
"challeng",2,0,0,2,0
"chang",1,1,0,0,0
"change detect",2,0,0,2,0
"change manag",2,1,0,1,0
"chat",1,0,1,0,0
"child robot interact",1,0,0,0,1
"children's read",2,0,0,0,2
"chinese character handwrit",1,1,0,0,0
"churn prediction in telco",1,0,0,1,0
"citation analysi",1,1,0,0,0
"cla toolkit",1,0,1,0,0
"clad",1,0,0,0,1
"class attend",1,0,0,1,0
"class featur",1,0,1,0,0
"classif",4,0,1,2,1
"classmat",1,0,0,1,0
"classroom",5,0,0,4,1
"classroom analyt",1,0,0,1,0
"classroom attent",1,1,0,0,0
"classroom decor",1,1,0,0,0
"classroom orchestr",2,2,0,0,0
"click-stream data",1,0,1,0,0
"clickstream",2,0,0,1,1
"clickstream act",1,0,0,1,0
"clinical train",1,0,0,0,1
"clrecip",1,0,1,0,0
"clus- ter",1,0,1,0,0
"cluster",14,4,2,4,4
"cluster analysi",1,0,1,0,0
"clustering analysi",1,0,0,0,1
"cmooc",1,0,1,0,0
"co-clust",1,0,0,1,0
"co-creat",1,0,0,1,0
"co-design",4,0,0,2,2
"co-design method",1,0,0,0,1
"co-located learn",1,0,0,0,1
"co-word analysi",1,0,0,0,1
"coclust",1,0,1,0,0
"code",1,0,0,0,1
"code embed",1,0,0,0,1
"code of eth",1,0,0,1,0
"code of practic",1,0,0,1,0
"code2vec",1,0,0,0,1
"coding concept detect",1,0,0,0,1
"coding manu",1,0,1,0,0
"cognit",1,0,1,0,0
"cognitive-computational model",1,0,0,0,1
"cognitive act",1,0,1,0,0
"cognitive and non-cognitive factor",1,0,1,0,0
"cognitive diagnostic model",1,0,0,1,0
"cognitive load",4,0,0,1,3
"cognitive pres",3,0,0,0,3
"cognitive process",1,1,0,0,0
"cognitive tutor",1,1,0,0,0
"cognitive user model",1,0,0,1,0
"coh-metrix",2,0,1,1,0
"cohes",1,0,1,0,0
"collabor",6,2,3,1,0
"collaboration assess",1,0,1,0,0
"collaborative learn",13,3,7,1,2
"collaborative learning environ",1,0,0,1,0
"collaborative model",2,0,0,2,0
"collaborative multi-regression model",1,0,1,0,0
"collaborative problem-solv",1,0,0,0,1
"collaborative problem solv",5,0,1,2,2
"collaborative writ",1,0,1,0,0
"collaborative writing process",1,1,0,0,0
"collective learn",1,0,0,0,1
"college appl",1,0,0,1,0
"college attend",1,0,0,1,0
"college major choic",1,0,1,0,0
"college success",2,0,0,1,1
"combat sport",1,0,0,0,1
"common app",2,0,0,1,1
"common wrong answ",1,0,1,0,0
"communic",2,0,2,0,0
"communication behavior",1,0,0,0,1
"communications skills learn",1,0,0,0,1
"communities of transform",1,0,0,1,0
"community build",1,1,0,0,0
"community college developmental mathemat",1,0,1,0,0
"community of inquiri",2,0,0,0,2
"community of inquiry (coi) model",1,0,1,0,0
"community of inquiry model",3,0,0,1,2
"comparative educ",1,1,0,0,0
"compet",2,1,0,1,0
"competence develop",1,0,0,1,0
"competency based educ",1,0,0,1,0
"competency framework reli",1,0,0,1,0
"competit",1,0,0,1,0
"complet",1,0,0,1,0
"completion r",1,1,0,0,0
"complex",1,0,0,1,0
"complex learn",1,0,0,1,0
"complex problem solv",2,0,1,0,1
"comprehens",2,0,0,0,2
"comput",1,0,1,0,0
"computational linguist",1,1,0,0,0
"computer-based learn",1,0,0,0,1
"computer-based test",1,1,0,0,0
"computer-supported collaborative learn",1,1,0,0,0
"computer ag",1,0,0,1,0
"computer mediated commun",1,1,0,0,0
"computer science educ",2,0,0,1,1
"computer supported collaborative learn",1,0,1,0,0
"computer supported collaborative learning (cscl)",2,2,0,0,0
"computer vis",1,1,0,0,0
"computerbas",1,0,1,0,0
"computerized adaptive practic",1,0,1,0,0
"computing educ",1,0,0,1,0
"computing education research",1,0,0,1,0
"computing platform",1,0,1,0,0
"concept drift",1,0,1,0,0
"concept form",1,0,0,0,1
"concept map",1,0,0,1,0
"concept network",1,0,0,0,1
"conceptual evolut",1,0,0,0,1
"conceptual model",1,0,0,0,1
"conditional random field",1,0,0,0,1
"confid",1,0,0,1,0
"configur",1,0,0,1,0
"confirmatory factor analysi",1,0,1,0,0
"confus",2,1,0,0,1
"confusion detect",2,0,0,0,2
"confusion resolut",1,0,0,0,1
"connected learn",1,0,1,0,0
"connectiv",3,0,2,0,1
"constraint",1,0,1,0,0
"constructed response analysi",1,1,0,0,0
"construction",1,1,0,0,0
"constructionist",1,0,1,0,0
"constructiv",1,1,0,0,0
"content adoption delay",1,0,0,1,0
"content analysi",6,0,2,2,2
"content analyt",3,0,1,0,2
"context",1,0,0,1,0
"context estim",1,1,0,0,0
"context model",1,0,0,1,0
"contextual appropriaci",1,0,0,1,0
"contextualizable learning analyt",1,0,0,0,1
"controlled experi",1,0,0,1,0
"controlled online test",1,0,1,0,0
"controlled vocabulari",1,0,1,0,0
"cookbook",1,0,0,1,0
"cooperative/collaborative learn",1,0,0,0,1
"corporate train",1,1,0,0,0
"corpus",1,1,0,0,0
"corpus linguist",5,0,3,1,1
"correlational topic model",1,0,0,1,0
"courbotre",1,0,1,0,0
"course advis",1,1,0,0,0
"course design",1,0,0,1,0
"course effect",1,0,1,0,0
"course enrol",1,1,0,0,0
"course guid",1,0,0,0,1
"course management system",2,2,0,0,0
"course qu",1,0,0,1,0
"course sequenc",1,0,0,0,1
"course tim",1,0,0,0,1
"coursera",1,0,0,1,0
"credenti",2,0,2,0,0
"critical literaci",1,0,1,0,0
"critical r",1,0,1,0,0
"cross-language classif",1,0,0,0,1
"cross lak",1,0,0,1,0
"crowd-sourc",1,0,0,0,1
"crowd-sourced learn",3,0,3,0,0
"crowd work",1,0,0,1,0
"crowdsourc",1,0,0,1,0
"cscl",6,1,4,0,1
"cscw",1,0,0,0,1
"ctas",1,0,1,0,0
"cue-phrase match",1,1,0,0,0
"cultural chang",1,1,0,0,0
"cultural differ",1,0,0,1,0
"cultural factor",1,0,0,0,1
"curricular sequenc",1,0,0,0,1
"curriculum",1,0,1,0,0
"curriculum analysi",1,0,1,0,0
"curriculum analyt",3,0,0,1,2
"curriculum design",2,2,0,0,0
"curriculum develop",1,0,0,1,0
"curriculum integrated math gam",1,0,0,0,1
"curriculum plan",1,0,0,0,1
"custom",1,0,0,1,0
"dashboard",14,0,10,4,0
"data-driven",2,0,1,1,0
"data-driven analysi",1,1,0,0,0
"data-driven approach",1,0,0,0,1
"data-driven decis",1,1,0,0,0
"data-driven mastery learn",1,0,1,0,0
"data-informed effort",1,0,0,1,0
"data-informed learning theori",1,0,0,1,0
"data-informed revis",1,0,0,1,0
"data analysi",2,2,0,0,0
"data analyt",3,1,1,1,0
"data captur",1,1,0,0,0
"data challeng",1,0,1,0,0
"data clean",1,0,1,0,0
"data collect",2,0,1,1,0
"data collection parsimoni",1,0,0,0,1
"data contamin",1,0,0,0,1
"data eth",1,0,0,0,1
"data fus",1,1,0,0,0
"data integr",1,1,0,0,0
"data intensive research",1,0,1,0,0
"data life cycl",1,0,1,0,0
"data literaci",1,0,1,0,0
"data manag",1,0,1,0,0
"data min",22,9,8,2,3
"data ownership",3,0,3,0,0
"data privaci",2,0,0,0,2
"data protect",2,0,0,2,0
"data protection by default",1,0,0,1,0
"data protection by design",1,0,0,1,0
"data retent",1,0,0,1,0
"data sci",1,1,0,0,0
"data sensit",1,0,0,0,1
"data shar",1,1,0,0,0
"data silo",1,0,1,0,0
"data stan-dard",1,0,1,0,0
"data storage and shar",1,0,0,1,0
"data storytel",1,0,0,1,0
"data stream",1,0,0,1,0
"data wrangl",1,1,0,0,0
"dataset",2,1,0,1,0
"debug",1,0,0,1,0
"decision tre",4,0,2,0,2
"deep factor model",1,0,0,0,1
"deep knowledge trac",1,0,0,0,1
"deep learn",5,0,0,1,4
"degree dropout analysi",1,0,0,0,1
"degree plan",1,0,0,0,1
"degree similar",1,0,0,0,1
"deliber",2,2,0,0,0
"demograph",1,0,1,0,0
"density extrapol",1,0,1,0,0
"density forecast",1,0,1,0,0
"descriptive model",1,0,0,0,1
"design",5,1,4,0,0
"design-based research",1,0,0,0,1
"design-research",3,2,1,0,0
"design based research",1,1,0,0,0
"design cognit",1,0,0,1,0
"design decis",1,1,0,0,0
"design principles for intervent",1,0,1,0,0
"design research",1,1,0,0,0
"detailed access trajectori",1,0,0,0,1
"detector",1,1,0,0,0
"determin",1,0,1,0,0
"developing countri",1,0,0,1,0
"diagnostic tool",1,0,0,1,0
"dialogu",2,2,0,0,0
"dialogue act model",1,0,1,0,0
"dictionari",1,0,0,0,1
"differenti",1,0,0,0,1
"differential privaci",2,0,0,1,1
"difficulty index",1,0,1,0,0
"difficulty level",1,1,0,0,0
"digital badg",2,0,2,0,0
"digital learning gam",1,0,0,0,1
"digital peer network",1,0,0,0,1
"dimensional model",1,0,0,1,0
"dimensionality reduct",2,0,0,0,2
"disciplinary differ",1,0,1,0,0
"disciplinary field",1,0,1,0,0
"discipline differ",1,0,0,1,0
"discours",3,2,0,1,0
"discourse analysi",5,2,2,1,0
"discourse analyt",5,2,3,0,0
"discriminative sequence analysi",1,0,0,0,1
"discuss",2,0,2,0,0
"discussion forum",7,0,2,4,1
"dispositional analyt",1,0,1,0,0
"distance based featur",1,0,0,0,1
"distance learn",6,4,2,0,0
"distributed represent",1,0,0,0,1
"divers",1,0,0,0,1
"doctor-patient commun",1,0,0,0,1
"document",1,1,0,0,0
"doer effect",1,0,1,0,0
"domain adapt",1,0,0,0,1
"domain model",1,0,0,0,1
"drill-down analysi",1,0,0,0,1
"drop-out",1,0,1,0,0
"dropout",1,0,0,0,1
"dropout predict",2,0,0,0,2
"dual cod",1,1,0,0,0
"dynam",1,0,0,1,0
"dynamic factor model",1,0,0,0,1
"dynamic model",1,0,0,0,1
"dynamic network",1,0,0,1,0
"dynamic text display",1,0,1,0,0
"dynamical systems theori",1,0,0,1,0
"e-book",2,0,0,1,1
"e-learn",4,0,2,0,2
"e-quiz bank",1,0,1,0,0
"early alert system",3,0,2,1,0
"early intervent",2,1,1,0,0
"early predict",1,0,1,0,0
"early warning system",5,1,1,2,1
"ecological systems theori",1,1,0,0,0
"economic educ",1,0,0,1,0
"edm",2,1,0,1,0
"educ",10,2,7,1,0
"education data min",1,0,0,0,1
"education polici",1,0,0,1,0
"educational assess",4,3,1,0,0
"educational big data",1,0,0,1,0
"educational cont",1,0,1,0,0
"educational data min",25,6,9,3,7
"educational data mining, educational process visu",1,0,0,1,0
"educational data sci",1,1,0,0,0
"educational data scientist",1,1,0,0,0
"educational dialogu",1,1,0,0,0
"educational gam",1,0,0,0,1
"educational perform",1,0,1,0,0
"educational polici",1,0,0,1,0
"educational recommender system",3,0,0,1,2
"educational success",1,0,1,0,0
"educational technolog",7,1,1,3,2
"educational video gam",1,0,0,1,0
"edx log",1,0,0,0,1
"eeg",3,1,0,2,0
"effect s",1,0,0,1,0
"efficacy attribut",1,0,1,0,0
"effort",1,0,0,1,0
"effort classif",1,0,0,0,1
"elearn",2,2,0,0,0
"electrodermal act",1,0,1,0,0
"electronic portfolio",1,1,0,0,0
"elementary educ",3,0,2,0,1
"embed",1,0,0,1,0
"embedded visu",1,0,1,0,0
"embodi",1,0,0,1,0
"embodied cognit",2,0,0,1,1
"emergency car",1,0,0,0,1
"emerging technolog",1,0,0,0,1
"emoji",1,0,0,0,1
"emot",4,0,1,3,0
"emotion regul",1,0,0,1,0
"empirical bay",1,0,0,0,1
"empowerment and disempower",1,0,1,0,0
"engag",13,1,3,5,4
"engagement and perform",1,0,1,0,0
"engagement pattern",1,0,0,0,1
"engin",1,0,0,1,0
"engineering design",1,0,0,1,0
"engineering educ",1,0,0,1,0
"english educ",1,0,0,0,1
"enriched assessment rubr",1,1,0,0,0
"ensembl",1,0,0,0,1
"entropi",1,0,1,0,0
"epidemiolog",1,0,0,0,1
"epistemic cognit",1,0,1,0,0
"epistemic network analysi",7,0,0,1,6
"epistemolog",1,1,0,0,0
"equation solv",1,0,0,1,0
"equiti",1,0,0,0,1
"ergm",3,0,2,1,0
"ethic",13,2,7,3,1
"europ",1,0,1,0,0
"evalu",10,2,3,4,1
"evaluation framework",1,0,1,0,0
"evaluative judg",1,0,0,0,1
"event organ",1,0,0,1,0
"event segment",1,0,0,1,0
"evid",4,0,1,3,0
"evidence-based decision-mak",1,0,0,0,1
"evidence-based research",1,1,0,0,0
"evidence hub",1,0,0,1,0
"evolving datastream",1,0,1,0,0
"exam strategi",1,0,0,0,1
"excel",1,0,0,1,0
"expect",1,0,0,0,1
"experi",1,0,0,1,0
"experience sampling methodology (esm)",1,0,1,0,0
"experiment",4,2,2,0,0
"experimental design",2,0,1,0,1
"experimental investig",1,1,0,0,0
"explainable ai",1,0,0,0,1
"explan",1,0,0,0,1
"explanatory model",1,0,0,0,1
"exploratory analysi",1,0,0,1,0
"exploratory data anal- ysi",1,0,1,0,0
"exploratory data analysi",1,0,0,0,1
"exploratory dialogu",1,1,0,0,0
"exploratory learn",1,0,1,0,0
"exploratory learning environ",1,0,1,0,0
"exponential random graph model",1,0,1,0,0
"eye-track",3,1,1,1,0
"eye track",2,0,2,0,0
"face-to-fac",2,0,1,1,0
"face-to-face classroom analysi",1,0,0,0,1
"face to fac",1,0,1,0,0
"facial expression recognit",1,0,0,1,0
"facilit",1,0,0,1,0
"factor analysi",1,0,0,0,1
"faculti",1,0,0,0,1
"faculty engag",1,0,0,1,0
"failur",1,0,1,0,0
"fair",2,0,0,0,2
"feature contribut",1,0,0,0,1
"feature extract",1,0,0,0,1
"feature find",2,0,0,2,0
"feature interact",1,0,0,0,1
"feature learn",1,0,0,0,1
"feature select",1,0,0,1,0
"features extract",1,0,0,0,1
"feedback",14,0,5,6,3
"feedback gap",1,0,0,0,1
"filled-paus",1,0,0,1,0
"filter bubbl",1,0,0,0,1
"financi",1,0,1,0,0
"finger trac",1,0,1,0,0
"first-year engin",1,0,0,1,0
"first year experi",1,0,0,0,1
"first year seminar",1,0,0,0,1
"flexibl",3,0,2,1,0
"fluenci",2,0,0,0,2
"focus group",1,1,0,0,0
"food analyt",1,0,0,0,1
"footbal",2,0,0,0,2
"football analyt",2,0,0,0,2
"football match outcome predict",1,0,0,0,1
"football pass predict",1,0,0,0,1
"forgetting curv",1,0,0,0,1
"formal learn",1,0,1,0,0
"format",1,0,0,1,0
"formative assess",6,3,2,1,0
"formative feedback",1,0,0,1,0
"forum",3,1,1,1,0
"forum particip",1,0,1,0,0
"forum us",1,0,0,1,0
"fraction",2,2,0,0,0
"fraction arithmet",1,0,1,0,0
"frame",1,0,0,1,0
"framework",1,0,1,0,0
"fuzzy set qualitative comparative analysi",1,0,0,1,0
"game",1,1,0,0,0
"game-based learn",2,0,1,1,0
"game-inspired instruct",1,1,0,0,0
"game analyt",1,0,0,0,1
"gameful instruct",1,0,1,0,0
"gamif",1,1,0,0,0
"gated boltzmann machin",1,0,1,0,0
"gaussian process",1,0,1,0,0
"gaze",1,0,0,1,0
"gender differ",1,0,0,0,1
"generalis",1,0,0,1,0
"generaliz",1,1,0,0,0
"genet",1,0,0,0,1
"gestur",2,0,1,1,0
"gis",2,0,2,0,0
"global health",1,0,0,0,1
