"","Abdalla__A.","Absar__R.","Abu-El-Haija__S.","Aghababyan__A.","Aguiar__E.","Aguilar__S.","Ahn__J.","Alexander__S.","Almeda__Ma.V.","Alterman__R.","Ambrose__G.A.","Ansari__M.","Arnold__K.E.","Baer__L.L.","Baker__R.S.","Baker__R.S.J.D.","Baker__S.","Balacheff__N.","Baron__J.D.","Behrens__J.T.","Benjamin_Shapiro__R.","Bishop__M.J.","Biswas__G.","Blikstein__P.","Bogarín__A.","Bono__M.","Braun__S.","Brockman__J.","Brodnick__R.","Brooks__C.","Brooks__C.A.","Brown__T.","Buckingham_Shum__S.","Bull__S.","Bushway__D.","Calvo__R.A.","Camilleri__V.","Carlos_Núñez__J.","Casanova__M.A.","Cerezo__R.","Chang__K.-M.","Chang__W.-C.","Charles__C.","Chatti__M.A.","Chawla__N.V.","Chen__B.","Chiera__B.","Chiluiza__K.","Chinis__G.","Chiu__M.M.","Chorianopoulos__K.","Clow__D.","Coffrin__C.","Colvin__C.","Coopey__E.","Corrin__L.","Cuypers__H.","d'Aquin__M.","D'Aquin__M.","Danahy__E.","Davis__C.-S.","Dawson__S.","De_Barba__P.","De_Freitas__S.","De_Laat__M.","De_Liddo__A.","DeBoer__J.","Dietze__S.","Dillenbourg__P.","Dimopoulos__I.","Drachsler__H.","Duin__A.H.","Duval__E.","Dwyer__N.","Dyckhoff__A.L.","Ebner__M.","Economides__A.A.","Essa__A.","Fancsali__S.E.","Ferguson__R.","Fisher__A.","Fishman__B.","Fujita__N.","Göhnert__T.","Gašević__D.","Gago__D.","Gao__S.","Gasevic__D.","Giannakos__M.N.","Gibson__A.","Gillet__D.","Gobert__J.D.","Goggins__S.","Goodrich__V.","Govaerts__S.","Gowda__S.M.","Grann__J.","Greenberg__A.K.","Greer__J.","Gross__M.","Gruzd__A.","Gunnarsson__B.L.","Halatchliyski__I.","Halb__W.","Harfield__T.D.","Harrer__A.","Hasselbring__T.","Hatala__M.","Hausknecht__S.N.","Hawksey__M.","Haythornthwaite__C.","He__Y.","Heck__A.","Hecking__T.","Herder__E.","Herrmannova__D.","Hickey__D.T.","Hlosta__M.","Hmelo-Silver__C.E.","Holman__C.","Holzer__A.","Hoppe__H.U.","Hu__Y.","Huggett__M.","Huston__D.","James__P.","Janisiewicz__P.","Janowicz__K.","Jay__N.","Jayaprakash__S.M.","Jeffery__N.","Jo__I.-H.","Joh__A.","Johnson__M.","Joksimovic__S.","Jonnalagadda__N.","Jorn__L.","Kelley__T.A.","Kennedy__G.","Kim__D.","Kirschner__P.","Kitto__K.","Kizilcec__R.F.","Klamma__R.","Klerkx__J.","Kloos__C.D.","Knight__S.","Koch__D.","Koulocheri__E.","Kovanovic__V.","Kuo__C.-H.","Kuzilek__J.","Lauría__E.J.M.","Leeman-Munk__S.P.","Leme__L.A.P.P.","Lester__J.C.","Levy__J.","Littleton__K.","Liu__S.","Lonn__S.","Lopes__G.R.","Loretz__K.M.","Lui__M.","Lukarov__V.","Lund__K.","Lynch__G.","Méndez__G.","Mũoz-Merino__P.J.","Macfadyen__L.","Manouselis__N.","Martin__T.","McDonagh-Smith__P.","Mckay__T.","McKenzie__G.","Mendiburo__M.","Merceron__A.","Michelotti__N.","Mirriahi__N.","Mohapatra__B.","Monroy__C.","Montebello__M.","Moody__E.W.","Mostow__J.","Mouri__K.","Munk__J.","Muslim__A.","Nam__S.","Niemann__K.","Nikolov__A.","Norris__D.","Nunes__B.P.","Ochiai__H.","Ochoa__X.","Ogata__H.","Okada__M.","Olsen__C.W.","Olsen__J.","Osaki__A.","Pantucek__M.","Papamitsiou__Z.K.","Pardo__A.","Pardos__Z.A.","Paulin__D.","Pea__R.","Peng__J.-W.","Petropoulou__O.","Pfaffman__J.","Phillips__R.","Piech__C.","Piety__P.J.","Pistilli__M.D.","Prinsloo__P.","Raca__M.","Rangel__V.S.","Ravenscroft__A.","Reesman__J.","Reimann__P.","Renzel__D.","Resendes__M.","Retalis__S.","Ritter__S.","Rivera-Pelayo__V.","Rodríguez__L.","Rogers__T.","Rojas__S.L.","Romero__C.","Ronchetti__M.","Rosé__C.P.","Rose__C.","Sánchez-Santillán__M.","Sándor__Á.","Samson__P.J.","San_Pedro__M.O.C.Z.","Santos__J.L.","Sao_Pedro__M.A.","Saranti__A.","Schön__M.","Scheffel__M.","Schiorring__E.","Schneider__B.","Schneider__E.","Schreurs__B.","Schroeder__U.","Scupelli__P.","Segedy__J.R.","Sharkey__M.","Shen__X.","Shultz__G.","Shum__S.B.","Sicilia__M.-A.","Siemens__G.","Simsek__D.","Slade__S.","Slotta__J.D.","Smith__C.P.","Southavilay__V.","Specht__M.","Steinert__L.","Stoitsis__G.","Stoyanov__S.","Stump__G.S.","Suarez__N.","Sulcer__B.","Suthers__D.","Swenson__J.","Szegedi__P.","Tada__M.","Taibi__D.","Takanashi__K.","Taraghi__B.","Taylor__J.N.","Teasley__S.","Teasley__S.D.","Tempelaar__D.T.","Teplovs__C.","Terzis__V.","Thompson__C.","Tissenbaum__M.","Tormey__R.","Tritz__J.","Ulrich_Hoppe__H.","Vachova__L.","Valiente__J.A.R.","Van_De_Vrie__E.","Van_Der_Kooij__H.","Vatrapu__R.","Verbert__K.","Verheyen__P.","Vozniuk__A.","Waddington__R.J.","Wadholm__B.","Weber__M.","Wei__Z.","Whitaker__R.","Whitelock__D.","Whitmer__J.","Wiebe__E.N.","Willis__J.","Wise__A.F.","Wolff__A.","Wolpers__M.","Wong__L.","Worsley__M.","Wright__M.C.","Xenos__M.","Xing__W.","Yacef__K.","Yang__J.-A.","Yoon__M.","Yu__T.","Yuan__Y.","Zacharias__V.","Zdrahal__Z.","Zhao__Y.","Ziebarth__S."
"Abdalla__A.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Absar__R.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abu-El-Haija__S.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aghababyan__A.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aguiar__E.",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aguilar__S.",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ahn__J.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alexander__S.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Almeda__Ma.V.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alterman__R.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
