"","Agrawal__Rakesh","Alexander__Larry","Armendariz__Daniel","Ashok__B.","Asuncion__Arthur","Bala__Srinath","Ball__Michael","Ballweber__Christy","Basu__Sumit","Bederson__Benjamin_B.","Bernstein__Michael_S.","Bishop__Judith","Breslow__Lori","Brooks__D._Christopher","Brooks__Michael","Brown__Keith","Buffardi__Kevin","Cambre__Julia","Canny__John","Carlson__Ryan","Catrambone__Richard","Champaign__John","Charlevoix__Donna","Chen__Bingxin","Chen__Pin-Ju","Chen__Yang-Hsueh","Cheung__Kevin","Chorianopoulos__Konstantinos","Chrisochoides__Nikos","Chuang__Isaac","Coetzee__Derrick","Colvin__Kimberly_F.","Cooper__Stephen","Cross__Andrew","Cutrell__Edward","Dasgupta__Anirban","Datha__Naren","Daume__Hal","de_Haan__Jac","de_Halleux__Jonathan","DeBoer__Jennifer","Dede__Christopher_J.","Deutsch__Amit","Dillahunt__Tawanna","Edwards__Stephen_H.","Ekstrand__Michael_D.","Elkherj__Matthew","Fenske__David","Fox__Armando","Fredericks__Colin","Freund__Yoav","Gajos__Krzysztof_Z.","Garcia__Daniel","Garcia__Daniel_D.","Getoor__Lise","Ghosh__Arpita","Giannakos__Michail_N.","Glassman__Elena_L.","Goldman__Max","Goldman__Pam","Goldwasser__Dan","Golshan__Behzad","Graesser__Arthur_C.","Grover__Shuchi","Gualtieri__Eugene","Guo__Philip_J.","Han__Qiuyi","Hartmann__Bjoern","Hearst__Marti_A.","Ho__Andrew","Huang__Bert","Huang__Jonathan","Jacobs__Charles","Jhaveri__M._Hanif","Kannan__Anitha","Karger__David","Kay__Jennifer_S.","Kenthapadi__Krishnaram","Kim__Juho","Kizilcec__Ren\'{e}_F.","Klemmer__Scott_R.","Kohlmeier__Jace","Kokkodis__Marios","Konstan__Joseph_A.","Kosturko__Lucy","Krause__Markus","Kulkarni__Chinmay","Kulkarni__Chinmay_E.","Kumar__Rahul","Kumar__Viraj","Li__Wenxin","Lim__Seongtaek","Lin__Jimmy","Liu__Alwina","Lonn__Steven","MacHardy__Zachary","Manning__Jane","Margulieux__Lauren_E.","Mazur__Eric","McAndrew__Patrick","McIntyre__Joseph","McKlin__Tom","McQuiggan__Scott","Miller__Brad","Miller__Kelly","Miller__Robert_C.","Mitros__Piotr","Mohri__Mehryar","Mustafaraj__Eni","Naik__Gaurav","Nesterko__Sergiy_O.","Nguyen__Thach","Niraula__Nobal","Norvig__Peter","O'Brien__Casey","O'Rourke__Eleanor","O'Shea__Tim","Paepcke__Andreas","Pai__Anvisha_H.","Papadopoulos__Kathryn","Parikh__Aatash","Parthasarathy__Madhusudan","Patel__Kayur","Pea__Roy","Popovi\'{\i}__Zoran","Prakash__Siddharth","Pritchard__David_E.","Rajamani__Sriram","Ramesh__Arti","Ranum__David","Reich__Justin","Reinecke__Katharina","Resnick__Lauren","Rogers__Stephanie","Ros\'{e}__Carolyn_Penstein","Rostamizadeh__Afshin","Rubin__Rob","Rus__Vasile","Russell__Daniel_M.","Saberi__Amin","Sabourin__Jennifer","Sahami__Mehran","Sanders__Marc","Sangameswaran__Satish","Scanlon__Eileen","Schneider__Emily","Seaton__Daniel","Seaton__Daniel_T.","Sharma__Deepika","Sherer__Jennifer","Singh__Rishabh","Socher__Richard","Speck__Jacquelin","Sritanyaratana__Lalida","Stefanescu__Dan","Stephens-Martinez__Kristin","Syed__Umar","Tang__Steven","Teasley__Stephanie","Teasley__Stephanie_D.","Terzi__Evimaria","Thies__William","Tillmann__Nikolai","Tomkin__Jonathan_H.","Vanderwende__Lucy","Walker__J.D.","Wang__Qianxiang","Wen__Miaomiao","Wilkowski__Julia","Wong__Lauren","Xiao__David","Xie__Tao","Xu__Zhengzheng","Yang__Diyi","Zyto__Sacha"
"Agrawal__Rakesh",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alexander__Larry",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Armendariz__Daniel",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ashok__B.",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asuncion__Arthur",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Bala__Srinath",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ball__Michael",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ballweber__Christy",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basu__Sumit",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Bederson__Benjamin_B.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
