"","Abbeel__Pieter","Aleven__Vincent","Amado-Salvatierra__Hector_R.","Ammann__Paul","Andel__Stephanie","Andersen__Erik","Andres__Juan_Miguel","Ang__Andrew","Angrave__Lawrence","Arian__Morelle","Aslami__Ahmad","Baker__Ryan","Baraniuk__Richard_G.","Beck__Joseph_E.","Benfield__Steve","Bhat__Suma","Biggers__Kietha","Blikstein__Paulo","Blink__Mary_Jean","Bosch__Nigel","Botelho__Anthony","Botelho__Anthony_F.","Boughoula__Assma","Brady__Katherine","Brennan__Karen","Brooks__Christopher","Brunskill__Emma","Bumbacher__Engin","Burstein__Jill","Byrne__Virginia_L.","Camacho__Ida","Carlier__Sebastien","Cassidy__Caitlin","Chai__Yuqian","Chen__Antares","Chen__Binglin","Chen__Lei","Chen__Naichun","Chen__Youjie","Chen__Zhongzhou","Cheng__Hao_Fei","Chuang__Isaac","Cobo__Crist\'{o}bal","Cohen__Geoffrey_L.","Coughlan__Tim","Crues__R._Wes","Cui__Yi","D'Antoni__Loris","Dang__Steven","Dasgupta__Sayamindu","Davis__Dan","Davis__Daniel","Davis__Glenn_M.","de_Vreede__Gert-Jan","de_Vreede__Triparna","Debelius__Justine","Denos__Nathalie","Dickler__Rachel","Dillenbourg__Pierre","Dobolyi__Kinga","Dodson__Samuel","Dommeti__Vijaya","Doroudi__Shayan","Dowell__Nia_M.M.","Dreier__Kelsey","Du__Andrew","Effenberger__Tom\'{a}\v{s}","Eidelman__Hadas","Facciotti__Marc","Falkner__Katrina","Falkner__Nickolas","Farasat__Alireza","Faucon__Louis","Federicks__Colin","Fels__Sidney","Fernando__Shantha","Fiacco__James","Figueredo__Lucas","Figueroa__Andrew","Fisher__Douglas","Fong__Matthew","Fox__Armando","Fratamico__Lauren","Frens__John","Ga\v{s}evi\'{c}__Dragan","Gal__Lilach","Gamage__Dilrukshi","Gantayat__Neelamadhav","Garaizar__Pablo","Gardner__Josh","Geigle__Chase","Gillet__Denis","Ginn__Jasper","Glassman__Elena","Gmiterko__Dominik","Gobert__Janice","Goel__Ashok","Goel__Sharad","Goldberg__Benjamin_S.","Goldman__Max","Gopalsamy__Rahul","Grimaldi__Phillip_J.","Guenaga__Mariluz","Guo__Philip_J.","Gupta__Monika","Gutowski__Kevin","H\r{a}klev__Stian","Hadzilacos__Thanasis","Halimi__Wissam","Hammer__Jessica","Hamonic__Ella","Harandi__Negar_M.","Hartmann__Bj\""{o}rn","Hauff__Claudia","Head__Andrew","Heffernan__Neil","Heffernan__Neil_T.","Hellas__Arto","Hershkovitz__Arnon","Hill__Benjamin_Mako","Hiron__Mathias","Hossain__Zahid","Houben__Geert-Jan","Houston__Stacey_L.","Hsieh__Gary","Hu__Xiao","Huttner-Loan__Elizabeth","Hyde__Embriette_R.","Igo__Michele","Ihantola__Petri","Iniesto__Francisco","Jin__Wan_Qi","Johanes__Petr","Joksimovi\'{c}__Sre\'{c}ko","Joyner__David_A.","Ju__An","Jun__Eunice","Karayev__Sergey","Karger__David","Kauffmann__Chris","Khalil__Mohammad","Kim__Juho","Kimn__Alex","Kindel__Alexander","Kizilcec__Ren\'{e}_F.","Klemmer__Scott","Knight__Rob","Koedinger__Kenneth_R.","Kolchinski__Y._Alex","Konstan__Joseph_A.","Kosciolek__Tomasz","Kotturi__Yasmine","Kovanovi\'{c}__Vitomir","Kross__Sean","Kulkarni__Chinmay","Kwok__Yu-Kwong","Lan__Andrew_S.","Le__Christopher_Vu","Lee__Sunbok","Lei__Chi-Un","Leinonen__Juho","Leon__Kimberly_A.","Leong__Chee_Wee","Lester__Jaime","Li__Haiying","Lin__Benjamin","Ling__Lin","Liu__Larry","Liu__Lei","Long__Rodney","Long__Rodney_A.","Lopez__Glenn","Lu__Xiwen","Madnani__Nitin","Maldonado__Samuel","Marteau__Benjamin","McAndrew__Patrick","McCaffrey__Dan","Meinel__Christoph","Michalenko__Joshua_J.","Miller__Robert_C.","Miller__Suzanne","Minocha__Shailey","Mohan__Kiran","Mor\'{a}n__Andoni_Egu\'{\i}luz","Mu__Tong","Munson__Liberty","Murthy__Sean","Napier__Alyssa","Narasimham__Gayathri","Nie__Weili","Nikolaev__Alexander","Northcutt__Curtis_G.","Offutt__Jeff","Ogan__Amy","Padmanabhan__Balaji","Pandey__Vineet","Pardi__Paul","Pardos__Zachary_A.","Park__Yeong_Hoon","Patikorn__Thanaporn","Paul__Andrew","Pel\'{a}nek__Radek","Perera__Indika","Perez__Sarah","Perry__Michelle","Piech__Chris","Popineau__Fabrice","Praphamontripong__Upsorn","Pritchard__David","Rafferty__Anna_N.","Rajapakshe__Thejan","Rangwala__Huzefa","Reich__Justin","Reinecke__Katharina","Renz__Jan","Resnick__Mitchel","Rettig__Bjorn","Riedel-Kruse__Ingmar","Riley__Ceri","Rizzardini__Rocael_Hern\'{a}ndez","Roll__Ido","Rollmann__Kai-Adrian","Rollo__Steven","Ros\'{e}__Carolyn","Rosen__Yigal","Ruan__Sherry","Rubin__Rob","Rushkin__Ilia","Sabatini__John","Saberi__Amin","Salzmann__Christophe","Santos__Lucas_A.","Sassmann__Vojt\v{e}ch","Saxberg__Bror","Scanlon__Eileen","Schmidt__Philipp","Schwartz__Dan","Seaton__Daniel","Seaton__Daniel_T.","Selent__Douglas","Seltzer__Margo","Setia__Sanjeev","Sewall__Jonathan","Shaik__Najmuddin","Sharrock__R\'{e}mi","Sindhgatta__Renuka","Singer__Susan","Singh__Arjun","Singh__Rishabh","Singh__Vivek","Soares__Gustavo","Sottilare__Robert","Sottilare__Robert_A.","Spector__Paul_E.","Staubitz__Thomas","Stewart__Brandon","Suzuki__Ryo","Sy__Angela","Szabo__Claudia","T\""{u}rkay__Selen","Tan__Chee_Wei","Tang__Steven","Teusner__Ralf","Thilakarathne__Haritha","Thille__Candace","Thornton__Sera","Tingley__Dustin","Tort__Fran\c{c}oise","Ubale__Rutuja","Uchidiuno__Judith","Urrea__Claudia","Vaish__Rajan","Van\v{e}k__Mat\v{e}j","van_der_Sluis__Frans","van_der_Zee__Tim","Varma__Sashank","Vie__Jill-J\^{e}nn","Walker__Erin","Wan__Hao","Wang__Ke","Wang__Lisa","Wang__Pearl","Wang__Shuaiguo","Wang__Shuhan","Wang__Zichao","Waters__Andrew_E.","Weber__Gregory","West__Matthew","White__Liz","Whitehill__Jacob","Whiting__Mark_E.","Wiese__Eliane_S.","Williams__Joseph_Jay","Wiltrout__Mary_Ellen","Wise__Alyssa_Friend","Wong__Jacqueline","Xiong__Xiaolu","Yarzebinski__Evelyn","Yen__Michael","Yeomans__Michael","Yeung__Chun-Kit","Yeung__Dit-Yan","Yin__Biao","Yoon__Dongwook","Yu__Bowen","Yudelson__Michael","Zafar__Farshida","Zhai__ChengXiang","Zhang__Amy_X.","Zhang__Liang","Zhang__Yaqiong","Zhao__Qian","Zhao__Siyuan","Zhu__Haiyi","Zilles__Craig"
"Abbeel__Pieter",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aleven__Vincent",0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amado-Salvatierra__Hector_R.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ammann__Paul",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andel__Stephanie",0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andersen__Erik",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andres__Juan_Miguel",0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ang__Andrew",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angrave__Lawrence",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arian__Morelle",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
