"Author","CommR"
"Aaron_D._Likens",3
"Agneta_Gulz",10
"Ailiya_Borjigin",25
"Ainhoa_AÌ.lvarez",16
"Alexander_Robert_Kutzke",63
"Alexandre_I._Direne",63
"Alice_Hansen",9
"Alistair_Windsor",2
"Amali_Weerasinghe",8
"Amanda_Jarrell",6
"Amir_Shareghi_Najar",8
"Amruth_N._Kumar",69
"Amy_M._Johnson",3
"Amy_Ogan",19
"Ana_Arruarte",16
"Andreas_Oranje",3
"Andrew_Olney",2
"Andy_Smith",5
"Anna_N._Rafferty",56
"Anna_Swigart",15
"Anne_Laure_Ligozat",50
"Annika_Silvervarg",10
"Antonija_Mitrovic",8
"Arancha_Simon_Hurtado",57
"Arthur_Graesser",2
"Atefeh_Ahmadi",8
"Ayesha_Madni",29
"Aysu_Ezen_Can",5
"Badroddin_Najmi",8
"Baptiste_Monterrat",31
"Beate_Grawemeyer",9
"Behrooz_Mostafavi",12
"Ben_Manson_Toussaint",27
"Benjamin_Nye",2
"Benjamin_Valdes",45
"Bernard_Evans",8
"Beverly_Woolf",7
"Birgit_Lugrin",18
"BjoÌ.rn_SjoÌ.deÌ.n",10
"Blair_Lehman",2
"Borhan_Samei",1
"Bradford_Mott",5
"Breya_Walker",2
"Brian_C._Gauch",34
"Brigitte_Grau",50
"Bruce_M._McLaren",22
"Bruce_Roberts",29
"Caitlin_Mills",1
"Camilla_Kirkegaard",10
"Carlos_Delgado_Kloos",49
"Carlos_Ramirez",45
"Carmen_Candel",39
"Carol_Forsyth",2
"Carolyn_Rose",20
"Carolyn_RoseÌ.",4
"Carsten_Ullrich",43
"Cassia_C._Carter",6
"Catherine_Chase",4
"Cecile_Perret",3
"Chun_W._Liew",4
"Chunyan_Miao",25
"Claude_Frasson",6
"Clauvice_Kenfack",35
"Colin_Gerber",15
"Collin_Lynch",12
"Corentin_Jouault",26
"Craig_Ganoe",22
"Cristina_Conati",32
"Cristina_Heffernan",1
"Cyrille_Suire",38
"Daniel_Auerbach",23
"Danielle_Clewley",2
"Danielle_McNamara",3
"Daouda_Sawadogo",38
"David_Arnau",11
"David_Yaron",22
"Deena_Bernett",4
"Devin_G._Russell",3
"Dhruv_Chand",4
"Diyi_Yang",20
"Donald_M._Morrison",2
"Douglas_Krieghbaum",59
"Douglas_Selent",1
"Dovan_Rai",7
"Dragan_Gasevic",4
"Dulce_Lay",37
"Dylan_Blaum",24
"Eduardo_GuzmaÌ.n",55
"Eduardo_Vidal_Abarca",39
"EÌ.lise_LavoueÌ.",31
"Elisabeth_AndreÌ.",18
"Elvira_Popescu",36
"Eric_Poitras",6
"Eric_Wiebe",5
"Erica_L._Snow",3
"Erik_Anderberg",10
"Erin_Walker",33
"Eva_MillaÌ.n",30
"Evelyn_Yarzebinski",19
"Fernando_J._RodriÌ.guez",5
"Franceska_Xhakaj",4
"FrancÌ.ois_Bouchet",6
"Francis_Jambon",27
"G._G._Tanner_Jackson",3
"Gaurav_Tomar",20
"Gautam_Biswas",34
"Geiser_Chalco_Challco",21
"Genaro_Rebolledo_Mendez",60
"George_Siemens",4
"Gordon_McCalla",47
"Gregor_Mehlmann",18
"Gregory_K._W._K._Chung",29
"Guiomar_JimeÌ.nez",30
"Guojing_Zhou",12
"Gustavo_PadroÌ.n_Rivera",60
"H._Chad_Lane",23
"H._Ulrich_Hoppe",44
"Haiying_Li",2
"Hana_BydzÌŒovskaÌ.",68
"Henry_Hua",46
"Hilary_Johnson",9
"Hiranmay_Ghosh",28
"Hitomi_Saito",13
"Hitoshi_Terai",13
"I_Han_Hsiao",17
"Ido_Roll",32
"Ig_Ibert_Bittencourt",21
"Ignacio_Casas",19
"Ignacio_MaÌ.nÌƒez",39
"Ionut_Damian",18
"Irena_Koprinska",51
"Iris_Howley",20
"Itziar_Aldabe",16
"Ivon_Arroyo",7
"Jack_Mostow",62
"Jaclyn_K._Maass",46
"Jaclyn_Ocumpaugh",1
"James_Lester",5
"James_R._Segedy",34
"Jan_PapousÌŒek",64
"Janay_Stewart",2
"Janie_Brisson",35
"Jason_Bernard",36
"Jason_J._Y._Park",48
"Jason_M._Harley",6
"JeÌ.roÌ.me_Tonetti",27
"Jenna_Marks",4
"Jennifer_Boller",2
"Jennifer_K._Olsen",4
"Jennifer_L._Weston",3
"Jennifer_Tsan",5
"Jesus_G._Boticario",11
"Jianmin_Dai",3
"Jincheul_Jang",48
"Jingtao_Wang",54
"John_S._Kinnebrew",34
"Jon_A._Elorriaga",16
"Jonathan_McKinsey",15
"Jonathan_Rowe",5
"Jonathan_Sewall",4
"Jorge_Ramirez",45
"Jose_A._Maestro_Prieto",57
"JoseÌ._A._RuipeÌ.rez_Valiente",49
"JoseÌ._Luis_PeÌ.rez_de_la_Cruz",30
"JoseÌ._P._GonzaÌ.lez_Brenes",17
"Joseph_F._Grafsgaard",5
"Joshua_Peterson",15
"Joshua_Stretton",51
"Judy_Kay",67
"Julia_Rucklidge",8
"Julio_Guerra",17
"Junya_Morita",13
"Justine_Cassell",58
"Kalina_Yacef",51
"Kalyan_Veeramachaneni",61
"Karen_Mazidi",66
"Kasia_Muldner",7
"Katharina_Loibl",9
"Katrina_Falkner",42
"Kazuaki_Kojima",13
"Kazuhisa_Miwa",13
"Kazuhisa_Seta",26
"Kazumasa_Goda",52
"Keith_Millis",2
"Kenneth_Miller",2
"Kevin_Mulqueeny",1
"Kim_Kelly",1
"Korinn_Ostrow",1
"Kourosh_Neshatian",8
"Kristy_Elizabeth_Boyer",5
"Lana_Karabachian",6
"Larise_Lucia_Stavarache",3
"Laura_Allen",3
"Laura_Naismith",6
"Lauren_Fratamico",32
"Layla_Husain",10
"Leigh_A._Mingle",1
"Lisa_Palmqvist",10
"Luc_Paquette",1
"Ma._Mercedes_Rodrigo",19
"Magnus_Haake",10
"Manolis_Mavrikis",9
"Maomi_Ueno",14
"Mar_Saneiro",11
"Marci_Glaus",1
"Maria_Bertling",3
"Maria_San_Pedro",1
"MariÌ.a_AÌ.ngeles_Serrano",39
"MariÌ.a_Victoria_Belmonte",30
"Mark_Brosnan",9
"Mark_Floryan",7
"Mark_G._Core",23
"Martin_Henz_",41
"Martin_Nystrand",1
"Martina_Rau",15
"Mary_Anne_Britt",24
"Maryse_Bianco",3
"Masaki_Uto",14
"Matthew_E._Jacovina",3
"Matthew_Jensen_Hays",23
"Mayya_Sharipova",47
"Megan_H._Frankosky",5
"Melissa_Bradley",4
"Miaomiao_Wen",20
"Michael_Brady",1
"Michael_Eagle",12
"Michael_Karabinos",22
"Michael_Timms",37
"Michael_Wixon",7
"Michel_Desmarais",31
"Miguel_Arevalillo_HerraÌ.ez",11
"Mihaela_Cocea",40
"Mihai_Dascalu",3
"Mikel_LarranÌƒaga",16
"Milton_Rosenberg",23
"Min_Chi",12
"Mitsuru_Ikeda",21
"Mohit_Agrawal",28
"Montse_Maritxalar",16
"Mun_Y._Yi",48
"Mustafa_Hajeer",2
"Myse_Elmadani",8
"Nabeela_Altrabsheh",40
"Nada_Basit",7
"Nana_Kanzaki",13
"Nathan_C._Hall",6
"Nathaniel_Blanchard",1
"Neil_Heffernan",1
"Neil_Rubens",14
"Nickolas_Falkner",42
"Nidhi_Saraswat",28
"Niels_Pinkwart",65
"Nigel_Bosch",1
"Niki_Papaionnou",6
"Nikol_Rummel",4
"Nobal_Niraula",2
"Noboru_Matsuda",19
"Octav_Popescu",4
"Olga_C._Santos",11
"Oliver_Ferschke",20
"Pamela_Jordan",53
"Pascal_Estraillier",38
"Patricia_Albacete",53
"Patricia_FernaÌ.ndez",19
"Patricia_Wallace",24
"Patrick_Gebhard",18
"Pedro_J._MunÌƒoz_Merino",49
"Peter_Brusilovsky",17
"Peter_Hastings",24
"Philip_I._PavlikJr.",46
"Philip_Sheridan_Buffum",5
"Philippe_Dessus",3
"Phillip_Pavlik",2
"Phuong_Pham",54
"Pilar_QuiroÌ.s",11
"Qinyu_Cheng",2
"Qiong_Yu",2
"Radek_PelaÌ.nek",64
"Rahul_Singhal",41
"Raja_M._Suleman",21
"Rajendra_Banjade",2
"RauÌ.l_Cabestrero",11
"Reva_Freedman",59
"Ricardo_Conejo",55
"Riichiro_Mizoguchi",21
"Rishabh_Chaudhry",33
"Rodney_Nielsen",66
"Roger_Azevedo",6
"Roger_Nkambou",35
"Rohit_Kumar",29
"Ronald_S._Landis",6
"Ronan_Champagnat",38
"Roya_Hosseini",17
"Ruth_Wylie",33
"Ryan_Baker",1
"Ryuichi_Nakaike",13
"Sabine_Graf",36
"Sacha_DeVelle",37
"Sally_P._W._Wu",15
"Samad_Kardan",32
"Samantha_Finkelstein",70
"Samuel_Leeman_Munk",5
"Sanaz_Fallahkhair",40
"Sandra_Katz",53
"Sarah_Snyder",2
"Scott_A._Crossley",3
"Sean_Kelly",1
"Sebastian_Gross",65
"Sebastien_Boyer",61
"SeÌ.bastien_George",31
"SeÌ.bastien_LouvigneÌ.",14
"Seiji_Isotani",21
"Serge_Robert",35
"Sergey_Sosnovsky",43
"Sergio_GutieÌ.rrez_Santos",9
"Sergio_Gutierrez_Santos",9
"Sergio_Salmeron_Majadas",11
"Seth_Akonor_Adjei",1
"Seung_Lee",5
"Shang_Wang",33
"Shaymaa_E._Sorour",52
"Shi_Feng",2
"Shubham_Goyal",41
"SÌ.tefan_Trausan_Matu",3
"Sidney_Dâ..Mello",1
"Simon_Hughes",24
"Siyao_Li",25
"Stephanie_Frost",47
"Su_Fang_Lim",25
"Suellen_Dragon",7
"Susan_Bull",67
"Susanne_Lajoie",6
"Sven_Manske",44
"Takatoshi_Ishii",14
"Tamara_van_Gog",22
"Tanmay_Sinha",58
"Tara_Tressel",6
"Tenzin_Doleck",6
"Thomas_L._Griffiths",56
"Thomas_W._Price",12
"Thushari_Atapattu",42
"Tiffany_Barnes",12
"Ting_Wen_Chang",36
"Tobias_Baur",18
"Tobias_Hecking",44
"Toby_Dragon",7
"Tomoko_Kojiri",26
"Tsunenori_Mine",52
"Uma_Narayanan",28
"Ursula_Schwantner",37
"V._Elizabeth_Owen",3
"Valerie_Shute",1
"Van_Minh_Pho",50
"Vanda_Luengo",27
"Vasile_Rus",2
"Victor_Kostyuk",1
"Vincent_Aleven",4
"Wayne_Holmes",9
"Winslow_Burleson",7
"Wookhee_Min",5
"Xiangen_Hu",2
"Xiaoyi_Sun",1
"Yang_Jiang",1
"Yanjin_Long",4
"Yecheng_Gu",43
"Yi_Ting_Huang",62
"Yoshihiro_Kato",14
"Yoshimitsu_Miyasawa",14
"Yuan_Wang",4
"Yuki_Hayashi",26
"Yun_Huang",17
"Yusuke_Nogami",26
"Zachary_Aman",4
"Zachary_Pardos",15
"Zhiqi_Shen",25
"Zhiqiang_Cai",2
"Zhongxiu_Liu",12
"Zoe_Peterson",1
