"Author","CommR"
"≈.ih√.k__J.",76
"Acholonu__U",8
"Adjei__S.A",54
"Aggarwal__V.",73
"Agnihotri__L",3
"al.Rifaie__M.M",34
"Aleven__V",27
"Allen__L.K",6
"Almeda__M.",3
"Ambrose__G.A",2
"Asano__Y",45
"Asbell.Clarke__J",1
"Ashenafi__M.M",41
"Atapattu__T",42
"Bachelet__R",12
"Baikadi__A",35
"Baker__R",3
"Baker__R.",60
"Baker__R.S",3
"Banjade__R",4
"Baraniuk__R.G.",74
"Barmaki__R",72
"Barnes__T",1
"Barnes__T.",1
"Beck__J.E.",3
"Bergner__Y",1
"Berland__M.",7
"Berman__S",4
"Bernacki__M.L",47
"Bhanot__R.",9
"Bhartiya__D",2
"Bhatnagar__S",24
"Biswas__A",10
"Biswas__G.",1
"Biswas__S",2
"Bixler__R",2
"Blanchard__N",2
"Borge__M",69
"Boroujeni__M.S",21
"Bosch__N",2
"Botelho__A",16
"Botelho__A.F",54
"Bouchet__F",12
"Boulanger__D",7
"Bowers__A.J",11
"Bowers__A.J.",9
"Boyer__K.E",5
"Brown__R",1
"Brown__R.",1
"Brunskill__E.",27
"Brusilovsky__P.",22
"Buffett__S",29
"Buffum__P",5
"Byd≈.ovsk√.__H.",78
"Cai__Z",4
"Carbonell__J",1
"Chan__P.K.",61
"Chandrasekaran__S",6
"Chaplot__D.S",1
"Charles__E.S.",24
"Chen__G",32
"Chen__L",15
"Chen__L.",62
"Chen__Y",52
"Chen__Z",51
"Chetlur__M",2
"Chi__M",9
"Chi__M.",1
"Choi__H",11
"Clement__B",43
"Contractor__D",2
"Craig__S.D",17
"Crossley__S",6
"Cunningham__P.",48
"Cutumisu__M",63
"D.Mello__S.K.",2
"d‚..Inverno__M.",34
"D‚..Mello__S.K.",2
"Dai__Y",45
"Dascalu__M",6
"Davenport__J",6
"Davis__D",32
"de_Alfaro__L",64
"de_Waal__A.",13
"Demirci__N",51
"Deshmukh__O.",10
"Desmarais__M",24
"Desmarais__M.C.",65
"Diana__N",1
"Dibie__O",8
"Dietrichson__S",53
"Dillenbourg__P.",21
"Dillon__J",2
"Dobashi__K.",83
"Domeniconi__C",18
"Dominguez__M.M",47
"Dong__Y",1
"Donnelly__P.J",2
"Doroudi__S",27
"Dow__S.P",2
"Dubrawski__A.",15
"Eagle__M",1
"Edwards__T",1
"Ekanadham__C.",31
"Emond__B",29
"Epp__C.D.",35
"Essa__A",7
"Falkner__K",42
"Fancsali__S.E",4
"Fancsali__S.E.",4
"Fang__Y",17
"Farghally__M.F",19
"Faucon__L",21
"Feild__J",7
"Feng__M",9
"Ferschke__O",20
"Fouh__E",19
"Frankosky__M",5
"Frankosky__M.H",5
"Ga≈.eviƒ.__D.",20
"Galyardt__A.",36
"Gandhi__A",10
"Gautam__D",4
"Gelman__B",18
"Getoor__L.",40
"Golab__L.",71
"Gonz√.lez.Brenes__J.P",52
"Goutte__C",29
"Graesser__A.",4
"Graesser__A.C.",4
"Grafsgaard__J.F",5
"Greene__D",48
"Griffiths__T.L.",49
"Grimalt.Reynes__A",34
"Gross__M.",28
"Guerra.Hollstein__J.D",22
"Guo__R.J.",29
"Hammer__B.",39
"Hamouda__S",19
"Han__B",31
"Hao__J",23
"Harpstead__E",1
"Hartman__K",26
"Hauff__C",32
"Heffernan__N",16
"Heffernan__N.",3
"Heffernan__N.__II",3
"Heffernan__N.T.",54
"Herbsleb__J",2
"Hernandez__J",33
"Hicks__D",1
"Hoffmann__K",13
"Holstein__K",27
"Hong__W..J",11
"Houben__G..J.",32
"Hsiao__I..H.",68
"Hu__X",4
"Hu__X.",17
"Huang__X",17
"Huang__Y",22
"Hughes__C.E.",72
"Hutt__S",2
"Inventado__P",3
"Inventado__P.S",3
"Jacovina__M.E",6
"Jansen__R.A",49
"Jeffries__B",12
"Jensen__J",39
"Jiang__Y",71
"Jiang__Z",1
"Jo__J",70
"Jo__Y",20
"Johnson__A.C",6
"Johri__A",18
"Johri__A.",57
"Jugo__I",56
"K√.ser__T",28
"Kai__S",3
"Kang__K",14
"Karklin__Y",31
"Kay__J.",80
"Kelly__S",2
"Kent__K.M",6
"Khajah__M",55
"Khan__S.",59
"Khong__A.W.H.",26
"Kidzi≈.ski__≈.",21
"Kim__S",36
"Kimura__H.",46
"Kinnebrew__J.S",1
"Kinshu",7
"Kitchen__C.",23
"Klingler__S",28
"Kode__S.",7
"Koedinger__K.R",58
"Koedinger__K.R.",1
"Koh__K.H",19
"Koprinska__I",12
"Kosturko__L",13
"Kovaƒ.iƒ.__B",56
"Krumm__A.E",9
"Kumar__R",10
"Kumar__V",7
"Kyle__K",6
"Kyllonen__P",23
"Kyrilov__A.",87
"Labarthe__H",12
"Labutov__I",38
"Lamb__A",33
"Lan__A.S",74
"Lang__C.",16
"Lasry__N",24
"Lee__J.E",11
"Lee__K",11
"Lester__J.",5
"Lester__J.C.",5
"Lewkow__N",7
"Li__H",4
"Li__P",1
"Li__Q",60
"Li__X",15
"Li__X.",1
"Likens__A.D",6
"Lim__H.",70
"Lin__Y..R",22
"Lindsey__R.V",55
"Lipson__H.",38
"Liu__K",26
"Liu__L",23
"Liu__R",6
"Liu__Z",1
"Long__Y",35
"Lopes__M.",43
"Lu__Y",68
"Lynch__C.F",1
"Ma__Y",3
"M≈.ynarska__E",48
"Maass__J.K",75
"MacLellan__C.J",1
"Maharjan__N",4
"Maki__K",2
"Malkiewich__L",3
"Mason__B",30
"Mason__C",9
"Matsuda__N",6
"Maull__K",8
