"Author","CommR"
"Abdalla__A.",11
"Absar__R.",20
"Abu.El.Haija__S.",6
"Aghababyan__A.",8
"Aguiar__E.",15
"Aguilar__S.",1
"Ahn__J.",68
"Alexander__S.",2
"Almeda__Ma.V.",19
"Alterman__R.",55
"Ambrose__G.A.",15
"Ansari__M.",53
"Arnold__K.E.",1
"Baer__L.L.",27
"Baker__R.S.",19
"Baker__R.S.J.D.",6
"Baker__S.",8
"Balacheff__N.",64
"Baron__J.D.",17
"Behrens__J.T.",6
"Benjamin_Shapiro__R.",32
"Bishop__M.J.",18
"Biswas__G.",39
"Blikstein__P.",62
"Bogar√.n__A.",12
"Bono__M.",10
"Braun__S.",23
"Brockman__J.",15
"Brodnick__R.",27
"Brooks__C.",60
"Brooks__C.A.",36
"Brown__T.",1
"Buckingham_Shum__S.",3
"Bull__S.",9
"Bushway__D.",59
"Calvo__R.A.",9
"Camilleri__V.",25
"Carlos_N√∫√.ez__J.",12
"Casanova__M.A.",22
"Cerezo__R.",12
"Chang__K..M.",26
"Chang__W..C.",33
"Charles__C.",7
"Chatti__M.A.",16
"Chawla__N.V.",15
"Chen__B.",54
"Chiera__B.",34
"Chiluiza__K.",5
"Chinis__G.",4
"Chiu__M.M.",61
"Chorianopoulos__K.",1
"Clow__D.",2
"Coffrin__C.",28
"Colvin__C.",34
"Coopey__E.",32
"Corrin__L.",28
"Cuypers__H.",14
"d.Aquin__M.",4
"D.Aquin__M.",63
"Danahy__E.",32
"Davis__C..S.",1
"Dawson__S.",2
"De_Barba__P.",28
"De_Freitas__S.",25
"De_Laat__M.",3
"De_Liddo__A.",3
"DeBoer__J.",58
"Dietze__S.",4
"Dillenbourg__P.",38
"Dimopoulos__I.",44
"Drachsler__H.",4
"Duin__A.H.",27
"Duval__E.",5
"Dwyer__N.",5
"Dyckhoff__A.L.",16
"Ebner__M.",24
"Economides__A.A.",45
"Essa__A.",2
"Fancsali__S.E.",51
"Ferguson__R.",3
"Fisher__A.",19
"Fishman__B.",1
"Fujita__N.",61
"G√.hnert__T.",7
"Ga≈.eviƒ.__D.",2
"Gago__D.",5
"Gao__S.",11
"Gasevic__D.",2
"Giannakos__M.N.",1
"Gibson__A.",35
"Gillet__D.",42
"Gobert__J.D.",6
"Goggins__S.",40
"Goodrich__V.",15
"Govaerts__S.",5
"Gowda__S.M.",6
"Grann__J.",59
"Greenberg__A.K.",31
"Greer__J.",60
"Gross__M.",31
"Gruzd__A.",20
"Gunnarsson__B.L.",55
"Halatchliyski__I.",7
"Halb__W.",9
"Harfield__T.D.",67
"Harrer__A.",65
"Hasselbring__T.",43
"Hatala__M.",2
"Hausknecht__S.N.",49
"Hawksey__M.",6
"Haythornthwaite__C.",20
"He__Y.",3
"Heck__A.",14
"Hecking__T.",7
"Herder__E.",4
"Herrmannova__D.",2
"Hickey__D.T.",18
"Hlosta__M.",2
"Hmelo.Silver__C.E.",47
"Holman__C.",1
"Holzer__A.",42
"Hoppe__H.U.",7
"Hu__Y.",11
"Huggett__M.",20
"Huston__D.",1
"James__P.",37
"Janisiewicz__P.",8
"Janowicz__K.",11
"Jay__N.",63
"Jayaprakash__S.M.",17
"Jeffery__N.",6
"Jo__I..H.",21
"Joh__A.",10
"Johnson__M.",9
"Joksimovic__S.",2
"Jonnalagadda__N.",17
"Jorn__L.",1
"Kelley__T.A.",18
"Kennedy__G.",28
"Kim__D.",21
"Kirschner__P.",3
"Kitto__K.",35
"Kizilcec__R.F.",41
"Klamma__R.",52
"Klerkx__J.",5
"Kloos__C.D.",30
"Knight__S.",3
"Koch__D.",1
"Koulocheri__E.",56
"Kovanovic__V.",2
"Kuo__C..H.",33
"Kuzilek__J.",2
"Laur√.a__E.J.M.",17
"Leeman.Munk__S.P.",29
"Leme__L.A.P.P.",22
"Lester__J.C.",29
"Levy__J.",47
"Littleton__K.",3
"Liu__S.",10
"Lonn__S.",1
"Lopes__G.R.",22
"Loretz__K.M.",39
"Lui__M.",48
"Lukarov__V.",16
"Lund__K.",64
"Lynch__G.",1
"M√.ndez__G.",5
"M≈.oz.Merino__P.J.",30
"Macfadyen__L.",2
"Manouselis__N.",4
"Martin__T.",8
"McDonagh.Smith__P.",25
"Mckay__T.",13
"McKenzie__G.",11
"Mendiburo__M.",43
"Merceron__A.",66
"Michelotti__N.",13
"Mirriahi__N.",2
"Mohapatra__B.",13
"Monroy__C.",46
"Montebello__M.",25
"Moody__E.W.",17
"Mostow__J.",26
"Mouri__K.",10
"Munk__J.",23
"Muslim__A.",16
"Nam__S.",1
"Niemann__K.",4
"Nikolov__A.",2
"Norris__D.",27
"Nunes__B.P.",22
"Ochiai__H.",10
"Ochoa__X.",5
"Ogata__H.",10
"Okada__M.",50
"Olsen__C.W.",1
"Olsen__J.",8
"Osaki__A.",10
"Pantucek__M.",2
"Papamitsiou__Z.K.",45
"Pardo__A.",1
"Pardos__Z.A.",6
"Paulin__D.",20
"Pea__R.",6
"Peng__J..W.",33
"Petropoulou__O.",44
"Pfaffman__J.",8
"Phillips__R.",8
"Piech__C.",41
"Piety__P.J.",18
"Pistilli__M.D.",1
"Prinsloo__P.",57
"Raca__M.",38
"Rangel__V.S.",46
"Ravenscroft__A.",3
"Reesman__J.",6
"Reimann__P.",9
"Renzel__D.",52
"Resendes__M.",54
"Retalis__S.",44
"Ritter__S.",51
"Rivera.Pelayo__V.",23
"Rodr√.guez__L.",5
"Rogers__T.",34
"Rojas__S.L.",4
"Romero__C.",12
"Ronchetti__M.",1
"Ros√.__C.P.",47
"Rose__C.",2
"S√.nchez.Santill√.n__M.",12
"S√.ndor__√..",3
"Samson__P.J.",69
"San_Pedro__M.O.C.Z.",6
"Santos__J.L.",5
"Sao_Pedro__M.A.",6
"Saranti__A.",24
"Sch√.n__M.",24
"Scheffel__M.",4
"Schiorring__E.",37
"Schneider__B.",6
"Schneider__E.",41
"Schreurs__B.",3
"Schroeder__U.",16
"Scupelli__P.",19
"Segedy__J.R.",39
"Sharkey__M.",53
"Shen__X.",18
"Shultz__G.",13
"Shum__S.B.",3
"Sicilia__M..A.",5
"Siemens__G.",2
"Simsek__D.",3
"Slade__S.",57
"Slotta__J.D.",48
"Smith__C.P.",8
"Southavilay__V.",9
"Specht__M.",4
"Steinert__L.",7
"Stoitsis__G.",4
"Stoyanov__S.",4
"Stump__G.S.",58
"Suarez__N.",12
"Sulcer__B.",43
"Suthers__D.",5
"Swenson__J.",70
"Szegedi__P.",1
"Tada__M.",50
"Taibi__D.",4
"Takanashi__K.",10
"Taraghi__B.",24
"Taylor__J.N.",26
"Teasley__S.",36
"Teasley__S.D.",1
"Tempelaar__D.T.",14
"Teplovs__C.",3
"Terzis__V.",45
"Thompson__C.",36
"Tissenbaum__M.",48
"Tormey__R.",38
"Tritz__J.",13
"Ulrich_Hoppe__H.",7
"Vachova__L.",2
"Valiente__J.A.R.",30
"Van_De_Vrie__E.",14
"Van_Der_Kooij__H.",14
"Vatrapu__R.",9
"Verbert__K.",5
"Verheyen__P.",7
"Vozniuk__A.",42
