"Author","CommR"
"Agrawal__Rakesh",7
"Alexander__Larry",8
"Armendariz__Daniel",20
"Ashok__B.",2
"Asuncion__Arthur",6
"Bala__Srinath",2
"Ball__Michael",19
"Ballweber__Christy",23
"Basu__Sumit",15
"Bederson__Benjamin_B.",5
"Bernstein__Michael_S.",4
"Bishop__Judith",10
"Breslow__Lori",31
"Brooks__D._Christopher",14
"Brooks__Michael",15
"Brown__Keith",14
"Buffardi__Kevin",33
"Cambre__Julia",4
"Canny__John",21
"Carlson__Ryan",9
"Catrambone__Richard",32
"Champaign__John",3
"Charlevoix__Donna",34
"Chen__Bingxin",18
"Chen__Pin.Ju",37
"Chen__Yang.Hsueh",37
"Cheung__Kevin",8
"Chorianopoulos__Konstantinos",26
"Chrisochoides__Nikos",26
"Chuang__Isaac",3
"Coetzee__Derrick",11
"Colvin__Kimberly_F.",3
"Cooper__Stephen",25
"Cross__Andrew",2
"Cutrell__Edward",2
"Dasgupta__Anirban",13
"Datha__Naren",2
"Daume__Hal",5
"de_Haan__Jac",6
"de_Halleux__Jonathan",10
"DeBoer__Jennifer",31
"Dede__Christopher_J.",40
"Deutsch__Amit",27
"Dillahunt__Tawanna",18
"Edwards__Stephen_H.",33
"Ekstrand__Michael_D.",14
"Elkherj__Matthew",28
"Fenske__David",8
"Fox__Armando",11
"Fredericks__Colin",3
"Freund__Yoav",28
"Gajos__Krzysztof_Z.",1
"Garcia__Daniel",19
"Garcia__Daniel_D.",20
"Getoor__Lise",5
"Ghosh__Arpita",13
"Giannakos__Michail_N.",26
"Glassman__Elena_L.",1
"Goldman__Max",1
"Goldman__Pam",9
"Goldwasser__Dan",5
"Golshan__Behzad",7
"Graesser__Arthur_C.",17
"Grover__Shuchi",25
"Gualtieri__Eugene",8
"Guo__Philip_J.",1
"Han__Qiuyi",3
"Hartmann__Bjoern",11
"Hearst__Marti_A.",11
"Ho__Andrew",3
"Huang__Bert",5
"Huang__Jonathan",13
"Jacobs__Charles",15
"Jhaveri__M._Hanif",7
"Kannan__Anitha",7
"Karger__David",16
"Kay__Jennifer_S.",35
"Kenthapadi__Krishnaram",7
"Kim__Juho",1
"Kizilcec__Ren...e._F.",30
"Klemmer__Scott_R.",4
"Kohlmeier__Jace",12
"Kokkodis__Marios",7
"Konstan__Joseph_A.",14
"Kosturko__Lucy",24
"Krause__Markus",38
"Kulkarni__Chinmay",4
"Kulkarni__Chinmay_E.",4
"Kumar__Rahul",2
"Kumar__Viraj",2
"Li__Wenxin",10
"Lim__Seongtaek",11
"Lin__Jimmy",5
"Liu__Alwina",3
"Lonn__Steven",36
"MacHardy__Zachary",20
"Manning__Jane",13
"Margulieux__Lauren_E.",32
"Mazur__Eric",16
"McAndrew__Patrick",22
"McIntyre__Joseph",3
"McKlin__Tom",35
"McQuiggan__Scott",24
"Miller__Brad",29
"Miller__Kelly",16
"Miller__Robert_C.",1
"Mitros__Piotr",1
"Mohri__Mehryar",6
"Mustafaraj__Eni",39
"Naik__Gaurav",8
"Nesterko__Sergiy_O.",3
"Nguyen__Thach",8
"Niraula__Nobal",17
"Norvig__Peter",12
"O.Brien__Casey",1
"O.Rourke__Eleanor",23
"O.Shea__Tim",22
"Paepcke__Andreas",12
"Pai__Anvisha_H.",1
"Papadopoulos__Kathryn",4
"Parikh__Aatash",19
"Parthasarathy__Madhusudan",2
"Patel__Kayur",6
"Pea__Roy",25
"Popovi....i.__Zoran",23
"Prakash__Siddharth",2
"Pritchard__David_E.",3
"Rajamani__Sriram",2
"Ramesh__Arti",5
"Ranum__David",29
"Reich__Justin",3
"Reinecke__Katharina",1
"Resnick__Lauren",9
"Rogers__Stephanie",21
"Ros...e.__Carolyn_Penstein",9
"Rostamizadeh__Afshin",6
"Rubin__Rob",1
"Rus__Vasile",17
"Russell__Daniel_M.",27
"Saberi__Amin",12
"Sabourin__Jennifer",24
"Sahami__Mehran",12
"Sanders__Marc",13
"Sangameswaran__Satish",2
"Scanlon__Eileen",22
"Schneider__Emily",30
"Seaton__Daniel",3
"Seaton__Daniel_T.",1
"Sharma__Deepika",2
"Sherer__Jennifer",9
"Singh__Rishabh",1
"Socher__Richard",4
"Speck__Jacquelin",8
"Sritanyaratana__Lalida",4
"Stefanescu__Dan",17
"Stephens.Martinez__Kristin",11
"Syed__Umar",6
"Tang__Steven",21
"Teasley__Stephanie",18
"Teasley__Stephanie_D.",36
"Terzi__Evimaria",7
"Thies__William",2
"Tillmann__Nikolai",10
"Tomkin__Jonathan_H.",34
"Vanderwende__Lucy",15
"Walker__J.D.",14
"Wang__Qianxiang",10
"Wen__Miaomiao",9
"Wilkowski__Julia",27
"Wong__Lauren",6
"Xiao__David",1
"Xie__Tao",10
"Xu__Zhengzheng",5
"Yang__Diyi",9
"Zyto__Sacha",16
