"Stem","commR_15_16","n"
"aav",70,1
"action choic",56,1
"adapt",31,1
"adaptive navigation support",17,1
"adaptive scaffold",33,1
"adhd",8,1
"affect",7,1
"affect",21,2
"affective comput",11,2
"affective comput",54,1
"affective st",60,1
"area under curv",40,1
"argument",24,1
"artificial intellig",57,1
"artificial neural network",36,1
"assess",55,1
"assistance dilemma",22,1
"attention-aware interfac",54,1
"author identif",59,1
"authoring tool",23,1
"automate assess",7,1
"automated deduct",41,1
"automatic exercise gener",16,1
"automatic feedback",39,1
"automatic quality evalu",50,1
"average error r",7,1
"axiomatic approach",41,1
"bayesian network",28,1
"blended learn",16,1
"case studi",47,1
"causal rel",24,1
"classroom",70,1
"classroom observ",19,1
"classroom studi",22,1
"cloze",62,1
"cluster",32,1
"code-switch",19,1
"cognitive diagnosi",35,1
"cognitive model",13,1
"collabor",19,1
"collabor",47,1
"collaborative filt",47,1
"collaborative learn",44,1
"comments data min",52,1
"comparative learn",26,1
"compiler design",12,1
"compute pearson correl",58,1
"computer science educ",51,1
"computer support cooperative work",40,1
"computerize adaptive test",64,1
"concept map",33,1
"concept map",42,1
"constraint handling rules (chr)",41,1
"contemporary educational psycholog",12,1
"content recommend",28,1
"corrected condit",56,1
"cultur",70,1
"data-driven",12,1
"data min",11,2
"dependency pars",66,1
"dialect",70,1
"digital resourc",38,1
"distractor",62,1
"domain model",16,1
"domain modul",16,1
"dynamic commun",25,1
"dynamic open-ended learning environ",47,1
"e-learn",17,1
"ecological approach",47,1
"educational cont",28,1
"educational data min",1,3
"educational data min",27,1
"educational data min",32,1
"educational data min",45,1
"educational data min",49,1
"educational data min",58,1
"educational gam",64,1
"educational question answ",42,1
"emot",6,3
"empirical studi",22,1
"engag",48,1
"erroneous exampl",22,1
"error record",63,1
"evalu",29,1
"example usag",17,1
"expert skeleton map",33,1
"exploratory learning environ",32,1
"eye gaze data analysi",8,1
"eye track",8,1
"feedback",37,1
"feedback choic",65,1
"felder-silverman learning style model",36,1
"fill in the blank",46,1
"first order log",41,1
"first order log",57,1
"formal domain",41,1
"game-based learn",5,2
"game-based learning environ",5,2
"gamif",31,1
"gamif",48,1
"generalization support",26,1
"generic user model",45,1
"heart rat",54,1
"help-seek",65,1
"heterogeneous trac",27,1
"hint",37,1
"historical think",26,1
"history learn",26,1
"id3",60,1
"identification of learning styl",36,1
"ill-defined domain of eth",47,1
"importance sampl",61,1
"infer",53,1
"inquiry based learn",26,1
"inquiry learn",44,1
"instructional plan",47,1
"intelligent tutor system",7,1
"intelligent tutor system",60,1
"intelligent tutor system",63,1
"intelligent tutoring system",2,5
"intelligent tutoring system",3,4
"intelligent tutoring system",4,3
"intelligent tutoring system",6,3
"intelligent tutoring system",7,1
"intelligent tutoring system",12,1
"intelligent tutoring system",15,2
"intelligent tutoring system",21,2
"intelligent tutoring system",23,1
"intelligent tutoring system",27,1
"intelligent tutoring system",45,1
"intelligent tutoring system",54,1
"intelligent tutoring system",57,1
"intelligent tutoring system",59,1
"intelligent tutoring system",65,1
"intelligent tutoring system",999,83
"interaction network",12,1
"interactive simul",32,1
"interest-based negoti",21,2
"international deploy",19,1
"interpersonal process",58,1
"intrinsic motiv",25,1
"it",35,1
"it",53,1
"item response theori",14,2
"item response theori",55,1
"java program",17,1
"job interview",18,1
"knowledge model",27,1
"knowledge trac",17,1
"learn",60,1
"learn computer program",63,1
"learn object",28,1
"learner behavior",21,2
"learner differ",8,1
"learner model",46,1
"learning analyt",49,1
"learning dashboard",7,1
"learning gain",58,1
"learning object",16,1
"linked open data",26,1
"machine learn",11,2
"machine learn",24,1
"machine learning techniqu",40,1
"markov decision process",56,1
"massive open online cours",61,1
"maximum entropi",40,1
"medical grad",7,1
"mental model",13,1
"metacognit",3,4
"metacognit",21,2
"middle school stud",12,1
"mind wand",54,1
"misconcept",55,1
"mobile devic",54,1
"model-based tutor",69,1
"mooc",20,2
"mooc",54,1
"motiv",31,1
"multiple choice quest",50,1
"multiple modeling task",8,1
"multitask learn",61,1
"natural-language tutoring system",53,1
"natural language infer",24,1
"natural language process",16,1
"natural language process",24,1
"natural language process",50,1
"neet",18,1
"negoti",21,2
"network coverag",12,1
"neurosci",37,1
"nlp",24,1
"nlp",42,1
"novice programm",12,1
"off-task behavior",19,1
"olm",67,1
"online learning platform",29,1
"open-ended learning environ",34,2
"open-ended task",8,1
"open learner model",21,2
"open learner model",67,1
"open social student model",17,1
"pattern match",41,1
"pedagogical model",57,1
"perceptual-gestural knowledg",27,1
"personal learning environ",38,1
"personalized guid",17,1
"personalized learn",48,1
"personalized learning system",19,1
"physics educ",53,1
"planning paramet",56,1
"player model",31,1
"predict",49,1
"prediction model",52,1
"prediction problem",61,1
"predictive model",44,1
"previous research work",63,1
"prior knowledg",53,1
"problem-solv",12,1
"problem solv",22,1
"problem solv",29,1
"production of educational materi",50,1
"production system",13,1
"programming task",12,1
"programming tutor",16,1
"question gener",26,1
"question gener",62,1
"question gener",66,1
"read",24,1
"reading comprehens",62,1
"reasoning skil",35,1
"relev",38,1
"research prototyp",28,1
"restat",53,1
"sax",60,1
"selecting text inform",39,1
"self-directed learn",26,1
"self-explan",19,1
"self-explan",69,1
"self-regulated learn",34,2
"self-regulation strategi",39,1
"semantic open learning spac",26,1
"semantic role label",66,1
"sentiment analysi",40,1
"serious gam",18,1
"similarity graph",63,1
"simulated learn",47,1
"simulated learning environ",47,1
"simulation gam",8,1
"social coach",18,1
"social problem-solving skil",8,1
"spacing effect",46,1
"structure interfac",56,1
"student approach",12,1
"student behavior",12,1
"student model",17,1
"student model",45,1
"student model",55,1
"student model",57,1
"student motiv",64,1
"student performance predict",51,1
"subject matter expert",7,1
"substep-based tutor",8,1
"target item",64,1
"target prob",64,1
"task-oriented read",39,1
"teachable ag",10,2
"teachable ag",19,1
"teachable ag",25,1
"teacher",70,1
"technology-enhanced train",18,1
"testing effect",46,1
"time seri",60,1
"topic model",52,1
"transcript analysi",59,1
"transfer learn",61,1
"tutored problems to solv",22,1
"tutorial dialogu",8,1
"tutorial dialogu",53,1
"tutoring sess",58,1
"uml-model",8,1
"user model",32,1
"user model",45,1
"user profil",38,1
"user studi",18,1
"virtual ag",18,1
"virtual human",23,1
"visual learning analyt",67,1
"visual represent",38,1
"vla",67,1
"web-based learn",31,1
"worked exampl",8,1
"worked exampl",12,1
"worked exampl",22,1
"worked exampl",69,1
"zoning out",54,1
