"Stem","commR_13_20","n"
"abet accredit",112,1
"academic outcom",166,1
"academic perform",109,2
"academic program manag",112,1
"activity theori",207,1
"activity visu",99,1
"adaptive learn",8,1
"adaptive learn",9,1
"adaptive learn",54,1
"adaptive learn",143,1
"adaptive learn",177,1
"adaptive learn",199,1
"adaptive scaffold",191,1
"adaptive spac",91,1
"adaptive system",201,1
"additive factor model",36,2
"advanced guiraud",62,1
"affect detect",97,1
"affect st",149,1
"affective comput",17,1
"affective comput",37,2
"affective comput",97,1
"affinity propag",46,1
"afghanistan education system",197,1
"agent",24,1
"agglomerative clust",82,1
"agglomerative clust",101,1
"algorithm",55,1
"algorithm analysi",55,1
"align",24,1
"analysi",76,2
"analyt",25,1
"analyt",183,1
"ant colony optim",105,1
"applic",161,1
"applied machine learn",87,1
"argument diagram",187,1
"assess",17,1
"assess",24,1
"assess",73,1
"assess",85,1
"assess",126,1
"assessment gener",18,1
"association analysi",202,1
"association rule min",70,1
"association rule min",112,1
"association rule min",116,1
"at-risk stud",61,1
"at-risk stud",132,1
"at-risk stud",172,1
"atc framework",26,1
"attend",69,1
"auto-grad",26,1
"auto-scor",40,1
"automated essay scor",10,1
"automated face analysi",9,1
"automated grading system",187,1
"automated inquiry assess",117,1
"automated process assess",45,1
"automated student assessment pr",10,1
"automated writing assess",50,1
"automatic composition of test pap",186,1
"automatic eye gaze follow",111,1
"automatic feedback",187,1
"automatic grad",85,1
"average model",138,1
"azur",198,1
"banner",95,1
"bayesian infer",8,1
"bayesian knowledge trac",117,1
"bayesian knowledge trac",177,1
"bayesian knowledge trac",200,1
"bayesian model",26,1
"bayesian models of student perform",96,1
"bayesian network",107,1
"behavior discoveri",116,1
"behavior model",86,1
"behavioral analys",135,1
"bias select",183,1
"biometric sensor",17,1
"bleu",40,1
"blue collar job",85,1
"bot",198,1
"bridge ensemble measur",56,1
"business educ",188,1
"cct",142,1
"chatbot",24,1
"choic",17,1
"classif",11,2
"classif",17,1
"classif",81,1
"classification techniqu",27,1
"classroom behavior optim",86,1
"classroom observation video",111,1
"clickstream",25,1
"clickstream data",45,1
"cluster",181,1
"cluster",188,1
"cluster analysi",139,1
"clustering algorithm",110,1
"clustering educational item",143,1
"code snapshot",122,1
"coding schem",15,2
"cognitive diagnosis model",17,1
"cognitive diagnosis student model",28,1
"cognitive diagnostic model",154,1
"cognitive model",26,1
"cognitive model",46,1
"collabor",12,2
"collabor",165,1
"collabor",196,1
"collaborative knowledge-build",87,1
"collaborative learn",45,1
"collaborative learn",87,1
"collaborative learn",184,1
"collaborative learn",204,1
"collaborative learning analysi",184,1
"collaborative problem-solv",77,1
"collaborative problem solv",13,1
"collaborative problem solv",73,1
"collaborative problem solv",87,1
"collaborative project",9,1
"college characterist",81,1
"community question answ",82,1
"comparative analysi",51,1
"complex problem solv",120,1
"computer-based learning environ",103,1
"computer science teach",33,1
"concept complex",171,1
"concept dependency graph",56,1
"concept discoveri",34,1
"concept map",191,1
"conceptual and social learning process",196,1
"confirmatory factor analysi",105,1
"confusion character",140,1
"construction",90,1
"content improv",154,1
"content pedagogi",154,1
"context tre",145,1
"continuous-time model",48,1
"convolutional neural network",63,2
"corpus linguist",62,1
"coupled interact",31,1
"course enrol",84,1
"course search",20,1
"course2vec",20,1
"creativ",8,1
"cross-recurrence quantif",165,1
"cross sect",189,1
"crowdsourc",9,1
"curriculum",155,1
"data-driven tutoring system",33,1
"data min",9,1
"data min",125,1
"data min",154,1
"data min",191,1
"data min",202,1
"data min",212,1
"data preprocess",207,1
"data structur",55,1
"data structur",163,1
"decision support system",60,1
"deep knowledge trac",96,1
"deep knowledge trac",177,1
"deep learn",10,1
"deep learn",21,1
"deep learn",34,1
"deep learn",45,1
"deep learning for educ",106,1
"deep neural network",17,1
"deep neural network",111,1
"depth of process",161,1
"detector",180,1
"dialogu",24,1
"dialogue act model",150,1
"difficulti",161,1
"digitally-based assess",121,1
"dimensionality reduct",17,1
"discours",73,1
"discourse analysi",87,1
"discovering curricular gap",175,1
"discussion forum",88,1
"discussion forum",104,1
"discussion forum analysi",140,1
"disengag",193,1
"distance metr",17,1
"divergent think",8,1
"doc2vec",40,1
"dormitory occup",95,1
"dropout",115,1
"dropout predict",132,1
"dropout predict",172,1
"dynamic bayesian network",116,1
"dynamic difficulty adjust",34,1
"dynamic group composit",204,1
"e-book log",29,1
"e-learn",8,1
"e-learn",99,1
"early warning system",131,1
"early warning system",168,1
"edge direct",56,1
"edge exist",56,1
"edit dist",159,1
"educ",85,1
"educ",169,1
"education set",25,1
"education system model",999,2
"education test",34,1
"educational data min",4,2
"educational data min",13,1
"educational data min",61,1
"educational data min",84,1
"educational data min",89,1
"educational data min",98,2
"educational data min",106,1
"educational data min",109,2
"educational data min",112,1
"educational data min",117,1
"educational data min",149,1
"educational data min",155,1
"educational data min",159,1
"educational data min",180,1
"educational data min",189,1
"educational data min",197,1
"educational data min",204,1
"educational gam",22,1
"educational gam",89,1
"educational gam",116,1
"educational measur",25,1
"educational peer review",162,1
"educational system",43,2
"educational technolog",88,1
"educational technolog",158,2
"educational technolog",196,1
"educational video",21,1
"efficaci",158,2
"email writ",85,1
"engag",21,1
"engag",69,1
"engag",110,1
"engag",174,1
"engag",201,1
"english as a second languag",62,1
"entity embed",53,1
"entity ment",53,1
"entity uri",53,1
"entropi",183,1
"entropy analysi",9,1
"esl",62,1
"essay r",142,1
"essay scor",40,1
"etextbook",55,1
"evalu",158,2
"evid",138,1
"evidence based competency model",138,1
"evolutionary clust",17,1
"exceptional model min",74,1
"execution trac",33,1
"expert skeleton concept map",191,1
"exploration behavior",120,1
"exploration environ",17,1
"exploratory learning environ",8,1
"extreme learning machin",46,1
"eye-track",165,1
"eye gaz",97,1
"eye track",90,1
"factor analysi",93,1
"factor analysi",149,1
"feature engin",87,1
"feature select",149,1
"features engin",171,1
"feedback val",17,1
"first-year challeng",122,1
"forgetting curv",54,1
