"Stem","commR_17_18","n"
"ability group",45,1
"account",20,1
"acm proceed",12,1
"adapt",16,1
"adaptive learn",57,1
"adaptive learn",78,1
"adult learn",73,1
"affect",62,1
"affective comput",17,1
"analysis processes of learning trac",16,1
"assess",11,1
"assess",20,1
"assess",61,1
"assist",49,1
"authentic science inquiri",61,1
"automated assess",18,1
"automated detection of reflect",83,1
"automated formative feedback",67,1
"automatic speech recognit",13,1
"availability predict",47,1
"barriers to adopt",34,1
"base-level learning equ",26,1
"behavior",52,1
"behavior model",70,1
"big data",34,1
"big data analysi",78,1
"blended instruction class",58,1
"blended learn",16,1
"business intellig",76,1
"capit",16,1
"change detect",27,1
"churn prediction in telco",39,1
"class attend",34,1
"classif",60,1
"classmat",45,1
"classroom analyt",13,1
"cluster",16,1
"cluster",43,1
"cluster",68,1
"co-clust",36,1
"cognitive diagnostic model",32,1
"cognitive load",13,1
"cognitive user model",26,1
"coh-metrix",75,1
"collaborative learn",40,1
"collaborative model",42,2
"collaborative problem solv",53,1
"college appl",29,1
"college success",29,1
"common app",29,1
"competence develop",21,1
"competency based educ",32,1
"competency framework reli",32,1
"complex learn",62,1
"computer ag",53,1
"computer science educ",11,1
"computing educ",58,1
"computing education research",69,1
"concept map",67,1
"configur",40,1
"context",16,1
"cross lak",58,1
"dashboard",6,1
"dashboard",11,1
"data-driven",11,1
"data-informed effort",11,1
"data-informed learning theori",11,1
"data-informed revis",6,1
"data analyt",24,1
"data collect",69,1
"data min",19,1
"data retent",34,1
"data storage and shar",11,1
"deep learn",24,1
"developing countri",28,1
"diagnostic tool",32,1
"differential privaci",36,1
"dimensional model",34,1
"discours",75,1
"discourse analysi",71,1
"discussion forum",31,3
"dynamic network",39,1
"early warning system",37,2
"educ",28,1
"educational data min",11,1
"educational polici",81,1
"educational technolog",37,2
"educational video gam",62,1
"eeg",13,1
"eeg",50,1
"embed",24,1
"embodi",82,1
"embodied cognit",82,1
"emot",62,1
"engag",13,1
"engag",28,1
"engag",30,1
"engineering educ",54,1
"epistemic network analysi",12,1
"evalu",65,1
"evalu",78,1
"event segment",56,1
"excel",76,1
"exploratory analysi",6,1
"facial expression recognit",62,1
"feature find",56,1
"feature find",80,1
"feature select",54,1
