"Stem","commR_15_16","n"
"21st century learn",39,1
"academic writ",61,1
"action log data",6,1
"active learn",16,1
"active learn",45,1
"active learn",51,1
"active learn",53,1
"activity theori",47,1
"adaptive educational system",38,1
"adaptive learn",13,1
"adaptive learn",16,1
"adaptive learn",50,1
"adult educ",35,1
"affine transformation estim",76,1
"algorithm",9,1
"analyt",18,1
"analyt",25,1
"analytic tools for learn",8,1
"android wear",17,1
"api design",13,1
"arts and human",35,1
"assess",23,1
"assess",48,1
"assess",60,1
"assess",79,1
"assess",89,1
"assessment of learning infrastructur",52,1
"assistments testb",52,1
"asynchronous commun",31,1
"asynchronous exam",73,1
"attribution of valu",70,1
"authent",13,1
"authentic learning environ",52,1
"author",13,1
"authoris",22,1
"auto-grad",45,1
"autograd",76,1
"automated essay scor",49,2
"automated grad",57,1
"automated instructional design",21,1
"automatic essay feedback",8,1
"automatic grad",30,2
"automatic grad",53,1
"bayesian infer",6,1
"bayesian knowledge trac",6,1
"behavior predict",11,1
"behavioral detector",78,1
"big data",38,1
"blended learn",18,1
"blended learn",80,1
"capacity plan",73,1
"case studi",47,1
"classif",21,1
"classif",93,1
"classifi",17,1
"cluster",19,1
"cohort s",69,1
"collaborative learn",37,2
"collective act",91,1
"community of inquiri",75,1
"community of practic",46,1
"community question answ",53,1
"community ta",11,1
"complet",11,1
"computer science educ",37,2
"computerized test",73,1
"computing education at scal",28,1
"conceptual learn",66,2
"conditional random field model",81,1
"construction",28,1
"context",18,1
"crowd sourc",63,1
"crowd sourc",64,1
"crowdsourc",89,1
"cscw",89,1
"dashboard",6,1
"dashboard",25,1
"dashboard",41,1
"data-driven improv",21,1
"data min",6,1
"data shar",22,1
"deep learn",6,1
"deer",60,1
"density-based spatial clustering of applications with nois",45,1
"design principl",51,1
"developmental mathemat",10,1
"digital learning environ",23,1
"discrete choice model",16,1
"discrete choice theori",73,1
"discussion forum",69,1
"discussion forum",74,1
"discussion forum",77,1
"domain adapt",93,1
"domain model",79,1
"dwelling tim",55,1
"dynamic time warp",45,1
"e-compet",61,1
"e-learn",61,1
"e-report",43,1
"e-tutor",61,1
"early literaci",32,1
"econom",91,1
"educ",9,1
"educ",13,1
"educ",18,1
"educ",79,1
"education production funct",91,1
"education technolog",88,1
"educational data min",6,1
"educational data min",17,1
"educational data min",23,1
"educational data min",39,1
"educational datamining.",42,1
"educational gam",14,2
"educational gam",27,1
"educational gam",40,1
"educational outcom",38,1
"educational robot",60,1
"educational technology us",19,1
"educational video",6,1
"edx",6,1
"edx",25,1
"elearn",17,1
"electron",66,2
"embedded/cyber-physical system",45,1
"engag",62,1
"engineering educ",65,1
"esteemed endors",60,1
"ethic",47,1
"evaluation.",72,1
"evid",47,1
"evidence-centered design",48,1
"evidence hub",47,1
"faculty develop",61,1
"feasibility studi",24,1
"feature engin",64,1
"flashcard schedul",16,1
"flipped classroom",9,1
"formative feedback",31,1
"forum",93,1
"functional program",44,1
"game theori",33,1
"gamif",46,1
"github",44,1
"global literacy project",32,1
"grade",81,1
"group cohes",75,1
"groupwar",43,1
"growth mindset",14,2
"hci",68,1
"hidden markov model",40,1
"hierarchical and tempor",9,1
"hint",22,1
"hint gener",42,1
"ictd",68,1
"ident",13,1
"immediate feedback",80,1
"in-video quizz",92,1
"incent",11,1
"incent",91,1
"india",68,1
"informal learn",28,1
"information complex",55,1
"information retriev",53,1
"infrastructur",83,1
"innov",47,1
"inquiry learn",6,1
"instructional model",50,1
"instructional technolog",6,1
"instructor",25,1
"intelligent tutor",38,1
"intelligent tutor",66,2
"intelligent tutoring system",21,1
"intelligent tutoring system",24,1
"interaction data",66,2
"interdisciplinar",56,1
"interdisciplinary collabor",27,1
"internet relay chat",46,1
"interoper",24,1
"item difficulti",6,1
"item ord",6,1
"itss",24,1
"k-12 comput",48,1
"kernel mod",83,1
"knowledge trac",6,1
"knowledge trac",9,1
"l@s",54,1
"latent dirichlet alloc",59,1
"latent dirichlet alloc",74,1
"learn",47,1
"learn",68,1
"learn",91,1
"learner model",50,1
"learnersourc",89,1
"learning analyt",13,1
"learning analyt",19,1
"learning analyt",26,1
"learning analyt",41,1
"learning analyt",47,1
"learning analyt",55,1
"learning analyt",56,1
"learning analyt",62,1
"learning analyt",74,1
"learning analyt",88,1
"learning at scal",33,1
"learning at scal",65,1
"learning behavior",10,1
"learning from demonstr",21,1
"learning management system",62,1
"learning to rank",53,1
"learning to writ",61,1
"lecture navig",92,1
"lecture view",92,1
"linked data",88,1
"log analysi",10,1
"log analysi",39,1
"log data analysi",24,1
"long short-term memori",6,1
"longitudinal data",38,1
"lurker",77,1
"machine learn",11,1
"machine learn",21,1
"machine learn",54,1
"machine learn",64,1
"machine learn",79,1
"machine learn",82,1
"massive online open cours",71,1
"massive open online cours",33,1
"massive open online cours",36,2
"massive open online cours",46,1
"massive open online cours",59,1
"massive open online cours",82,1
"mastery learn",38,1
"mastery learn",52,1
"mastery learn",78,1
"math educ",31,1
"measur",35,1
"mechanism design",33,1
"metaphors for learn",58,1
"micro learn",23,1
"modular",6,1
"mooc",1,6
"mooc",4,4
"mooc",6,1
"mooc",7,3
"mooc",9,1
"mooc",11,1
"mooc",13,1
"mooc",15,2
"mooc",17,1
