"Author","Degree_13_20","Degree_13_14","Degree_15_16","Degree_17_18","Degree_19_20"
"Aaron_Courville",8,NA,NA,NA,8
"Aaron_D._Likens",13,NA,10,4,3
"Aaron_Mitchell",8,5,NA,7,NA
"Aaron_Richard_Glick",2,NA,NA,NA,2
"Abdessamad_Chanaa",1,NA,NA,NA,1
"Adam_Lopez",4,NA,NA,NA,4
"Adam_Plumbley",10,NA,NA,10,NA
"Adam_Viola",4,NA,NA,NA,4
"Adetunji_Adeniran",2,NA,NA,0,2
"Aditya_Kanade",2,NA,NA,2,NA
"Aditya_Vempaty",5,NA,NA,5,NA
"Adriana_de_Carvalho",3,3,NA,NA,NA
"Adva_Livni",7,NA,NA,7,NA
"Agneta_Gulz",10,2,7,4,4
"Agnieszka_Skawińska",1,NA,NA,NA,1
"Ahcène_Boubekki",5,NA,NA,NA,5
"Ahmad_Al-Doulat",8,NA,NA,NA,8
"Ahmad_Y._Javaid",7,NA,NA,NA,7
"Ahmed_Alamri",7,NA,NA,NA,7
"Ahmed_Hadj_Kacem",3,NA,NA,3,NA
"Ahmed_Zaidi",4,NA,NA,NA,4
"Aileen_Benedict",8,NA,NA,NA,8
"Ailiya_Borjigin",4,NA,4,NA,NA
"Ainhoa_Álvarez",1,NA,1,NA,NA
"Akailah_Jenkins",3,3,NA,NA,NA
"Akihiro_Kashihara",3,1,NA,NA,2
"Akos_Ledezci",4,NA,NA,4,NA
"Alan_Carlin",3,3,NA,NA,NA
"Alan_F._Smeaton",2,NA,NA,2,NA
"Alan_Pedro",4,NA,NA,NA,4
"Alan_Pedro_da_Silva",11,NA,NA,6,6
"Alan_Schoenfeld",6,NA,NA,6,NA
"Albert_Corbett",10,7,NA,7,NA
"Alberto_Giovanni_Busetto",8,8,NA,NA,NA
"Alejex_Shabas",2,NA,NA,2,NA
"Alessandro_Faraotti",11,NA,NA,11,NA
"Alessandro_Marani",3,3,NA,NA,NA
"Alex_Gerdes",3,NA,NA,3,NA
"Alex_Kindel",5,NA,NA,5,NA
"Alexander_Keidel",5,NA,NA,NA,5
"Alexander_R._Khachatryan",6,6,NA,NA,NA
"Alexander_Robert_Kutzke",1,NA,1,NA,NA
"Alexandra_Cristea",11,4,NA,NA,7
"Alexandra_González-Eras",1,NA,NA,NA,1
"Alexandre_I._Direne",1,NA,1,NA,NA
"Alexey_Shpilman",2,NA,NA,NA,2
"Alfredo_Sandes",3,3,NA,NA,NA
"Alice_Barana",4,NA,NA,4,NA
"Alice_Hansen",8,NA,5,5,NA
"Alicja_Piotrkowicz",3,NA,NA,NA,3
"Alik_Palatnic",7,NA,NA,7,NA
"Alin_Nicolae_Zanciu",3,3,NA,NA,NA
"Alina_von_Davier",6,NA,NA,6,NA
"Alireza_Karduni",8,NA,NA,NA,8
"Alisa_Krivokapic",5,NA,NA,5,NA
"Alison_Brauneis",6,NA,NA,6,NA
"Alistair_Windsor",6,NA,6,NA,NA
"Allan_Tucker",4,NA,NA,NA,4
"Allen_Guo",6,NA,NA,6,NA
"Allison_J._Jaeger",7,NA,NA,7,NA
"Allison_L._Moore",7,NA,NA,7,NA
"Alyssa_Alcorn",2,2,NA,NA,NA
"Amali_Weerasinghe",13,5,3,7,NA
"Amanda_Jarrell",6,NA,6,NA,NA
"Amanda_Whitehurst",6,NA,NA,NA,6
"Amar_Lalwani",1,NA,NA,1,1
"Amber_Strain",5,5,NA,NA,NA
"Amey_Karkare",3,NA,NA,3,NA
"Amir_Hossein_Farzaneh",3,NA,NA,NA,3
"Amir_Shareghi_Najar",4,3,2,NA,NA
"Amit_Deutsch",3,3,NA,NA,NA
"Amruth_N._Kumar",0,NA,0,0,0
"Amy_L._Baylor",1,NA,1,NA,NA
"Amy_M._Johnson",20,NA,10,14,NA
"Amy_Ogan",22,4,9,12,5
"Ana_Arruarte",4,NA,4,NA,NA
"Ana_María_Pinto_Llorente",2,NA,NA,NA,2
"Ana_Mouta",2,NA,NA,NA,2
"Ana_Paiva",18,7,9,NA,4
"Ana-Alycia_Quintana",2,2,NA,NA,NA
"Anabil_Munshi",6,NA,NA,NA,6
"Anaka_Sparrow",4,NA,NA,NA,4
"Ananya_Poddar",5,NA,NA,5,NA
"Anastacia_MacAllister",8,NA,NA,8,NA
"Andrea_Belli",11,NA,NA,11,NA
"Andrea_Cappelli",3,NA,NA,NA,3
"Andrea_Gauthier",3,NA,NA,NA,3
"Andrea_Kleinsmith",3,NA,NA,NA,3
"Andreas_Oranje",3,NA,3,NA,NA
"Andreea_Godea",3,NA,NA,3,NA
"Andrew_Ang",7,NA,NA,7,NA
"Andrew_Caines",4,NA,NA,NA,4
"Andrew_Clayphan",2,2,NA,NA,NA
"Andrew_Coulson",2,NA,NA,NA,2
"Andrew_Emerson",11,NA,NA,NA,11
"Andrew_Godfrey",3,NA,NA,NA,3
"Andrew_J._Hampton",5,NA,NA,5,NA
"Andrew_Jones",1,NA,NA,1,NA
"Andrew_Lan",8,NA,NA,4,4
"Andrew_Olney",22,NA,20,2,NA
"Andrew_Pomazanskyi",7,NA,NA,7,NA
"Andrew_Rice",4,NA,NA,NA,4
"Andrey_V._Romashov",6,6,NA,NA,NA
"André_Mayers",2,2,NA,NA,NA
"André_Vinicius",4,NA,NA,4,NA
"Andrzej_Cader",0,NA,NA,NA,0
"André_Mayers",3,NA,3,NA,NA
"Andy_Saltarelli",6,NA,NA,6,NA
"Andy_Smith",7,NA,4,4,NA
"Ange_Tato",3,NA,NA,3,NA
"Angela_Langner-Thiele",3,NA,NA,NA,3
"Angela_Stewart",5,NA,NA,5,NA
"Angela_Wagner",8,5,NA,7,NA
"Angelos_Charitopoulos",2,NA,NA,NA,2
"Anis_Kalboussi",3,NA,NA,3,NA
"Anna_Filighera",3,NA,NA,NA,3
"Anna_N._Rafferty",3,NA,1,2,NA
"Anna_Slavina",8,NA,NA,8,NA
"Anna_Swigart",5,NA,5,NA,NA
"Anna-Lena_Theus",1,NA,NA,NA,1
"Annabel_Latham",1,NA,NA,NA,1
"Annalies_Vuong",9,9,NA,NA,NA
"Anne_Boyer",3,NA,NA,NA,3
"Anne_M._Sinatra",14,NA,NA,11,3
"Anne_Pfeifer",1,NA,NA,1,NA
"Anne_Pier_Salverda",14,NA,NA,14,NA
"Anne-Laure_Ligozat",2,NA,2,NA,NA
"Annika_Silvervarg",7,2,4,4,3
"Anouschka_van_Leeuwen",5,NA,NA,5,NA
"Anthony_F._Botelho",4,NA,NA,2,3
"Anthony_G._Cohn",3,NA,NA,NA,3
"Anton_Axelsson",2,2,NA,NA,NA
"Antonette_Shibani",6,NA,NA,2,5
"Antonija_Mitrovic",19,5,10,8,7
"Antonija_Mitrović",1,NA,NA,NA,1
"Antonio_Ascolese",5,5,NA,NA,NA
"Antonio_Sanchez-Ruiz",4,NA,4,NA,NA
"Anupam_Makhija",5,NA,NA,5,NA
"Arabella_J._Sinclair",4,NA,NA,NA,4
"Arancha_Simon-Hurtado",1,NA,1,NA,NA
"Arash_Karami",4,NA,NA,NA,4
"Ardhendu_Behera",5,NA,NA,NA,5
"Areej_Mawasi",6,NA,NA,NA,6
"Ari_Bader-Natal",1,1,NA,NA,NA
"Aristoteles_Peixoto",4,NA,NA,NA,4
"Armanda_Lewis",1,NA,1,NA,NA
"Armando_Díaz_Tolentino",3,NA,NA,NA,3
"Arnon_Hershkovitz",4,4,NA,NA,NA
"Arthur_Graesser",40,19,20,14,1
"Arthur_M._Glenberg",4,NA,NA,4,NA
"Artyom_Lobanov",2,NA,NA,NA,2
"Arvid_Kappas",14,7,9,NA,NA
"Ashish_Jagmohan",7,NA,NA,7,NA
"Ashok_Goel",5,NA,NA,4,5
"Ashudeep_Singh",5,5,NA,NA,NA
"Ashvini_Varatharaj",3,NA,NA,NA,3
"Asli_Arslan_Esme",6,NA,NA,6,NA
"Asmalina_Saleh",6,NA,NA,NA,6
"Atefeh_Ahmadi",3,NA,3,NA,NA
"Atsushi_Yamada",4,NA,NA,4,NA
"Aubrey_Condor",0,NA,NA,NA,0
"Aude_Thomas",5,NA,NA,NA,5
"Audrey_Serna",2,NA,NA,NA,2
"Audrey_Wong",4,NA,NA,4,NA
"Aurélie_Nardy",4,4,NA,NA,NA
"Avelino_J._Gonzalez",11,NA,NA,11,NA
"Avery_Harrison",5,NA,NA,5,NA
"Avi_Segal",11,NA,NA,11,NA
"Avinash_Sivaraman",2,NA,NA,NA,2
"Ayan_Banerjee",4,NA,NA,NA,4
"Ayesha_Madni",7,NA,7,NA,NA
"Ayon_Sen",2,NA,NA,NA,2
"Aysu_Ezen-Can",1,NA,1,NA,NA
"B._Barros",1,NA,1,NA,NA
"Badroddin_Najmi",3,NA,3,NA,NA
"Bahar_Shahrokhian_Ghahfarokhi",2,NA,NA,NA,2
"Baptiste_Cablé",2,2,NA,NA,NA
"Baptiste_Monterrat",3,NA,3,NA,NA
"Barbara_Di_Eugenio",13,9,NA,6,2
"Barbara_Hammer",3,3,NA,NA,NA
"Barbara_Solenthaler",8,8,NA,NA,NA
"Barbara_Wasson",6,6,NA,NA,NA
"Bart_Rienties",2,NA,NA,2,NA
"Baruch_Schwarz",7,NA,NA,7,NA
"Bassam_Mokbel",3,3,NA,NA,NA
"Bastiaan_Heeren",5,NA,NA,3,3
"Beata_Beigman_Klebanov",4,NA,NA,4,NA
"Beate_Grawemeyer",11,NA,8,5,NA
"Beatriz_Barros",2,NA,NA,2,NA
"Beenish_Chaudry",5,5,NA,NA,NA
"Behrooz_Mostafavi",6,NA,4,5,NA
"Ben_K._Daniel",3,NA,NA,NA,3
"Ben_Mason",10,NA,NA,10,NA
"Ben-Manson_Toussaint",3,NA,3,NA,NA
"Benedict_du_Boulay",5,2,3,NA,NA
"Benjamin_Goldberg",3,NA,NA,3,NA
"Benjamin_MacLaren",8,5,NA,7,NA
"Benjamin_Nye",21,2,11,11,NA
"Benjamin_Paaßen",6,NA,NA,NA,6
"Benjamin_Talks",7,NA,NA,NA,7
"Benjamin_Valdes",2,NA,2,NA,NA
"Benjamín_Valdés_Aguirre",2,NA,2,NA,NA
"Benno_Stein",2,NA,2,NA,NA
"Bernard_Evans",1,NA,1,NA,NA
"Bernard_Yett",6,NA,NA,NA,6
"Bert_Bredeweg",4,4,NA,NA,NA
"Bertrand_Schneider",8,NA,NA,2,6
"Betty_Tärning",1,NA,NA,NA,1
"Betty_Tärning",3,NA,NA,NA,3
"Bevan_I._Smith",2,NA,NA,NA,2
"Beverly_Woolf",22,13,9,9,NA
"Bhargavi_Paranjape",2,NA,NA,2,NA
"Bhavna_Agrawal",9,NA,NA,9,NA
"Bijan_Parsia",8,NA,NA,NA,8
"Bikram_Sengupta",4,NA,NA,4,NA
"Biman_Gujral",5,5,NA,NA,NA
"Bin_Duan",3,NA,NA,NA,3
"Binglin_Chen",5,NA,NA,NA,5
"Birgit_Endrass",9,NA,9,NA,NA
"Birgit_Lugrin",6,NA,5,1,NA
"Björn_Sjödén",3,NA,1,2,0
"Blair_Lehman",21,5,1,9,7
