"Author","Degree_13_20","Degree_13_14","Degree_15_16","Degree_17_18","Degree_19_20"
"Řihák__J",1,NA,NA,1,NA
"Řihák__J.",1,NA,1,NA,NA
"Abdi__S",3,NA,NA,NA,3
"Abhinav__K",4,NA,NA,4,NA
"Acholonu__U",7,NA,7,NA,NA
"Adjei__S",5,3,NA,3,NA
"Adjei__S.A",2,NA,2,NA,NA
"Afzal__S",4,NA,NA,NA,4
"Agarwal__D",2,NA,NA,2,NA
"Aggarwal__V.",3,NA,1,NA,2
"Aghababyan__A",3,3,NA,NA,NA
"Agnihotri__L",3,NA,3,NA,NA
"Agrawal__R",2,NA,NA,2,NA
"Agrawal__S.",1,NA,NA,1,NA
"Aguerrebere__C",7,NA,NA,2,7
"Ai__F",6,NA,NA,NA,6
"Akram__B",5,NA,NA,5,NA
"al-Rifaie__M.M",2,NA,2,NA,NA
"Albacete__P",4,NA,NA,4,NA
"Albrecht__E.",0,NA,NA,0,NA
"Aleven__V",11,8,3,NA,NA
"Aleven__V.",10,2,NA,NA,8
"Alexandron__G",2,NA,NA,NA,2
"Alexandron__G.",2,NA,NA,NA,2
"Alferez__S.V.",1,NA,NA,NA,1
"Allen__L.K",7,NA,7,NA,NA
"Allessio__D",6,NA,NA,6,NA
"Almeda__M.",8,NA,8,NA,NA
"Almeda__Ma.V",5,NA,NA,5,NA
"ALSaad__F",4,NA,NA,4,NA
"Alstrup__S",3,NA,NA,3,2
"Alstrup__S.",2,NA,NA,2,2
"Ambrose__G.A",9,NA,6,NA,4
"An__D",3,NA,NA,NA,3
"An__T.-S",2,NA,NA,2,NA
"Andersen__E",6,6,NA,NA,NA
"Anderson__C.J",5,NA,NA,5,NA
"Anderson__H",2,NA,NA,NA,2
"Andres-Bray__J.M.L",2,NA,NA,NA,2
"Andres__J.M.L",10,NA,NA,10,NA
"Andrews-Todd__J",3,NA,NA,3,NA
"Ang__A",6,NA,NA,6,NA
"Angert__T",1,NA,NA,NA,1
"Arbanowski__S.",2,NA,NA,NA,2
"Arnav__A.",7,NA,NA,NA,7
"Arora__A",4,NA,NA,4,NA
"Arroyo__I",8,2,NA,6,NA
"Arroyo__I.",2,2,NA,NA,NA
"Arthurs__N",3,NA,NA,NA,3
"Asano__Y",2,NA,2,NA,NA
"Asbell-Clarke__J",6,NA,6,NA,NA
"Ashenafi__M.M",2,NA,2,NA,NA
"Askinadze__A",1,NA,NA,1,1
"Atapattu__T",2,NA,2,NA,NA
"Aubert__O",2,NA,NA,NA,2
"Aulck__L",4,NA,NA,NA,4
"Aung__A.M",2,NA,NA,2,NA
"Ausin__M.S",7,NA,NA,NA,7
"Azevedo__R",7,NA,NA,7,NA
"Azizsoltani__H",9,NA,NA,NA,9
"Béland__S",4,NA,NA,NA,4
"Baba__Y",2,NA,NA,NA,2
"Babbitt__T.",3,NA,NA,3,NA
"Babel__N",2,NA,NA,2,NA
"Bachelet__R",3,NA,3,NA,NA
"Bachelet__R.",3,NA,NA,NA,3
"Backenköhler__M",3,NA,NA,3,NA
"Bahargam__S",2,NA,NA,NA,2
"Baikadi__A",3,NA,3,NA,NA
"Bailey__J",4,NA,NA,NA,4
"Baker__R",23,NA,14,9,NA
"Baker__R.",1,NA,1,NA,NA
"Baker__R.S",43,NA,12,24,11
"Baker__R.S.",18,NA,NA,7,12
"Baker__R.S.J.d",2,2,NA,NA,NA
"Baker__R.S.J.D",9,9,NA,NA,NA
"Baker__R.S.J.D.",3,3,NA,NA,NA
"Bakhtiari__D",3,NA,NA,3,NA
"Balyan__R",2,NA,NA,2,NA
"Banjade__R",9,4,5,NA,1
"Bao__Y",2,NA,NA,2,NA
"Bar-Ilan__O",7,NA,NA,NA,7
"Baraniuk__R.",3,NA,NA,3,NA
"Baraniuk__R.G.",10,5,1,5,4
"Barmaki__R",1,NA,1,NA,NA
"Barmaki__R.",1,NA,NA,NA,1
"Barnes__T",48,NA,12,18,16
"Barnes__T.",28,4,8,6,8
"Barr__A",2,NA,NA,2,NA
"Basu__S.",5,NA,NA,5,NA
"Batchelder__W.H.",2,2,NA,NA,NA
"Bauer__A",2,NA,NA,2,NA
"Beauchamp__M.H.",3,NA,NA,3,NA
"Bechger__T",5,NA,NA,NA,5
"Beck__J.E",10,3,NA,7,NA
"Beck__J.E.",4,2,3,NA,NA
"Ben-David__Y",7,NA,NA,NA,7
"Bergner__Y",9,3,6,NA,NA
"Berland__M.",2,NA,2,NA,NA
"Berman__S",3,NA,3,NA,NA
"Berman__S.R",3,NA,NA,3,NA
"Bernacki__M.L",2,NA,2,NA,NA
"Bernacki__M.L.",1,NA,NA,1,NA
"Beuster__L",7,7,NA,NA,NA
"Bhanot__R.",3,NA,3,NA,NA
"Bhartiya__D",4,NA,4,NA,NA
"Bhat__P",4,NA,NA,4,NA
"Bhat__S",5,NA,NA,5,NA
"Bhat__S.",2,NA,NA,2,NA
"Bhatnagar__S",6,NA,3,NA,3
"Bidelman__G.M.",5,3,NA,NA,2
"Bienkowski__M",5,NA,NA,5,NA
