"Author","Degree_13_20","Degree_13_14","Degree_15_16","Degree_17_18","Degree_19_20"
"Öberg__G.",6,NA,NA,6,NA
"Ševarac__Z.",6,NA,6,NA,NA
"Šourek__G.",2,NA,NA,NA,2
"Železný__F.",2,NA,NA,NA,2
"Aalbers__B.",1,NA,NA,NA,1
"Abdalla__A.",5,5,NA,NA,NA
"Abdi__S.",3,NA,NA,NA,3
"Abdiprano__A.",6,NA,NA,6,NA
"Absar__R.",4,4,3,NA,NA
"Abu-El-Haija__S.",3,3,NA,NA,NA
"Addison__K.L.",5,NA,5,NA,NA
"Adjei__S.",3,NA,3,NA,NA
"Adjei__S.A.",2,NA,2,2,NA
"Admiraal__W.",7,NA,NA,7,NA
"Aghababyan__A.",9,7,NA,2,NA
"Agnihotri__L.",4,NA,3,2,NA
"Agrawal__S.",1,NA,NA,NA,1
"Aguerrebere__C.",8,NA,NA,8,NA
"Aguiar__E.",10,4,9,NA,NA
"Aguilar__S.",4,4,NA,NA,NA
"Aguilar__S.J.",10,NA,9,NA,1
"Aguirre__C.",4,NA,NA,NA,4
"Ahmadi__Z.",2,NA,NA,NA,2
"Ahn__J.",0,0,NA,NA,NA
"Aitken__A.",5,NA,NA,5,NA
"Akçapinar__G.",4,NA,NA,NA,4
"Akintunde__R.O.",6,NA,NA,NA,6
"Alabi__H.",1,NA,NA,1,NA
"Alavi__H.S.",3,NA,3,NA,NA
"Albert__D.",4,NA,NA,4,NA
"Alberto__R.",4,NA,NA,NA,4
"Aleven__V.",11,NA,NA,11,NA
"Alex_Ambrose__G.",5,NA,NA,NA,5
"Alexander",5,NA,NA,NA,5
"Alexander__S.",5,5,NA,NA,NA
"Alexandron__G.",3,NA,NA,NA,3
"Alhadad__S.S.J.",4,NA,NA,4,NA
"Aljohani__N.R.",7,NA,7,NA,NA
"Allard__T.",3,NA,NA,3,NA
"Allen__G.",3,NA,3,NA,NA
"Allen__L.",6,NA,5,4,NA
"Allen__L.K.",12,NA,8,5,3
"Allsopp__B.B.",6,NA,NA,6,NA
"Almeda__Ma.V.",8,4,NA,4,NA
"Alonso__G.E.",7,NA,NA,NA,7
"Alterman__R.",1,1,NA,NA,NA
"Alvarez__C.P.",2,NA,NA,NA,2
"Alyuz__N.",6,NA,NA,6,NA
"Ambrose__G.A.",11,4,10,NA,NA
"Ambrosino__F.",9,NA,NA,NA,9
"Amon__M.J.",4,NA,NA,NA,4
"Amsaleg__L.",4,NA,4,NA,NA
"Anagnostou__I.",2,NA,NA,NA,2
"Anderson__T.",2,NA,NA,2,NA
"Andrade-Pacheco__R.",3,NA,3,NA,NA
"Andrade__A.",4,NA,NA,0,4
"Andres__J.M.A.L.",10,NA,NA,NA,10
"Andres__J.M.L.",5,NA,NA,5,NA
"Anggara__T.",5,NA,NA,NA,5
"Ansari__M.",1,1,NA,NA,NA
"Aoshima__T.",2,NA,NA,NA,2
"Arbanowski__S.",2,NA,NA,NA,2
"Arcuria__P.",2,NA,NA,NA,2
"Arnold__K.E.",12,7,1,4,NA
"Arora__P.",3,NA,NA,NA,3
"Asano__Y.",2,NA,NA,NA,2
"Asbell-Clarke__J.",5,NA,5,NA,NA
"Asensio-Pérez__J.I.",4,NA,NA,4,NA
"Asif__R.",2,NA,2,NA,NA
"Aslan__S.",6,NA,NA,6,NA
"Atapattu__T.",1,NA,NA,1,NA
"Auer__S.",2,NA,2,NA,NA
"Avena__J.",4,NA,NA,NA,4
"Avila__C.",3,NA,NA,3,NA
"Avramides__K.",4,NA,4,NA,NA
"Awasthi__P.",1,NA,1,NA,NA
"Axisa__C.",6,NA,NA,6,NA
"Azcona__D.",3,NA,NA,NA,3
"Azevedo__R.",12,NA,NA,12,NA
"Börner__D.",5,NA,NA,5,NA
