"Author","Degree_13_20","Degree_13_14","Degree_15_16","Degree_17_18","Degree_19_20"
"\v{C}ech\'{a}k__Jaroslav",2,NA,NA,NA,2
"Abbeel__Pieter",3,NA,NA,3,NA
"Abdulmajeed__Kabir",2,NA,NA,NA,2
"Abu-El-Haija__Sami",1,NA,NA,NA,1
"AbuHashem__Abdallah_A.",3,NA,NA,NA,3
"Adjei__Seth",4,NA,4,NA,NA
"Adl__Kiarash",2,NA,2,NA,NA
"Agrawal__Rakesh",4,4,NA,NA,NA
"Ahmed__Saif",2,NA,2,NA,NA
"Ahn__June",3,NA,NA,NA,3
"Akhalwaya__Ismail_Yunus",5,NA,NA,NA,5
"Akiri__Charankumar",4,NA,NA,NA,4
"Akkaraju__Harshitha",4,NA,NA,NA,4
"Alamgir__Morteza",2,NA,2,NA,NA
"Aleven__Vincent",9,NA,4,7,NA
"Alexander__Larry",6,6,NA,NA,NA
"Alexandron__Giora",3,NA,3,NA,NA
"Amado-Salvatierra__Hector_R.",1,NA,NA,1,NA
"Ammann__Paul",9,NA,NA,9,NA
"Anastopoulou__Stamatina",1,NA,NA,NA,1
"Anbajagane__Dhayaa",2,NA,NA,NA,2
"Andel__Stephanie",7,NA,NA,7,NA
"Andersen__Erik",3,NA,NA,3,NA
"Andres__Juan_Miguel",7,NA,NA,7,NA
"Ang__Andrew",15,NA,NA,15,NA
"Angrave__Lawrence",5,NA,NA,5,NA
"Angus__Geoffrey",3,NA,NA,NA,3
"Antonova__Rika",3,NA,3,NA,NA
"Apoorv__Raghav",6,NA,NA,NA,6
"Appiah-Kubi__Kwamena",1,NA,1,NA,NA
"Arian__Morelle",2,NA,NA,2,NA
"Aristeidou__Maria",4,NA,NA,NA,4
"Armendariz__Daniel",2,2,NA,NA,NA
"Arriaga__Rosa",12,NA,NA,NA,12
"Arslan__Serhat",2,NA,NA,NA,2
"Asano__Yuya",4,NA,NA,NA,4
"Asensio-P\'{e}rez__Juan_I.",4,NA,NA,NA,4
"Ashby__Wade",11,NA,11,NA,NA
"Ashok__B.",12,12,NA,NA,NA
"Aslami__Ahmad",7,NA,NA,7,NA
"Asuncion__Arthur",6,6,NA,NA,NA
"Atapattu__Thushari",1,NA,1,NA,NA
"Azad__Sushmita",4,NA,NA,NA,4
"Bachelet__R\'{e}mi",3,NA,NA,NA,3
"Bae__Chan",8,NA,NA,NA,8
"Baek__Jineon",8,NA,NA,NA,8
"Baek__Jiye",1,NA,1,NA,NA
"Baikadi__Alok",7,NA,NA,NA,7
"Bajwa__Ayesha",3,NA,NA,NA,3
"Baker__Ryan",9,NA,4,7,NA
"Bakharia__Aneesha",0,NA,0,NA,NA
"Bala__Srinath",15,12,7,NA,NA
"Ball__Michael",2,2,NA,NA,NA
"Ballweber__Christy",2,2,NA,NA,NA
"Banerjee__Siddhartha",2,NA,2,NA,NA
"Baraniuk__Richard_G.",8,NA,4,6,NA
"Basu__Soumya",3,NA,3,NA,NA
"Basu__Sumit",3,3,NA,NA,NA
"Bauer__Matthias",4,NA,4,NA,NA
"Beattie__Rachel",7,NA,7,NA,NA
"Beck__Joseph_E.",2,NA,1,1,NA
"Becker__Lee",7,NA,NA,NA,7
"Beckley__Chris",6,NA,6,NA,NA
"Bederson__Benjamin_B.",3,3,NA,NA,NA
"Befferman__Tyler",2,NA,2,NA,NA
"Bell__Ana",4,NA,NA,NA,4
"Benfield__Steve",7,NA,NA,7,NA
"Bent__Oliver",5,NA,5,NA,NA
"Benton__David",10,NA,NA,NA,10
"Beresford__Alastair_R.",7,NA,5,NA,2
"Berman__Susan_R.",3,NA,3,NA,NA
"Bermudez__Manuel",3,NA,3,NA,NA
"Bernstein__Michael_S.",8,5,6,NA,NA
"Bhat__Suma",5,NA,NA,5,NA
