,x
Ryan_Baker,219460.7143
Neil_Heffernan,86777.2299
Joseph_Beck,75556.21713
Yutao_Wang,74455.8457
Vincent_Aleven,73765.68599
Gautam_Biswas,60367.6106
Bruce_M._McLaren,54315.30651
Tiffany_Barnes,50315.42043
Valerie_Shute,45070.7778
Susan_Bull,37609.66667
Nikol_Rummel,36416.49269
Nigel_Bosch,36335.31706
Roger_Azevedo,35231.90775
Seiji_Isotani,30593.79715
Arthur_Graesser,27927.93586
Scott_A._Crossley,27189.46561
Sidney_Dâ..Mello,26674.81708
Winslow_Burleson,26428.44332
Amali_Weerasinghe,24920.33333
James_Lester,24534.12159
Ma._Mercedes_Rodrigo,23225.27619
Matthew_Ventura,23166
Kenneth_Koedinger,21678.83575
Carolyn_RoseÌ.,21412.76713
Ig_Ibert_Bittencourt,20760.9043
Martina_Rau,19955
Manolis_Mavrikis,19505.91667
Kristy_Elizabeth_Boyer,19135.3892
Judy_Kay,17303.5
Shamya_Karumbaiah,16914.97121
Thomas_W._Price,16454
Erin_Walker,16240.30714
Luc_Paquette,16017.26014
Blair_Lehman,14137.88898
Joseph_Jay_Williams,13943
Jonathan_Rowe,13797.038
Jason_M._Harley,13132.97243
Jaclyn_Ocumpaugh,12933.08826
Yu_Lu,12234.73763
SeÌ.bastien_LalleÌ.,11336
Bradford_Mott,10813.72486
Xiangen_Hu,10683.29187
Dragan_Gasevic,10476
Danielle_McNamara,10407.59759
Zachary_Pardos,9651
Kurt_VanLehn,9648.5
Roberto_Martinez_Maldonado,9619.5
Andrew_Olney,8833.495167
Guanliang_Chen,8750
John_Stamper,8553.607236
Beverly_Woolf,8548.538095
Benjamin_Nye,7953.450536
Avi_Segal,7884
Cecil_Lozano,7869.578571
Ivon_Arroyo,7666.538095
Yun_Huang,7450.331954
Michael_Eagle,7345.917706
Tejas_I._Dhamecha,7023.9
Ana_Paiva,7016
Shitian_Shen,7016
Ido_Roll,6815.721811
Amy_Ogan,6768.419048
James_Bailey,6545.8
Cristina_Conati,6397.796577
Yang_Jiang,6331.160123
Jihie_Kim,6158
Antonija_Mitrovic,6058.166667
Erica_L._Snow,5933.025889
G._G._Tanner_Jackson,5915.430179
Janice_Gobert,5862.911703
Peter_Brusilovsky,5725.753527
Vania_Dimitrova,5553.166667
Geiser_Chalco_Challco,5438.714286
Shengquan_Yu,5405.987629
Kalina_Yacef,5283
Dragan_GasÌŒevicÌ.,5277
Nguyen_Thinh_Le,5274
Mihai_Dascalu,5220.927043
Lishan_Zhang,5183.972078
Susanne_Lajoie,4969.833333
Daniel_Auerbach,4646.573421
J._Elizabeth_Richey,4554.095078
KasÌ.ka_Porayska_Pomsta,4407.25
Vanda_Luengo,4402
Carolyn_Rose,4401.5
Barbara_Di_Eugenio,4400.666667
I_Han_Hsiao,4137.423369
Gregor_Kennedy,3925.6
