,x
Baker__R.S,72507.18585
Wang__Z,37426.17731
Studer__C,32724.46881
Barnes__T,25894.4973
Huang__J,25671
Lan__A.S,25124.59978
Hu__X.,24345.54001
Wang__J,22721.20126
D‚..Mello__S.K.,18858.12474
Paquette__L.,18266.33848
Yang__T..Y,17211.68775
Baker__R,16493.62459
Lynch__C.F,16091.7034
Piech__C,15964
Hershkovitz__A,14656.35974
Koedinger__K.R.,13404.14645
Stamper__J,13348.79171
Boyer__K.E,13205.69446
Paepcke__A.,13086
Graesser__A.C,11579.90482
Hu__X,11568.1297
Barnes__T.,11171.06362
Ocumpaugh__J,11167.316
Mozer__M.,10602.90605
Kelly__S,10127.1878
Eagle__M,9951.337584
Graesser__A,9764.459214
Baraniuk__R.G.,9693.787425
Waters__A.E,9387.850521
Chi__M,9313.122254
Aleven__V,8869.059891
McNamara__D.S.,8772.715743
Heffernan__N,8523.451331
Yang__Y,8279.852556
Gal__K,8151
Lang__D,8151
Baker__R.S.,7760.072611
Crossley__S,7625.345668
Chen__Z,7577
Essa__A,7536
Graesser__A.,7494.25034
Wang__Y,7396.795797
Holstein__K,7199.2225
Feng__M,7083.633681
Chi__M.,7015.315394
Merceron__A,6947
Heffernan__N.,6931.560644
Heffernan__N.T.,6849.246666
Hoernle__N,5679
Xie__J,5545.425843
Williams__J.J,5480.412646
Cai__Z,5388.244046
Bowers__A.J,5143.080448
Rau__M.A,5065.5
Sengupta__B,5058.666667
Olney__A.M,5002.027857
Davenport__J,4662.964833
Karumbaiah__S,4618.359093
Shubeck__K,4562.43303
Desmarais__M,4431
Dong__Y,4431
Shillo__R,4431
Bergner__Y,4349.826112
Dow__S.P,4205.221729
Brinton__C.G,4198.088889
Samei__B,3975.551718
Baker__R.S.J.D,3936.741725
Snow__E.L,3867.385662
Li__X,3850
Zhang__Y,3813
Grimaldi__P,3807
Blink__M.J,3804
Li__H,3787.808262
Koedinger__K.R,3584.372125
Aleven__V.,3505.804085
Paquette__L,3471.59278
Shaffer__D.W,3463.881734
Rus__V,3254.573914
Chen__G,3181
Pritchard__D.,3181
Bosch__N,3175
Gasevic__D.,3175
Yu__R,3175
Liu__Z,2974.383905
Biswas__G.,2861
Wang__X,2664.685216
Maharjan__N,2619.167593
Huang__Y,2558.173888
Azevedo__R,2544
Bhatnagar__S,2544
Zheng__L,2544
Xu__Y,2537.265954
Beck__J.E,2529.651819
D.Mello__S.K.,2420.004261
Lester__J.,2402.273588
Dascalu__M,2331.667405
Choi__H,2273.637847
Brunskill__E.,2266.181803
Harpstead__E,2220.620148
MacLellan__C.J,2220.620148
Botelho__A.F,2192.260687
Mostow__J.,2086.124901
Scheines__R,1968.670635
Brusilovsky__P.,1946.681877
Hua__H,1917.704072
Pardos__Z.A.,1913
Inventado__P.S,1911
Van_Inwegen__E.G,1883.881243
Lee__J.E,1869.525938
Recker__M,1869.525938
Fancsali__S,1849.701211
Rus__V.,1748.821131
Yudelson__M.V,1748.76826
Gonz√.lez.Brenes__J.P,1701.788965
Ritter__S,1699.585996
Rowe__J,1585.544371
Pavlik__P.__Jr,1552.93675
Mills__C,1503.009599
Pardos__Z.A,1489.38762
Fancsali__S.E,1432.494166
Chen__Y,1416.534632
Donnelly__P.J,1381.898505
Heffernan__N.T,1377.392091
Bixler__R,1371.196867
Huang__X,1327.302649
Mott__B,1304.714969
Khosravi__H,1276
Krauss__C,1276
Kumar__V,1276
Pritchard__D.E.,1276
Rafferty__A.N,1276
Ren__Z,1276
Sales__A.C,1276
Stamper__J.,1276
Scupelli__P,1219.825015
Slater__S,1219.825015
Graesser__A.C.,1013.49664
Liu__R,989.1709062
Ambrose__G.A,954
Chetlur__M,954
Kai__S,852.0967468
Patikorn__T,851.8558906
Hutt__S,743.6259893
Greenberg__D,659.3306929
Boulanger__D,639
Desmarais__M.C.,639
Koedinger__K.,639
Nguyen__H,639
Rangwala__H.,639
Cao__M,622.2959283
Botelho__A,597.4428197
Zhi__R,576.1946429
Banjade__R,536.1085225
Price__T.W,500.6089286
Feng__S,497.5863834
Chiang__M.,487.3603175
Ritter__S.,469.5330784
Fang__Y,451.8781465
Arroyo__I,417.8230074
Zhou__G,416.3615182
Yudelson__M.,387.0628722
Azizsoltani__H,367.943519
Chen__W,359.3
Likens__A.D,336.7551147
Beck__J.E.,319
Chen__L,319
Dubrawski__A.,319
Xiong__X,319
Kinnebrew__J.S,317
Shi__G,284.021372
Nixon__T,271.1120027
Ausin__M.S,252.3029221
Pavlik__P,248.2515297
Zhao__S,205.5979152
Gitinabard__N,201.4903633
Cheng__Q,167.070124
Gautam__D,139.267815
Lynch__C,138.8828457
Swiecki__Z,137.4106721
Bidelman__G.M.,121.3574382
Zou__J.,106.7102233
Adjei__S,90.72156732
Min__W,67.3
Craig__S.D,51.30264855
Whitehill__J.,49
Khoshnevisan__F,46.35537241
Diana__N,42.47504701
Andres__J.M.L,41.6
Hicks__D,35.24957265
Schneider__B.,35
Kyle__K,34.96270577
Allen__L.K,33.98393363
Jacovina__M.E,33.98393363
Roscoe__R.D,33.98393363
Liu__S,33
Bouchet__F,25
Romero__C,24.5
Aguerrebere__C,24
Liu__L,24
Piech__C.,21
Yacef__K.,21
K√.ser__T,20
Golab__L.,19
Romero__C.,18
Schwartz__D.L.,18
Deshmukh__O.,16
Ga≈.eviƒ.__D.,16
Heckman__S,14.38272006
Cutumisu__M,14
Desmarais__M.C,14
Men√.ndez__V.H,12.5
Zapata__A,12.5
Popoviƒ.__Z.,12
Wu__W,11.5
Shimada__A,10
Wang__C,10
Wang__T,10
Reilly__J.M,9
Caines__A,8
Dey__P,8
Goutte__C,8
Hammer__B.,8
Mittal__R.S,8
Moore__R,8
Stefanescu__D.,7.262361859
Dibie__O,6
Hjuler__N,6
Li__Q,6
Sabourin__J,6
Sumner__T,6
Chae__H.S,5.5
Natriello__G.,5.5
Emond__B,5
Karypis__G.,5
Ros√.__C.P.,4
Wiebe__E,3.8
Xue__L,3.333333333
Flemming__R,3
Lan__A,3
Mussack__D,3
Contractor__D,2.666666667
Mohania__M.,2.666666667
Tang__Y,2.666666667
Mason__B,2.5
Aggarwal__V.,2
Hartman__K,2
Hsiao__I..H.,2
