,x
Pardo__A.,66640.8943
Ochoa__X.,63456.239
Shum__S.B.,58578.20343
Baker__R.S.,57841.97754
Dawson__S.,57330.78512
Crossley__S.,48189.35583
Ferguson__R.,38495.51435
Mills__C.,37042.78333
Siemens__G.,35422.53542
D.Mello__S.K.,29625
Ogata__H.,29021.92087
Zhang__Y.,24501.80725
Wang__Y.,23269.25749
Ga≈.eviƒ.__D.,22821.31227
Kitto__K.,22475.62028
Stamper__J.,22241.5175
Knight__S.,20718.38401
Hu__X.,19803.5
Brooks__C.,19761.08441
Drachsler__H.,19053.7814
Ga≈.evic__D.,18492.52302
Verbert__K.,17647.81146
Martinez.Maldonado__R.,17409.31089
Paquette__L.,17023.56704
Davis__D.,16364.56003
Baker__R.,15854.68644
Chen__G.,15529.17863
Lang__C.,15168.23843
Gillet__D.,14765.09973
Zhang__J.,14425.09538
Mavrikis__M.,14155.5
Ambrose__G.A.,13215.25
Teasley__S.,12739.59026
Eagle__M.,12350
Buckingham_Shum__S.,11355.05192
Dillenbourg__P.,11241.72041
Bakharia__A.,11100.7082
Lynch__G.,10998.55153
Essa__A.,10992.69904
Liu__R.,10623.49135
Zdrahal__Z.,10562.79799
Cukurova__M.,10068
Spikol__D.,10068
Molenaar__I.,9733.5676
Chen__B.,9535.097894
Kay__J.,9394.102347
Hatala__M.,9211.083335
Kovanoviƒ.__V.,9013.761934
Teasley__S.D.,8394.027328
Mcnamara__D.S.,8303.576968
Wise__A.F.,7359.620726
Jovanovic__J.,7226.003929
Scheffel__M.,7218.931631
Baker__R.S.J.D.,7116
Gasevic__D.,7112.695414
Aleven__V.,7107
Bergner__Y.,6791.141866
Heffernan__N.T.,6722.192204
Cross__S.,6720.42614
Berg__A.,6426.767447
Lonn__S.,6392.527757
Barnes__T.,6230.2
Aghababyan__A.,6223
Azevedo__R.,6119.235257
Prieto__L.P.,6017.333097
Greer__J.,5780.693005
Jovanoviƒ.__J.,5660.744702
Hoppe__H.U.,5321.416667
Arnold__K.E.,5243.281381
Sclater__N.,5211.846339
Jivet__I.,5094.39337
Giannakos__M.N.,5064.386169
Poquet__O.,5034.492265
Boroujeni__M.S.,5008.053654
Lewkow__N.,4832.423984
Corrin__L.,4764.934675
Rodr√.guez.Triana__M.J.,4764.07221
Zhao__Y.,4586.631768
Wolff__A.,4580.054455
Reich__J.,4459
Aguiar__E.,4455.25
Chawla__N.V.,4455.25
Shibani__A.,4455
Hecking__T.,4439.083333
Charleer__S.,4359.572657
Mangaroska__K.,4321.430518
Gibson__A.,4276.203426
Merceron__A.,4098.661623
Kennedy__G.,4058.88131
Dowell__N.,3998.881348
Khosravi__H.,3993.854787
Ga≈.ev√.c__D.,3834.498632
Whitelock__D.,3790.957763
Lodge__J.M.,3630.595872
Klerkx__J.,3604.831025
Pammer.Schindler__V.,3568
Poulovassilis__A.,3568
Papamitsiou__Z.,3412.487439
Holman__C.,3356.690472
Bailey__J.,3199.540183
Ros√.__C.P.,3163.195943
Duval__E.,3097.465311
McNamara__D.,3090.766419
Chen__W.,3016.354407
Hoel__T.,3016.354407
Molinaro__M.,2990.457509
Macfadyen__L.P.,2960.819405
Schneider__B.,2841.616705
Ruip√.rez.Valiente__J.A.,2825.182815
Kismih√≥k__G.,2744.121292
Chiu__M.M.,2681
Pardos__Z.A.,2681
Aguerrebere__C.,2679
Dimitriadis__Y.,2679
Koedinger__K.R.,2679
McLaren__B.M.,2679
Staubitz__T.,2679
Lei__C..U.,2676
Hou__X.,2661
Prinsloo__P.,2528.296464
Slade__S.,2528.296464
Heffernan__N.,2411.798693
Rienties__B.,2352.980974
McNamara__D.S.,2249.672265
Yacef__K.,2118.808109
Law__N.,2081.571355
Kovanovic__V.,2081.286897
Aguilar__S.J.,2047.884727
Mirriahi__N.,2035.562697
Tsai__Y..S.,2023.831566
Dascalu__M.,1927.939647
Bull__S.,1871.444014
Economides__A.A.,1865.851404
Mckay__T.,1865.130154
Allen__L.K.,1861.191378
Biswas__G.,1810.666667
Hauff__C.,1805.97717
Khalil__M.,1788
Kizilcec__R.F.,1788
Koedinger__K.,1788
Lang__D.,1788
Vytasek__J.M.,1788
Williams__J.J.,1788
Xing__W.,1788
Bienkowski__M.,1782
Grover__S.,1782
Olney__A.M.,1718
Mello__R.F.,1716.217663
Moore__J.,1701.988444
Lupton__M.,1697.721397
Wolpers__M.,1692.789962
Lee__J.,1643.73788
Milligan__S.,1641.875674
Joksimoviƒ.__S.,1587.68968
Ding__M.,1479.825012
Chu__S.K.W.,1306.5
Tritz__J.,1288.583591
Suthers__D.,1282.461565
J√.rvel√.__S.,1225.165883
Whitelock.Wainwright__A.,1205.24989
Groth__D.,1186.666667
Rehrey__G.,1186.666667
Shepard__L.,1186.666667
Clow__D.,1144.69294
Tammets__K.,1113.121236
Yeung__D..Y.,1089.850701
Reimann__P.,1038.218995
Cooper__A.,1025.398089
Kickmeier.Rust__M.,992.1197301
Sinclair__J.,980.788382
