,x
Reich__Justin,38657.74624
Kizilcec__Ren...e._F.,26350.2
Halawa__Sherif,25110
Ruip...e.rez.Valiente__Jos...e._A.,21005.5
Davis__Glenn_M.,16856.53333
Joyner__David_A.,14373.06667
Glassman__Elena,13364
Seaton__Daniel,12298.50398
Rosen__Yigal,11217.69662
Kim__Juho,11142.40815
Stevens__Mitchell_L.,9860
Fox__Armando,9818.666667
Yudelson__Michael,9625
Paepcke__Andreas,8918
Brooks__Christopher,8133.5
Koedinger__Kenneth_R.,8034
Tingley__Dustin,7446.004593
Sahami__Mehran,6980
Staubitz__Thomas,4980.333333
Williams__Joseph_Jay,4808.562398
Piech__Chris,4681
Pritchard__David_E.,4669
Heffernan__Neil,4504.913463
Brunskill__Emma,4489.866667
Kraut__Robert,4284
Miller__Robert_C.,4122.312363
Guo__Philip_J.,2833.887945
Hammer__Jessica,2647.5
Ogan__Amy,2647.5
Xiong__Xiaolu,2562.586905
DeNero__John,1822
Yen__Michael,1820
Baker__Ryan,1710.233333
Ang__Andrew,1542.917802
Renz__Jan,1465.333333
Chen__Zhongzhou,1461
Huang__Jonathan,1460
Singh__Rishabh,1460
Ju__An,1344
Rubin__Rob,1125.017062
Karayev__Sergey,1098
Rose__Carolyn,1098
Sottilare__Robert,1098
Andres__Juan_Miguel,1095.233333
Heffernan__Neil_T.,1083.435714
Jing__Shan,953.7333333
Wang__Qiaosi,953.7333333
Seaton__Daniel_T.,915.0475778
Wen__Miaomiao,907.5
Yang__Diyi,907.5
Meinel__Christoph,744.3333333
Reinecke__Katharina,734
Saberi__Amin,734
Wan__Hao,734
Ruan__Sherry,673.4
Aleven__Vincent,651.8
Li__Na,635.9761663
Lopez__Glenn,634.1996755
Chuang__Isaac,577.7638917
Ostrow__Korinn,494.0369048
Gajos__Krzysztof_Z.,486.5357096
Goel__Ashok,402.0666667
Patikorn__Thanaporn,401.4428571
Joyner__David,379.8666667
Whitehill__Jacob,377.6843417
Beck__Joseph_E.,368
Chen__Youjie,368
Selent__Douglas,368
Ga.v.s.evi...c.__Dragan,364
Joksimovi...c.__Sre...c.ko,364
Kovanovi...c.__Vitomir,364
Willis__Angelica,335.4
Sheahen__Dana,258.5333333
Dillahunt__Tawanna,185
Teasley__Stephanie,183.5
Maldonado__Samuel,181.746202
Starner__Thad,173.6666667
Davis__Dan,122
Hauff__Claudia,122
Houben__Geert.Jan,122
Fredericks__Colin,118.9162879
Klemmer__Scott,116.2
Pardos__Zachary_A.,93
McAndrew__Patrick,70.5
Iniesto__Francisco,70
Ho__Andrew,58.36666667
Scanlon__Eileen,52.5
Roll__Ido,48.4
Yoon__Dongwook,44.4
Kulkarni__Chinmay,44.3
Irish__India,43.16666667
Tang__Steven,42
Klemmer__Scott_R.,40.66666667
Littenberg.Tobias__Joshua,35
Graziano__Rocko,34.16666667
Botelho__Anthony,33.56190476
O.Reilly__Una.May,33.33333333
MacHardy__Zachary,32
Zhai__ChengXiang,32
Bernstein__Michael_S.,29.8
Hemberg__Erik,26.33333333
Gogel__Hannah,26
McBride__Elizabeth,26
Cutrell__Edward,20.46666667
Thies__William,20.46666667
Boughoula__Assma,18.5
Nacu__Denise,18
Narasimham__Gayathri,18
Pandey__Vineet,16.13333333
Graesser__Arthur_C.,15
O.Rourke__Eleanor,15
Kulkarni__Chinmay_E.,14.56666667
Ferguson__Rebecca,14
Foltz__Peter_W.,14
Papathoma__Tina,14
Oh__Alice,13
Zhao__Siyuan,12.06190476
Deutsch__Amit,12
Goldwasser__Dan,12
Beresford__Alastair_R.,10
Labutov__Igor,9.5
Cerezo__Rebeca,9
Karger__David,9
Cross__Andrew,8.466666667
Agrawal__Rakesh,8
Kenthapadi__Krishnaram,8
Konstan__Joseph_A.,8
Geigle__Chase,7.5
Baraniuk__Richard_G.,7
Bhavya,7
Feng__Mingyu,7
Yu__Bowen,7
Zhu__Haiyi,7
Grover__Shuchi,6
Xie__Tao,6
Zhang__Ming,6
Zhu__Jile,6
Rushkin__Ilia,5.166666667
Gupta__Nakull,5
Law__Nancy,5
Bala__Srinath,4.8
Kumar__Viraj,4.8
Braude__Eric,4
Ginn__Jasper,4
Kay__Jennifer_S.,4
Sewall__Jonathan,4
Stephens.Martinez__Kristin,4
Lan__Andrew_S.,3.5
Waters__Andrew_E.,3.5
Dweck__Carol_S.,3
West__Matthew,3
Zilles__Craig,3
Hearst__Marti_A.,2.666666667
Glassman__Elena_L.,2.5
Johri__Aditya,2.5
Yang__Seungwon,2.5
Kotturi__Yasmine,2.333333333
Arriaga__Rosa,2
Falkner__Katrina,2
Finkelberg__Roy,2
Hou__Brian,2
Raman__Sumedha,2
Tailor__Chirag,2
Vihavainen__Arto,2
Effenberger__Tom...a..v.s.,1.5
Pel...a.nek__Radek,1.5
Hamonic__Ella,1.333333333
Hiron__Mathias,1.333333333
Sharrock__R...e.mi,1.333333333
Goel__Ashok_K.,1
Park__Jungkook,1
Rapp__Christian,1
Hartmann__Bjoern,0.666666667
Lee__Min_Hyung,0.666666667
Runde__Joe,0.666666667
Stewart__Brandon,0.666666667
Goldman__Max,0.5
Reddy__Siddharth,0.5
Dodson__Samuel,0.4
Fels__Sidney,0.4
Fong__Matthew,0.4
Adjei__Seth,0.333333333
Bell__Ana,0.333333333
Carroll__John_M.,0.333333333
Rosson__Mary_Beth,0.333333333
Zheng__Saijing,0.333333333
X.v.C.ech...a.k__Jaroslav,0
Abbeel__Pieter,0
Abdulmajeed__Kabir,0
Abu.El.Haija__Sami,0
AbuHashem__Abdallah_A.,0
Adl__Kiarash,0
Ahmed__Saif,0
Ahn__June,0
Akhalwaya__Ismail_Yunus,0
Akiri__Charankumar,0
Akkaraju__Harshitha,0
Alamgir__Morteza,0
Alexander__Larry,0
Alexandron__Giora,0
Amado.Salvatierra__Hector_R.,0
Ammann__Paul,0
Anastopoulou__Stamatina,0
Anbajagane__Dhayaa,0
Andel__Stephanie,0
Andersen__Erik,0
Angrave__Lawrence,0
Angus__Geoffrey,0
Antonova__Rika,0
Apoorv__Raghav,0
Appiah.Kubi__Kwamena,0
Arian__Morelle,0
Aristeidou__Maria,0
Armendariz__Daniel,0
Arslan__Serhat,0
Asano__Yuya,0
Asensio.P...e.rez__Juan_I.,0
Ashby__Wade,0
Ashok__B.,0
Aslami__Ahmad,0
Asuncion__Arthur,0
Atapattu__Thushari,0
Azad__Sushmita,0
Bachelet__R...e.mi,0
Bae__Chan,0
Baek__Jineon,0
Baek__Jiye,0
Baikadi__Alok,0
Bajwa__Ayesha,0
Bakharia__Aneesha,0
Ball__Michael,0
Ballweber__Christy,0
Banerjee__Siddhartha,0
Basu__Soumya,0
Basu__Sumit,0
Bauer__Matthias,0
Beattie__Rachel,0
Becker__Lee,0
Beckley__Chris,0
Bederson__Benjamin_B.,0
Befferman__Tyler,0
Benfield__Steve,0
Bent__Oliver,0
Benton__David,0
Berman__Susan_R.,0
Bermudez__Manuel,0
Bhat__Suma,0
Bhatt__Shreyansh,0
Bienkowski__Marie,0
Bier__Norman_L.,0
Biggers__Kietha,0
Bilgrien__Noah,0
Bishop__Judith,0
Biswas__Gautam,0
Biswas__Sagar,0
Blikstein__Paulo,0
Blink__Mary_Jean,0
Blockelet__Michel,0
Boesch__Chris,0
Bogle__Leonard,0
Bonfert.Taylor__Petra,0
Borneman__Elizabeth,0
Borrella__Inma,0
Bosch__Nigel,0
Bote.Lorenzo__Miguel_L.,0
Botelho__Anthony_F.,0
Bouchet__Fran.c.c.ois,0
Boulanger__David,0
Bozkurt__Baris,0
Brady__Katherine,0
Brady__Katherine_A.,0
Brasiel__Sarah,0
Breazeal__Cynthia,0
Breitzman__Anthony,0
Brennan__Karen,0
Breslow__Lori,0
Bretl__Timothy,0
Brooks__D._Christopher,0
Brooks__Michael,0
Brouns__Francis,0
Brown__Keith,0
Brubacher__Federico,0
Bruckman__Amy,0
Bruechner__Dominik,0
Brusilovsky__Peter,0
Bu__Jessica,0
Budden__Jill,0
Buffardi__Kevin,0
Bumbacher__Engin,0
Burd__Hannah,0
Burghardt__M.D.,0
Burstein__Jill,0
Byrne__Virginia_L.,0
Byun__Jeongmin,0
Caballero.Caballero__Sergio,0
Cai__Zhiqiang,0
Camacho__Ida,0
Cambre__Julia,0
Campos__Fabio,0
Canfield__Christopher_D.,0
Canny__John,0
Carlier__Sebastien,0
Carlon__May,0
Carlon__May_Kristine_Jonson,0
Carlson__Ryan,0
Carmon__Colin_M.,0
Cassell__Justine,0
Cassidy__Caitlin,0
Catrambone__Richard,0
Cha__Yeongmin,0
Chai__Yuqian,0
Champaign__John,0
Chaplot__Devendra_Singh,0
Charlevoix__Donna,0
Chau__Hung,0
Chaudhury__Rimika,0
Cheatle__Amy,0
Chen__Antares,0
Chen__Binglin,0
Chen__Bingxin,0
Chen__Charles_H.,0
Chen__Guanliang,0
Chen__Lei,0
Chen__Maximillian,0
Chen__Meng_Chang,0
Chen__Naichun,0
Chen__Pin.Ju,0
Chen__Sally,0
Chen__Yang.Hsueh,0
Chen__Yvonne,0
Cheng__Hao.Fei,0
Cheng__Hao_Fei,0
Cheung__Kevin,0
Chhabra__Sukrit,0
Chilana__Parmit_K.,0
Cho__Junghyun,0
Choi__Kabdo,0
Choi__Youngduck,0
Chorianopoulos__Konstantinos,0
Chrisochoides__Nikos,0
Chua__Soon_Hau,0
Chudzicki__Christopher,0
Chujfi__Salim,0
Clarkes.Nias__Jaye,0
Cliff__Alison,0
Close__Kevin,0
Cobo__Crist...o.bal,0
Cobos__Ruth,0
Coe__Angela,0
Coetzee__D.,0
Coetzee__Derrick,0
Cohen__Geoffrey_L.,0
Coleman__Cody_A.,0
Colvin__Kimberly_F.,0
Conde_Gafaro__Barbara,0
Cooper__Stephen,0
Cope__William,0
